Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,Column_27
1969,1,1,BUF,O.J. SimpsonHOF,RB,22,1979,5,6,11,98,93,135,6,16,110,1,0,2404,11236,61,203,2142,14,,,USC,College Stats
1969,1,2,ATL,George Kunz,T,22,1980,1,7,9,77,35,129,0,0,0,0,0,0,0,0,1,2,0,,,Notre Dame,College Stats
1969,1,3,PHI,Leroy Keyes,DB,22,1973,0,0,3,17,16,48,1,3,14,0,0,125,369,3,30,270,0,8,,Purdue,College Stats
1969,1,4,PIT,Joe GreeneHOF,DT,22,1981,4,10,12,109,109,181,0,0,0,0,0,0,0,0,0,0,0,1,77.5,North Texas,College Stats
1969,1,5,CIN,Greg Cook,QB,22,1973,0,0,1,10,10,12,107,200,1865,15,11,25,148,1,0,0,0,,,Cincinnati,College Stats
1969,1,6,BOS,Ron Sellers,WR,22,1973,0,1,4,25,17,52,0,0,0,0,0,0,0,0,112,2184,18,,,Florida St.,College Stats
1969,1,7,SFO,Ted Kwalick,TE,22,1977,1,3,3,30,30,108,0,0,0,0,0,19,175,0,168,2570,23,,,Penn St.,College Stats
1969,1,8,RAM,Larry Smith,RB,22,1974,0,0,2,33,30,72,2,5,31,0,0,528,2057,11,149,1176,5,,,Florida,College Stats
1969,1,9,SDG,Marty Domres,QB,22,1977,0,0,2,19,5,90,399,809,4904,27,50,130,679,10,0,0,0,,,Columbia,College Stats
1969,1,10,RAM,Jim Seymour,WR,22,1972,0,0,1,5,,31,0,0,0,0,0,1,-9,0,21,385,5,,,Notre Dame,College Stats
1969,1,11,MIA,Bill Stanfill,DE,22,1976,1,5,7,65,65,109,0,0,0,0,0,0,0,0,0,0,0,2,69.5,Georgia,College Stats
1969,1,12,GNB,Rich Moore,DT,22,1970,0,0,1,11,11,20,0,0,0,0,0,0,0,0,0,0,0,,6.0,Villanova,
1969,1,13,NYG,Fred Dryer,DE,23,1981,0,1,11,80,11,176,0,0,0,0,0,0,0,0,0,0,0,1,103.0,San Diego St.,
1969,1,14,CHI,Rufus Mayes,T,21,1979,0,0,7,53,4,139,0,0,0,0,0,0,0,0,0,0,0,,,Ohio St.,College Stats
1969,1,15,HOU,Ron Pritchard,LB,22,1977,0,0,5,35,14,106,0,0,0,0,0,0,0,0,0,0,0,3,16.5,Arizona St.,
1969,1,16,SFO,Gene Washington,WR,22,1979,2,4,10,71,70,140,0,1,0,0,0,6,23,0,385,6856,60,,,Stanford,College Stats
1969,1,17,NOR,John Shinners,G,22,1977,0,0,2,30,6,97,0,0,0,0,0,0,0,0,0,0,0,,,Xavier (OH),
1969,1,18,SDG,Bob Babich,LB,22,1978,0,0,7,38,15,125,0,0,0,0,0,0,0,0,0,0,0,6,7.0,Miami (OH),College Stats
1969,1,19,STL,Roger WehrliHOF,DB,21,1982,3,7,13,91,91,193,0,1,0,0,0,5,45,1,0,0,0,40,1.0,Missouri,College Stats
1969,1,20,CLE,Ron Johnson,RB,21,1975,1,2,5,61,6,81,0,2,0,0,0,1204,4308,40,213,1977,15,,,Michigan,College Stats
1969,1,21,RAM,Bob Klein,TE,22,1979,0,0,9,30,20,145,0,0,0,0,0,4,14,0,219,2687,23,,,USC,College Stats
1969,1,22,OAK,Art Thoms,DT,22,1977,0,0,5,38,37,99,0,0,0,0,0,0,0,0,0,0,0,2,30.0,Syracuse,
1969,1,23,KAN,Jim Marsalis,DB,23,1977,1,2,4,38,37,90,0,0,0,0,0,0,0,0,0,0,0,15,1.0,Tennessee St.,
1969,1,24,DAL,Calvin Hill,RB,22,1981,1,4,6,71,57,156,5,13,204,3,1,1452,6083,42,271,2861,23,,,Yale,College Stats
1969,1,25,BAL,Eddie Hinton,WR,22,1974,0,0,2,23,20,67,0,0,0,0,0,12,110,2,111,1822,10,,,Oklahoma,College Stats
1969,1,26,NYJ,Dave Foley,T,21,1977,0,1,7,38,7,110,0,0,0,0,0,0,0,0,0,0,0,,,Ohio St.,College Stats
1969,2,27,BUF,Bill Enyart,RB,22,1971,0,0,0,6,6,29,0,0,0,0,0,105,387,1,54,421,3,,,Oregon St.,College Stats
1969,2,28,PHI,Ernie Calloway,DT,21,1972,0,0,3,14,14,47,0,0,0,0,0,0,0,0,0,0,0,,8.0,Texas Southern,
1969,2,29,ATL,Paul Gipson,RB,23,1973,0,0,0,6,6,33,0,1,0,0,1,123,491,1,21,240,3,,,Houston,College Stats
1969,2,30,PIT,Terry Hanratty,QB,21,1976,0,0,0,8,8,50,165,431,2510,24,35,21,99,1,0,0,0,,,Notre Dame,College Stats
1969,2,31,CIN,Bill Bergey,LB,24,1980,2,5,11,87,23,159,0,0,0,0,0,0,0,0,0,0,0,27,18.5,Arkansas St.,
1969,2,32,BOS,Mike Montler,C,25,1978,0,0,8,43,18,123,0,0,0,0,0,0,0,0,1,6,0,,,Colorado,College Stats
1969,2,33,BAL,Ted HendricksHOF,LB,21,1983,4,8,14,112,43,215,0,0,0,0,0,0,0,0,0,0,0,26,61.0,Miami (FL),College Stats
1969,2,34,DET,Altie Taylor,RB,21,1976,0,0,6,59,59,102,0,0,0,0,0,1170,4308,24,175,1538,6,,,Utah St.,College Stats
1969,2,35,STL,Rolf Krueger,DE,22,1974,0,0,2,19,14,69,0,0,0,0,0,0,0,0,0,0,0,,6.5,Texas A&M,
1969,2,36,DEN,Grady Cavness,DB,22,1970,0,0,1,7,5,18,0,0,0,0,0,0,0,0,0,0,0,2,,Texas-El Paso,
1969,2,37,MIA,Bob Heinz,DT,22,1978,0,0,4,32,31,111,0,0,0,0,0,0,0,0,0,0,0,,9.0,Pacific,
1969,2,38,GNB,Dave Bradley,G,22,1972,0,0,0,6,6,16,0,0,0,0,0,0,0,0,0,0,0,,,Penn St.,
1969,2,39,MIN,Ed White,G,22,1985,0,4,15,87,35,241,0,0,0,0,0,0,0,0,0,3,0,,,California,College Stats
1969,2,40,HOU,Jerry LeVias,WR,23,1974,0,1,2,19,11,70,0,3,0,0,1,19,161,0,144,2139,14,,,SMU,College Stats
1969,2,41,CHI,Bobby Douglass,QB,22,1978,0,0,4,37,32,91,507,1178,6493,36,64,410,2654,22,1,-2,0,,,Kansas,College Stats
1969,2,42,PIT,Warren Bankston,RB,22,1978,0,0,0,8,7,114,0,0,0,0,0,167,684,3,38,283,2,,,Tulane,College Stats
1969,2,43,MIN,Volly Murphy,FL,,,0,0,0,,,,,,,,,,,,,,,,,Texas-El Paso,College Stats
1969,2,44,SDG,Ron Sayers,RB,22,1969,0,0,0,0,0,8,0,0,0,0,0,14,53,0,0,0,0,,,Nebraska-Omaha,
1969,2,45,NOR,Richard Neal,DE,21,1978,0,0,6,35,15,120,0,0,0,0,0,0,0,0,0,0,0,,38.0,Southern,
1969,2,46,WAS,Eugene Epps,DB,,,0,0,0,,,,,,,,,,,,,,,,,Texas-El Paso,
1969,2,47,DET,Jim Yarbrough,T,22,1977,0,0,6,39,39,112,0,0,0,0,0,0,0,0,0,0,0,,,Florida,College Stats
1969,2,48,KAN,Ed Podolak,RB,22,1977,0,0,6,53,53,104,4,6,82,0,1,1157,4451,34,288,2456,6,,,Iowa,College Stats
1969,2,49,DAL,Richmond Flowers,DB,22,1973,0,0,1,15,7,55,0,0,0,0,0,0,0,0,0,0,0,6,,Tennessee,College Stats
1969,2,50,OAK,George Buehler,G,22,1979,0,0,7,52,49,137,0,0,0,0,0,0,0,0,0,0,0,,,Stanford,College Stats
1969,2,51,BAL,Tommy Maxwell,DB,22,1974,0,0,2,20,10,68,0,0,0,0,0,0,0,0,0,0,0,5,,Texas A&M,College Stats
1969,2,52,NYJ,Al Woodall,QB,23,1974,0,0,2,13,13,31,246,503,2970,18,23,60,214,0,0,0,0,,,Duke,College Stats
1969,3,53,BUF,Julian Nunamaker,DE,23,1970,0,0,0,4,4,18,0,0,0,0,0,0,0,0,0,0,0,,,UT Martin,
1969,3,54,ATL,Mal Snider,G,22,1974,0,0,5,29,18,83,0,0,0,0,0,0,0,0,0,0,0,,,Stanford,
1969,3,55,CLE,Al Jenkins,G,23,1973,0,0,1,10,5,40,0,0,0,0,0,0,0,0,0,0,0,,,Tulsa,
1969,3,56,PIT,Jon Kolb,T,22,1981,0,0,9,62,62,177,0,0,0,0,0,0,0,0,0,0,0,,,Oklahoma St.,
1969,3,57,CIN,Speedy Thomas,WR,22,1974,0,0,4,15,15,58,0,0,0,0,0,8,22,1,94,1239,8,,,Utah,
1969,3,58,BOS,Carl Garrett,RB,22,1977,0,1,6,49,29,110,0,3,0,0,1,1031,4197,28,182,1931,7,,,New Mex. Highlands,
1969,3,59,DET,Larry Walton,WR,22,1978,0,0,7,40,39,107,2,3,72,1,0,13,127,1,173,2689,27,,,Arizona St.,College Stats
1969,3,60,NYG,Vern Vanoy,DT,22,1973,0,0,0,5,2,20,0,0,0,0,0,0,0,0,0,0,0,,4.0,Kansas,
1969,3,61,DEN,Bill Thompson,DB,22,1981,1,3,12,81,81,179,0,0,0,0,0,0,0,0,0,0,0,40,4.0,MD-Eastern Shore,
1969,3,62,WAS,Ed Cross,RB,,,0,0,0,,,,,,,,,,,,,,,,,Ark-Pine Bluff,
1969,3,63,MIA,Mercury Morris,RB,22,1976,0,3,3,50,48,99,0,0,0,0,0,804,4133,31,54,543,1,,,West Texas A&M,College Stats
1969,3,64,GNB,John Spilis,WR,21,1971,0,0,1,6,6,40,0,0,0,0,0,0,0,0,27,446,1,,,Northern Illinois,College Stats
1969,3,65,HOU,Elbert Drungo,T,26,1978,0,0,7,37,35,120,0,0,0,0,0,0,0,0,0,0,0,,,Tennessee St.,
1969,3,66,CHI,Ross Montgomery,RB,22,1970,0,0,1,3,3,26,0,0,0,0,0,77,281,0,16,83,0,,,TCU,College Stats
1969,3,67,ATL,Jon Sandstrom,G,,,0,0,0,,,,,,,,,,,,,,,,,Oregon St.,
1969,3,68,DAL,Thomas Stincic,LB,22,1972,0,0,0,11,10,42,0,0,0,0,0,0,0,0,0,0,0,1,,Michigan,
1969,3,69,PHI,Bill Bradley,DB,22,1977,2,3,6,53,53,114,0,1,0,0,0,3,19,0,0,0,0,34,2.0,Texas,College Stats
1969,3,70,SDG,Gene Ferguson,T,22,1972,0,0,1,12,8,41,0,0,0,0,0,0,0,0,0,0,0,,,Norfolk St.,
1969,3,71,STL,Chip Healy,LB,22,1970,0,0,0,6,6,28,0,0,0,0,0,0,0,0,0,0,0,,1.0,Vanderbilt,
1969,3,72,CLE,Chip Glass,TE,22,1974,0,0,0,8,8,81,0,0,0,0,0,0,0,0,34,642,5,,,Florida St.,College Stats
1969,3,73,STL,Terry Brown,DB,22,1976,0,0,1,23,2,85,0,0,0,0,0,0,0,0,1,7,0,7,1.0,Oklahoma St.,College Stats
1969,3,74,DAL,Halvor Hagen,G,22,1975,0,0,1,22,7,70,0,0,0,0,0,0,0,0,0,0,0,,2.0,Weber St.,
1969,3,75,OAK,Lloyd Edwards,TE,22,1969,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,,San Diego St.,
1969,3,76,KAN,Morris Stroud,TE,23,1974,0,0,4,10,10,69,0,0,0,0,0,0,0,0,54,977,7,,,Clark (GA),
1969,3,77,BAL,Dennis Nelson,T,23,1977,0,0,3,21,18,77,0,0,0,0,0,0,3,0,0,0,0,,,Illinois St.,
1969,3,78,HOU,Rich Johnson,RB,22,1969,0,0,0,0,0,14,0,0,0,0,0,11,42,0,2,17,1,,,Illinois,College Stats
1969,4,79,BUF,Mike Richey,T,22,1970,0,0,0,4,2,19,0,0,0,0,0,0,0,0,0,0,0,,,North Carolina,
1969,4,80,PHI,Bob Kuechenberg,G,21,1983,1,6,13,85,,196,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,
1969,4,81,ATL,Jim Mitchell,TE,21,1979,0,2,11,39,39,155,0,0,0,0,0,26,187,1,305,4358,28,,,Prairie View A&M,
1969,4,82,PIT,Bob Campbell,WR,22,1969,0,0,0,0,0,14,0,0,0,0,0,1,5,0,1,32,0,,,Penn St.,College Stats
1969,4,83,CIN,Clem Turner,RB,24,1972,0,0,0,3,1,51,0,0,0,0,0,74,270,2,21,112,1,,,Cincinnati,
1969,4,84,DEN,Mike Schnitker,G,22,1974,0,0,1,19,19,74,0,0,0,0,0,0,0,0,1,-11,0,,,Colorado,
1969,4,85,NOR,Dennis Hale,DB,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,
1969,4,86,SFO,Jim Sniadecki,LB,22,1973,0,0,1,16,16,58,0,0,0,0,0,0,0,0,0,0,0,1,1.0,Indiana,
1969,4,87,BAL,Jacky Stewart,RB,,,0,0,0,,,,,,,,,,,,,,,,,Texas Tech,College Stats
1969,4,88,DEN,Ed Hayes,DB,23,1970,0,0,0,1,,4,0,0,0,0,0,0,0,0,0,0,0,1,,Morgan St.,
1969,4,89,MIA,Norm McBride,DE,22,1970,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,,,Utah,
1969,4,90,GNB,Perry Williams,RB,22,1974,0,0,1,6,3,83,0,0,0,0,0,177,547,2,37,285,0,,,Purdue,College Stats
1969,4,91,CHI,Rudy Redmond,DB,22,1972,0,0,3,21,,50,0,0,0,0,0,0,0,0,0,0,0,8,,Pacific,
1969,4,92,NYG,Rich Houston,WR,23,1973,0,0,2,14,14,60,0,0,0,0,0,3,13,0,65,1121,7,,,Texas A&M-Commerce,
1969,4,93,HOU,Charlie JoinerHOF,WR,21,1986,1,3,15,92,7,239,0,1,0,0,0,8,22,0,750,12146,65,,,Grambling St.,
1969,4,94,SFO,Gene Moore,RB,22,1969,0,0,0,0,0,5,0,0,0,0,0,2,4,0,2,28,0,,,Occidental,
1969,4,95,MIN,Mike McCaffrey,LB,23,1970,0,0,0,3,,12,0,0,0,0,0,0,0,0,0,0,0,,1.5,California,
1969,4,96,HOU,Roy Gerela,K,21,1979,0,2,0,24,4,145,0,0,0,0,0,0,0,0,0,0,0,,,New Mexico St.,College Stats
1969,4,97,STL,Bill Rhodes,G,,,0,0,0,,,,,,,,,,,,,,,,,Florida St.,
1969,4,98,CLE,Freddie Summers,DB,22,1971,0,0,0,5,5,23,0,0,0,0,0,0,0,0,0,0,0,,,Wake Forest,College Stats
1969,4,99,RAM,John Zook,DE,21,1979,0,1,10,58,,144,0,0,0,0,0,0,0,0,0,0,0,4,78.0,Kansas,College Stats
1969,4,100,OAK,Ruby Jackson,T,,,0,0,0,,,,,,,,,,,,,,,,,New Mexico St.,
1969,4,101,KAN,Jack Rudnay,C,21,1982,0,4,13,64,64,178,0,0,0,0,0,0,0,0,0,0,0,,,Northwestern,
1969,4,102,NOR,Bob Hudspeth,T,,,0,0,0,,,,,,,,,,,,,,,,,Southern Illinois,
1969,4,103,ATL,Dicky Lyons,DB,22,1970,0,0,0,1,,4,0,0,0,0,0,0,0,0,0,0,0,1,,Kentucky,College Stats
1969,4,104,NYJ,Ezell Jones,T,22,1970,0,0,0,4,,18,0,0,0,0,0,0,0,0,0,0,0,,,Minnesota,
1969,5,105,BUF,Ben Mayes,DE,24,1969,0,0,0,2,,5,0,0,0,0,0,0,0,0,0,0,0,,,Drake,
