Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Column_28
1998,1,1,IND,Peyton ManningHOF,QB,22,2015,7,14,17,176,147,266,6125,9380,71940,539,251,431,667,18,1,-2,0,,,,Tennessee,College Stats
1998,1,2,SDG,Ryan Leaf,QB,22,2001,0,0,1,1,0,25,317,655,3666,14,36,59,127,0,0,0,0,,,,Washington St.,College Stats
1998,1,3,ARI,Andre Wadsworth,DE,23,2000,0,0,2,12,12,36,0,0,0,0,0,0,0,0,0,0,0,82,1,8.0,Florida St.,College Stats
1998,1,4,OAK,Charles WoodsonHOF,DB,21,2015,3,9,16,115,56,254,0,0,0,0,0,1,-3,0,2,27,0,997,65,20.0,Michigan,College Stats
1998,1,5,CHI,Curtis Enis,RB,22,2000,0,0,2,10,10,36,0,0,0,0,0,456,1497,4,59,428,2,1,,,Penn St.,College Stats
1998,1,6,STL,Grant Wistrom,DE,22,2006,0,0,8,54,39,132,0,0,0,0,0,0,0,0,0,0,0,335,5,53.0,Nebraska,College Stats
1998,1,7,NOR,Kyle Turley,T,22,2007,1,0,6,52,40,109,0,0,0,0,0,0,0,0,1,16,0,,,,San Diego St.,College Stats
1998,1,8,DAL,Greg Ellis,DE,23,2009,0,1,12,68,65,176,0,0,0,0,0,0,0,0,0,0,0,400,4,84.0,North Carolina,College Stats
1998,1,9,JAX,Fred Taylor,RB,22,2010,0,1,9,88,86,153,0,0,0,0,0,2534,11695,66,290,2384,8,,,,Florida,College Stats
1998,1,10,BAL,Duane Starks,DB,24,2006,0,0,4,33,25,97,0,0,0,0,0,0,0,0,0,0,0,314,25,1.0,Miami (FL),College Stats
1998,1,11,PHI,Tra Thomas,T,23,2009,0,3,11,72,71,174,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,
1998,1,12,ATL,Keith Brooking,LB,22,2012,0,5,12,81,66,225,0,0,0,0,0,0,0,0,0,0,0,1103,13,22.0,Georgia Tech,College Stats
1998,1,13,CIN,Takeo Spikes,LB,21,2012,1,2,14,83,23,219,0,0,0,0,0,0,0,0,0,0,0,1018,19,29.0,Auburn,College Stats
1998,1,14,CAR,Jason Peter,DE,23,2001,0,0,2,10,10,38,0,0,0,0,0,0,0,0,0,0,0,69,,7.5,Nebraska,College Stats
1998,1,15,SEA,Anthony Simmons,LB,22,2004,0,0,4,34,34,87,0,0,0,0,0,0,0,0,0,0,0,457,9,10.0,Clemson,College Stats
1998,1,16,TEN,Kevin Dyson,WR,23,2003,0,0,3,22,22,59,0,0,0,0,0,4,3,0,178,2325,18,,,,Utah,College Stats
1998,1,17,CIN,Brian Simmons,LB,23,2007,0,0,8,42,41,137,0,0,0,0,0,0,0,0,0,0,0,529,11,24.0,North Carolina,College Stats
1998,1,18,NWE,Robert Edwards,RB,23,2002,0,0,1,13,11,28,0,0,0,0,0,311,1222,10,53,457,4,2,,,Georgia,College Stats
1998,1,19,GNB,Vonnie Holliday,DE,22,2012,0,0,9,63,30,214,0,0,0,0,0,0,0,0,0,0,0,415,2,62.5,North Carolina,
1998,1,20,DET,Terry Fair,DB,22,2005,0,0,4,21,21,60,0,0,0,0,0,0,0,0,0,0,0,178,7,1.0,Tennessee,College Stats
1998,1,21,MIN,Randy MossHOF,WR,21,2012,4,6,12,124,82,218,4,8,106,2,1,25,159,0,982,15292,156,,1,,Marshall,College Stats
1998,1,22,NWE,Tebucky Jones,DB,23,2005,0,0,5,27,14,109,0,0,0,0,0,0,0,0,0,0,0,327,6,4.5,Syracuse,College Stats
1998,1,23,OAK,Mo Collins,G,21,2003,0,0,5,29,29,71,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,
1998,1,24,NYG,Shaun Williams,DB,21,2006,0,0,5,31,27,104,0,0,0,0,0,0,0,0,0,0,0,388,15,4.5,UCLA,College Stats
1998,1,25,JAX,Donovin Darius,DB,23,2007,0,0,8,45,44,118,0,0,0,0,0,0,0,0,0,0,0,492,14,2.0,Syracuse,College Stats
1998,1,26,PIT,Alan FanecaHOF,G,21,2010,6,9,13,108,92,206,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats
1998,1,27,KAN,Victor Riley,T,23,2005,0,0,5,40,24,111,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn,
1998,1,28,SFO,R.W. McQuarters,DB,21,2008,0,0,4,37,5,156,0,0,0,0,0,0,0,0,0,0,0,406,14,3.0,Oklahoma St.,College Stats
1998,1,29,MIA,John Avery,RB,22,2003,0,0,0,4,4,29,0,0,0,0,0,149,524,2,16,115,2,,,,Mississippi,College Stats
1998,1,30,DEN,Marcus Nash,WR,22,1999,0,0,0,1,1,11,0,0,0,0,0,0,0,0,4,76,0,,,,Tennessee,College Stats
1998,2,31,OAK,Leon Bender,DT,,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.,
1998,2,32,IND,Jerome Pathon,WR,22,2005,0,0,4,29,15,100,0,0,0,0,0,5,-7,0,260,3350,15,1,,,Washington,College Stats
1998,2,33,ARI,Corey Chavous,DB,22,2008,0,1,8,42,8,171,0,0,0,0,0,0,0,0,0,0,0,602,20,5.5,Vanderbilt,College Stats
1998,2,34,TAM,Jacquez Green,WR,22,2002,0,0,3,26,25,66,0,0,0,0,0,13,42,0,162,2311,7,,,,Florida,College Stats
1998,2,35,CHI,Tony Parrish,DB,22,2006,0,0,8,49,24,131,0,0,0,0,0,0,0,0,0,0,0,516,30,5.0,Washington,College Stats
1998,2,36,ARI,Anthony Clement,T,22,2007,0,0,6,39,22,128,0,0,0,0,0,0,0,0,0,0,0,,,,Louisiana,
1998,2,37,STL,Robert Holcombe,RB,22,2004,0,0,3,14,8,97,0,0,0,0,0,337,1141,11,69,573,3,20,,,Illinois,College Stats
1998,2,38,DAL,Flozell Adams,T,23,2010,0,5,12,81,76,198,0,0,0,0,0,0,0,0,0,0,0,6,,,Michigan St.,
1998,2,39,BUF,Sam Cowart,LB,23,2005,0,1,6,44,25,100,0,0,0,0,0,0,0,0,0,0,0,500,4,12.5,Florida St.,College Stats
1998,2,40,NOR,Cam Cleeland,TE,23,2005,0,0,5,9,8,89,0,0,0,0,0,3,-7,0,131,1478,13,3,,,Washington,College Stats
1998,2,41,PIT,Jeremy Staat,DE,21,2003,0,0,0,4,4,31,0,0,0,0,0,0,0,0,0,0,0,20,,,Arizona St.,
1998,2,42,BAL,Patrick Johnson,WR,22,2005,0,0,1,11,8,70,0,0,0,0,0,4,24,0,84,1286,10,12,,,Oregon,College Stats
1998,2,43,CIN,Artrell Hawkins,DB,21,2006,0,0,7,33,24,122,0,0,0,0,0,0,0,0,0,0,0,437,11,4.0,Cincinnati,College Stats
1998,2,44,MIA,Patrick Surtain,DB,22,2008,1,3,8,68,53,163,0,0,0,0,0,0,0,0,0,0,0,435,37,7.5,Southern Miss,College Stats
1998,2,45,TAM,Brian Kelly,DB,22,2008,0,0,5,36,34,141,0,0,0,0,0,0,0,0,0,0,0,372,22,3.5,USC,College Stats
1998,2,46,TEN,Samari Rolle,DB,22,2008,1,1,9,64,45,149,0,0,0,0,0,0,0,0,0,0,0,384,31,9.5,Florida St.,College Stats
1998,2,47,SEA,Todd Weiner,T,22,2008,0,0,7,47,8,152,0,0,0,0,0,0,0,0,1,0,0,,,,Kansas St.,
1998,2,48,WAS,Stephen Alexander,TE,22,2006,0,1,6,20,10,118,0,0,0,0,0,0,0,0,247,2519,14,,,,Oklahoma,College Stats
1998,2,49,MIA,Kenny Mixon,DE,23,2004,0,0,6,37,23,105,0,0,0,0,0,0,0,0,0,0,0,197,2,18.5,LSU,
1998,2,50,DET,Germane Crowell,WR,21,2002,0,0,1,23,23,54,0,0,0,0,0,8,91,0,184,2722,16,,,,Virginia,College Stats
1998,2,51,MIN,Kailee Wong,LB,22,2006,0,0,6,37,15,123,0,0,0,0,0,0,0,0,0,0,0,377,6,21.5,Stanford,
1998,2,52,NWE,Tony Simmons,WR,23,2002,0,0,0,8,8,49,0,0,0,0,0,0,0,0,58,998,6,3,,,Wisconsin,College Stats
1998,2,53,ATL,Bob Hallen,G,23,2005,0,0,3,24,17,86,0,0,0,0,0,0,0,0,0,0,0,,,,Kent St.,
1998,2,54,NWE,Rod Rutledge,TE,23,2002,0,0,2,2,2,70,0,0,0,0,0,0,0,0,27,204,1,,,,Alabama,College Stats
1998,2,55,NYG,Joe Jurevicius,WR,23,2007,0,0,3,31,9,133,0,0,0,0,0,0,0,0,323,4119,29,1,,,Penn St.,College Stats
1998,2,56,NYJ,Dorian Boose,DE,24,2001,0,0,0,5,3,44,0,0,0,0,0,0,0,0,0,0,0,23,,,Washington St.,College Stats
1998,2,57,JAX,Cordell Taylor,DB,24,1999,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,,,,Hampton,
1998,2,58,SFO,Jeremy Newberry,C,22,2008,0,2,7,52,46,120,0,0,0,0,0,0,0,0,0,0,0,,,,California,
1998,2,59,SDG,Mikhael Ricks,TE,23,2003,0,0,2,14,6,82,0,1,0,0,0,2,11,0,155,1939,8,,,,S.F. Austin,
1998,2,60,DET,Charlie Batch,QB,23,2012,0,0,4,34,29,81,908,1604,11085,61,52,172,637,6,0,0,0,,,,Eastern Michigan,College Stats
1998,2,61,DEN,Eric Brown,DB,23,2004,0,0,6,31,19,97,0,0,0,0,0,0,0,0,0,0,0,371,9,6.5,Mississippi St.,College Stats
1998,3,62,CAR,Chuck Wiley,DE,23,2004,0,0,1,12,6,79,0,0,0,0,0,0,0,0,0,0,0,99,1,6.5,LSU,
1998,3,63,OAK,Jon Ritchie,FB,24,2004,0,0,5,11,10,94,0,0,0,0,0,15,36,0,150,1148,7,6,,,Stanford,College Stats
1998,3,64,CHI,Olin Kreutz,C,21,2011,1,6,11,73,72,195,0,0,0,0,0,0,0,0,1,-8,0,1,,,Washington,College Stats
1998,3,65,STL,Leonard Little,DE,23,2009,1,1,7,52,52,147,0,0,0,0,0,0,0,0,0,0,0,334,2,87.5,Tennessee,
1998,3,66,PIT,Chris Conrad,T,23,1999,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,,,,Fresno St.,College Stats
1998,3,67,NYJ,Scott Frost,DB,23,2003,0,0,0,5,4,59,0,0,0,0,0,1,1,0,0,0,0,52,1,1.0,Nebraska,College Stats
