Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Column_28
2015,1,1,TAM,Jameis Winston,QB,21,2024,0,1,5,62,54,105,1944,3178,24225,154,111,323,1297,12,0,0,0,,,,Florida St.,College Stats
2015,1,2,TEN,Marcus Mariota,QB,21,2024,0,0,5,56,43,93,1361,2162,16184,97,55,375,2156,18,2,62,1,1,,,Oregon,College Stats
2015,1,3,JAX,Dante Fowler,OLB,21,2024,0,0,2,29,5,142,0,0,0,0,0,0,0,0,0,0,0,192,1,55.5,Florida,College Stats
2015,1,4,OAK,Amari Cooper,WR,21,2024,0,5,9,66,22,154,0,1,0,0,1,14,41,0,711,10033,64,2,,,Alabama,College Stats
2015,1,5,WAS,Brandon Scherff,T,23,2024,1,5,10,62,45,140,0,0,0,0,0,0,0,0,0,0,0,1,,,Iowa,College Stats
2015,1,6,NYJ,Leonard Williams,DE,21,2024,0,2,9,66,28,158,0,0,0,0,0,0,0,0,0,0,0,298,2,54.5,USC,College Stats
2015,1,7,CHI,Kevin White,WR,23,2022,0,0,0,3,2,30,0,0,0,0,0,1,9,0,28,397,0,2,,,West Virginia,College Stats
2015,1,8,ATL,Vic Beasley,OLB,23,2020,1,1,5,32,32,88,0,0,0,0,0,0,0,0,0,0,0,122,1,37.5,Clemson,College Stats
2015,1,9,NYG,Ereck Flowers,T,21,2021,0,0,7,35,18,105,0,0,0,0,0,0,0,0,1,-11,0,,,,Miami (FL),College Stats
2015,1,10,STL,Todd Gurley,RB,21,2020,2,3,6,54,50,88,0,0,0,0,0,1460,6082,67,243,2254,12,,,,Georgia,College Stats
2015,1,11,MIN,Trae Waynes,CB,23,2021,0,0,3,18,18,79,0,0,0,0,0,0,0,0,0,0,0,226,7,1.0,Michigan St.,College Stats
2015,1,12,CLE,Danny Shelton,NT,22,2022,0,0,5,33,15,101,0,0,0,0,0,0,0,0,0,0,0,138,,6.0,Washington,College Stats
2015,1,13,NOR,Andrus Peat,T,21,2024,0,3,7,53,52,126,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats
2015,1,14,MIA,DeVante Parker,WR,22,2023,0,0,6,36,32,119,0,0,0,0,0,0,0,0,402,5660,27,3,,,Louisville,College Stats
2015,1,15,SDG,Melvin Gordon,RB,22,2023,0,2,7,51,38,112,0,0,0,0,0,1593,6543,56,312,2513,14,,,,Wisconsin,College Stats
2015,1,16,HOU,Kevin Johnson,CB,23,2020,0,0,0,11,8,64,0,0,0,0,0,0,0,0,0,0,0,153,1,1.5,Wake Forest,College Stats
2015,1,17,SFO,Arik Armstead,DT,21,2024,0,0,6,41,41,133,0,0,0,0,0,0,0,0,0,0,0,198,,35.5,Oregon,College Stats
2015,1,18,KAN,Marcus Peters,CB,22,2023,2,3,7,63,32,116,0,0,0,0,0,0,0,0,0,0,0,312,33,2.0,Washington,College Stats
2015,1,19,CLE,Cameron Erving,C,23,2023,0,0,3,28,6,98,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,College Stats
2015,1,20,PHI,Nelson Agholor,WR,22,2024,0,0,7,36,18,149,1,1,15,0,0,14,71,0,389,4858,37,1,,,USC,College Stats
2015,1,21,CIN,Cedric Ogbuehi,T,23,2022,0,0,2,17,11,67,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
2015,1,22,PIT,Bud Dupree,OLB,22,2024,0,0,6,44,30,136,0,0,0,0,0,0,0,0,0,0,0,231,2,59.0,Kentucky,College Stats
2015,1,23,DEN,Shane Ray,DE,22,2018,0,0,1,12,12,49,0,0,0,0,0,0,0,0,0,0,0,64,,14.0,Missouri,College Stats
2015,1,24,ARI,D.J. Humphries,T,21,2024,0,1,7,45,44,100,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats
2015,1,25,CAR,Shaq Thompson,OLB,21,2024,0,0,8,41,41,123,0,0,0,0,0,0,0,0,0,0,0,470,3,12.0,Washington,College Stats
2015,1,26,BAL,Breshad Perriman,WR,21,2022,0,0,1,15,4,80,0,0,0,0,0,11,16,0,145,2343,16,,,,Central Florida,College Stats
2015,1,27,DAL,Byron Jones,CB,22,2021,0,1,7,38,29,109,0,0,0,0,0,0,0,0,0,0,0,345,4,,Connecticut,College Stats
2015,1,28,DET,Laken Tomlinson,G,23,2024,0,1,10,54,11,163,0,0,0,0,0,0,0,0,0,0,0,,,,Duke,College Stats
2015,1,29,IND,Phillip Dorsett,WR,22,2023,0,0,0,16,7,94,0,1,0,0,0,14,84,0,151,2001,12,,,,Miami (FL),College Stats
2015,1,30,GNB,Damarious Randall,S,23,2020,0,0,5,21,11,75,0,0,0,0,0,0,0,0,0,0,0,244,14,2.5,Arizona St.,College Stats
2015,1,31,NOR,Stephone Anthony,ILB,23,2019,0,0,1,10,9,62,0,0,0,0,0,0,0,0,0,0,0,97,1,1.0,Clemson,College Stats
2015,1,32,NWE,Malcom Brown,DT,21,2021,0,0,6,43,27,106,0,0,0,0,0,0,0,0,0,0,0,160,,13.5,Texas,College Stats
2015,2,33,NYG,Landon Collins,S,21,2022,1,3,6,42,32,100,0,0,0,0,0,0,0,0,0,0,0,489,12,11.0,Alabama,College Stats
2015,2,34,TAM,Donovan Smith,T,22,2023,0,0,9,57,53,136,0,0,0,0,0,0,0,0,1,0,0,,,,Penn St.,College Stats
2015,2,35,OAK,Mario Edwards,DT,21,2024,0,0,2,24,10,127,0,0,0,0,0,0,0,0,0,0,0,122,,24.5,Florida St.,College Stats
2015,2,36,JAX,T.J. Yeldon,RB,21,2020,0,0,2,20,19,60,0,0,0,0,0,492,2005,6,185,1448,7,,,,Alabama,College Stats
2015,2,37,NYJ,Devin Smith,WR,23,2021,0,0,0,2,1,22,0,0,0,0,0,0,0,0,15,248,2,3,,,Ohio St.,College Stats
2015,2,38,WAS,Preston Smith,DE,22,2024,0,0,8,55,21,163,0,0,0,0,0,0,0,0,0,0,0,275,5,70.5,Mississippi St.,College Stats
2015,2,39,CHI,Eddie Goldman,DT,21,2024,0,0,4,35,32,98,0,0,0,0,0,0,0,0,0,0,0,123,,14.0,Florida St.,College Stats
2015,2,40,TEN,Dorial Green-Beckham,WR,22,2016,0,0,0,7,4,31,0,0,0,0,0,0,0,0,68,941,6,,,,Oklahoma,College Stats
2015,2,41,CAR,Devin Funchess,TE,21,2019,0,0,2,20,20,62,0,0,0,0,0,0,0,0,164,2265,21,,,,Michigan,College Stats
2015,2,42,ATL,Jalen Collins,CB,22,2016,0,0,0,4,4,24,0,0,0,0,0,0,0,0,0,0,0,45,2,,LSU,College Stats
2015,2,43,HOU,Benardrick McKinney,ILB,22,2021,0,1,5,44,42,91,0,0,0,0,0,0,0,0,0,0,0,331,1,11.5,Mississippi St.,College Stats
2015,2,44,NOR,Hau'oli Kikaha,OLB,23,2017,0,0,1,5,5,27,0,0,0,0,0,0,0,0,0,0,0,39,,8.0,Washington,College Stats
2015,2,45,MIN,Eric Kendricks,ILB,23,2024,1,1,10,64,55,147,0,0,0,0,0,0,0,0,0,0,0,729,11,21.5,UCLA,College Stats
