Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,Column_27
1983,2,41,CLE,Ron Brown,WR,22,1991,1,1,3,20,,100,0,0,0,0,0,21,127,0,98,1791,13,,,Arizona St.,College Stats
1983,2,42,HOU,Keith Bostic,DB,22,1990,0,1,6,34,34,96,0,0,0,0,0,0,0,0,0,0,0,13,17.0,Michigan,College Stats
1983,2,43,ATL,James Britt,DB,22,1987,0,0,2,13,13,60,0,0,0,0,0,0,0,0,0,0,0,3,,LSU,College Stats
1983,2,44,STL,Cedric Mack,DB,22,1993,0,0,6,33,31,140,0,0,0,0,0,0,0,0,6,77,0,20,3.0,Baylor,College Stats
1983,2,45,TAM,Randy Grimes,C,23,1992,0,0,7,38,38,118,0,0,0,0,0,0,0,0,0,0,0,,,Baylor,
1983,2,46,PHI,Jody Schulz,LB,23,1987,0,0,0,6,6,44,0,0,0,0,0,0,0,0,0,0,0,1,1.5,East Carolina,
1983,2,47,NWE,Darryal Wilson,WR,22,1983,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,Tennessee,College Stats
1983,2,48,GNB,Dave Drechsler,G,23,1984,0,0,1,10,10,32,0,0,0,0,0,0,0,0,0,0,0,,,North Carolina,
1983,2,49,SFO,Roger Craig,RB,23,1993,1,4,9,95,87,165,0,0,0,0,0,1991,8189,56,566,4911,17,,,Nebraska,College Stats
1983,2,50,DAL,Mike Walter,LB,22,1993,0,0,7,46,1,149,0,0,0,0,0,0,0,0,0,0,0,2,8.0,Oregon,College Stats
1983,2,51,NYJ,Johnny Hector,RB,22,1992,0,0,1,39,39,126,0,1,0,0,0,1051,4280,41,188,1661,3,,,Texas A&M,College Stats
1983,2,52,PIT,Wayne Capers,WR,22,1986,0,0,1,8,3,47,0,0,0,0,0,5,26,1,51,822,5,,,Kansas,College Stats
1983,2,53,CIN,Ray Horton,DB,23,1992,0,0,6,38,16,147,0,0,0,0,0,0,0,0,0,0,0,19,3.0,Washington,College Stats
1983,2,54,RAI,Bill Pickel,NT,23,1994,1,0,4,49,43,174,0,0,0,0,0,0,0,0,0,0,0,,56.0,Rutgers,College Stats
1983,2,55,MIA,Mike Charles,NT,20,1991,0,0,3,27,14,101,0,0,0,0,0,0,0,0,0,0,0,1,14.0,Syracuse,
1983,2,56,WAS,Richard Williams,RB,23,1984,0,0,0,0,,22,0,0,0,0,0,1,5,0,0,0,0,,,Memphis,College Stats
1983,3,57,BAL,George Achica,DT,22,1985,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,USC,College Stats
1983,3,58,HOU,Tim Joiner,LB,22,1987,0,0,0,3,2,29,0,0,0,0,0,0,0,0,0,0,0,,,LSU,
1983,3,59,SFO,Blanchard Montgomery,LB,22,1984,0,0,0,3,3,27,0,0,0,0,0,0,0,0,0,0,0,,,UCLA,College Stats
1983,3,60,DEN,Clint Sampson,WR,22,1986,0,0,0,10,10,59,0,0,0,0,0,0,0,0,66,1014,8,,,San Diego St.,College Stats
1983,3,61,KAN,Albert Lewis,DB,22,1998,2,4,13,82,69,225,0,0,0,0,0,0,0,0,0,0,0,42,12.5,Grambling St.,
1983,3,62,PHI,Glen Young,WR,22,1988,0,0,0,2,1,58,0,0,0,0,0,0,0,0,11,317,2,,,Mississippi St.,College Stats
1983,3,63,NYG,Jamie Williams,TE,23,1994,0,0,5,16,,160,0,0,0,0,0,0,0,0,181,1980,11,,,Nebraska,College Stats
1983,3,64,CHI,Dave Duerson,DB,22,1993,0,4,5,58,53,160,0,0,0,0,0,0,0,0,0,0,0,20,16.0,Notre Dame,College Stats
1983,3,65,NOR,John Tice,TE,23,1992,0,0,4,12,12,134,0,0,0,0,0,0,0,0,158,1603,15,,,Maryland,College Stats
1983,3,66,NOR,Cliff Austin,RB,23,1987,0,0,0,5,0,58,0,0,0,0,0,109,445,2,11,118,0,,,Clemson,College Stats
1983,3,67,DET,Mike Cofer,LB,23,1992,0,1,7,47,47,123,0,0,0,0,0,0,0,0,0,0,0,1,62.5,Tennessee,
1983,3,68,CLE,Reggie Camp,DE,22,1988,0,0,4,30,30,74,0,0,0,0,0,0,0,0,0,0,0,,35.0,California,
1983,3,69,HOU,Chris Dressel,TE,22,1992,0,0,2,8,6,111,0,0,0,0,0,1,3,0,111,1098,8,,,Stanford,College Stats
1983,3,70,NYG,Karl Nelson,T,23,1988,0,0,3,25,25,57,0,0,0,0,0,0,0,0,0,0,0,,,Iowa St.,
1983,3,71,STL,Ramsey Dardar,DT,23,1984,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,,,LSU,
1983,3,72,TAM,Jeremiah Castille,DB,22,1988,0,0,3,23,17,87,0,0,0,0,0,0,0,0,0,0,0,14,,Alabama,College Stats
1983,3,73,MIN,Walker Lee Ashley,LB,23,1990,0,0,1,13,6,94,0,0,0,0,0,0,0,0,0,0,0,2,,Penn St.,
1983,3,74,NWE,Stephen Starring,WR,22,1988,0,0,1,16,14,84,0,0,0,0,0,5,-3,0,120,2029,11,,,McNeese St.,College Stats
1983,3,75,ATL,Andrew Provence,DT,22,1987,0,0,1,9,9,69,0,0,0,0,0,0,0,0,0,0,0,,5.0,South Carolina,
1983,3,76,MIA,Charles Benson,DE,22,1987,0,0,0,4,2,28,0,0,0,0,0,0,0,0,0,0,0,1,2.0,Baylor,
1983,3,77,DAL,Bryan Caldwell,DE,23,1984,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,,,Arizona St.,College Stats
1983,3,78,NYJ,Jo-Jo Townsell,WR,22,1990,0,0,0,10,10,83,0,0,0,0,0,2,0,0,70,1119,5,,,UCLA,College Stats
1983,3,79,PIT,Todd Seabaugh,LB,22,1984,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,San Diego St.,
1983,3,80,NWE,Steve Moore,T,22,1987,0,0,2,14,14,52,0,0,0,0,0,0,0,0,0,0,0,,,Tennessee St.,
1983,3,81,CIN,Jimmy Turner,DB,24,1987,0,0,0,6,6,64,0,0,0,0,0,0,0,0,0,0,0,2,,UCLA,College Stats
1983,3,82,RAI,Tony Caldwell,LB,22,1987,0,0,0,3,2,36,0,0,0,0,0,0,0,0,0,0,0,1,,Washington,College Stats
1983,3,83,HOU,Steve Brown,DB,23,1990,0,0,7,30,30,119,0,0,0,0,0,0,0,0,0,0,0,18,5.0,Oregon,College Stats
1983,3,84,WAS,Charles Mann,DE,22,1994,0,4,10,79,78,177,0,0,0,0,0,0,0,0,0,0,0,,83.0,Nevada,
1983,4,85,BAL,Phil Smith,WR,23,1987,0,0,0,3,1,22,0,0,0,0,0,2,-10,0,9,189,0,,,San Diego St.,College Stats
1983,4,86,HOU,Greg Hill,DB,22,1988,0,0,0,8,1,79,0,0,0,0,0,0,0,0,0,0,0,9,,Oklahoma St.,College Stats
1983,4,87,RAM,Chuck Nelson,K,23,1988,0,0,0,7,0,63,0,0,0,0,0,0,0,0,0,0,0,,,Washington,College Stats
1983,4,88,HOU,Mike McCloskey,TE,22,1987,0,0,0,2,2,48,0,0,0,0,0,0,0,0,29,318,3,,,Penn St.,College Stats
1983,4,89,PHI,Michael Williams,RB,22,1987,0,0,1,5,4,34,0,0,0,0,0,150,517,0,33,259,0,,,Mississippi Col.,
1983,4,90,SFO,Tom Holmoe,DB,23,1989,0,0,0,11,11,82,0,0,0,0,0,0,0,0,0,0,0,7,,BYU,College Stats
1983,4,91,CHI,Tom Thayer,G,22,1993,0,0,8,48,48,126,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,
1983,4,92,KAN,Ron Wetzel,TE,22,1983,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,,,Arizona St.,College Stats
1983,4,93,BUF,Trey Junkin,TE,22,2002,0,0,0,2,0,281,0,0,0,0,0,0,0,0,17,144,7,,,Louisiana Tech,College Stats
1983,4,94,DET,August Curley,LB,23,1986,0,0,1,7,7,38,0,0,0,0,0,0,0,0,0,0,0,,,USC,College Stats
1983,4,95,SDG,Danny Walters,DB,22,1987,0,0,3,17,17,54,0,0,0,0,0,0,0,0,0,0,0,12,,Arkansas,College Stats
1983,4,96,STL,Mark Duda,DT,22,1987,0,0,2,15,15,55,0,0,0,0,0,0,0,0,0,0,0,,9.5,Maryland,
1983,4,97,RAM,Vince Newsome,DB,22,1992,0,0,6,38,26,141,0,0,0,0,0,0,0,0,0,0,0,16,4.0,Washington,College Stats
1983,4,98,NOR,Gary Lewis,NT,22,1983,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,Oklahoma St.,
1983,4,99,TAM,Kelly Thomas,T,22,1987,0,0,1,8,7,27,0,0,0,0,0,0,0,0,0,0,0,,,USC,
1983,4,100,MIN,Mark Rush,RB,,,0,0,0,,,,,,,,,,,,,,,,,Miami (FL),College Stats
1983,4,101,NWE,Johnny Rembert,LB,22,1992,0,2,4,43,43,126,0,0,0,0,0,0,0,0,0,0,0,7,16.0,Clemson,College Stats
1983,4,102,ATL,John Harper,LB,23,1983,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,,,Southern Illinois,
1983,4,103,STL,Lionel Washington,DB,22,1997,0,0,11,53,12,204,0,0,0,0,0,0,0,0,0,0,0,37,1.0,Tulane,College Stats
1983,4,104,GNB,Mike Miller,WR,23,1985,0,0,0,1,,16,0,0,0,0,0,1,2,0,7,170,0,,,Tennessee,College Stats
1983,4,105,NYJ,Wes Howell,TE,,,0,0,0,,,,,,,,,,,,,,,,,California,College Stats
1983,4,106,PIT,Bo Metcalf,DB,22,1984,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,Baylor,
1983,4,107,CHI,Pat Dunsmore,TE,23,1984,0,0,0,2,2,27,0,0,0,0,0,0,0,0,17,208,1,,,Drake,College Stats
1983,4,108,DAL,Chris Faulkner,TE,23,1985,0,0,0,0,,17,0,0,0,0,0,0,0,0,2,18,0,,,Florida,College Stats
1983,4,109,CIN,Steve Maidlow,LB,23,1987,0,0,0,5,3,50,0,0,0,0,0,0,0,0,0,0,0,,,Michigan St.,
1983,4,110,RAI,Greg Townsend,DE,21,1997,0,2,7,63,59,190,0,0,0,0,0,0,0,0,0,0,0,3,109.5,TCU,
1983,4,111,RAM,Doug Reed,DE,23,1990,0,0,6,34,34,96,0,0,0,0,0,0,0,0,0,0,0,,22.5,San Diego St.,
1983,4,112,BUF,Jimmy Payne,DE,,,0,0,0,,,,,,,,,,,,,,,,,Georgia,
1983,5,113,BAL,Sid Abramowitz,T,23,1987,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,,,Tulsa,
1983,5,114,HOU,Larry Moriarty,RB,25,1988,0,0,3,14,11,81,1,1,16,0,0,500,1908,13,77,494,2,,,Notre Dame,College Stats
1983,5,115,DET,Demetrious Johnson,DB,22,1987,0,0,2,20,19,65,0,0,0,0,0,0,0,0,0,0,0,5,3.0,Missouri,College Stats
1983,5,116,DEN,George Harris,LB,,,0,0,0,,,,,,,,,,,,,,,,,Houston,
1983,5,117,SFO,Riki Ellison,LB,23,1992,0,0,8,49,31,124,0,0,0,0,0,0,0,0,0,0,0,1,5.0,USC,
1983,5,118,NWE,Smiley Creswell,DE,23,1985,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,1.0,Michigan St.,
1983,5,119,KAN,Jim Arnold,P,22,1994,1,2,0,22,7,174,0,1,0,0,0,3,42,0,0,0,0,,,Vanderbilt,College Stats
1983,5,120,PHI,Byron Darby,DE,23,1989,0,0,1,12,7,87,0,0,0,0,0,0,0,0,2,16,0,,13.5,USC,College Stats
