Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,Column_27
1971,1,1,NWE,Jim Plunkett,QB,23,1986,0,0,10,85,38,157,1943,3701,25882,164,198,323,1337,14,0,0,0,,,Stanford,College Stats
1971,1,2,NOR,Archie Manning,QB,22,1984,0,2,11,76,70,151,2011,3642,23911,125,173,384,2197,18,1,-7,0,,,Mississippi,College Stats
1971,1,3,HOU,Dan Pastorini,QB,22,1983,0,1,9,62,63,140,1556,3055,18515,103,161,216,685,8,0,0,0,,,Santa Clara,
1971,1,4,BUF,J.D. Hill,WR,22,1977,0,1,5,36,34,73,0,0,0,0,0,3,14,0,185,2880,21,,,Arizona St.,College Stats
1971,1,5,PHI,Richard Harris,DE,23,1977,0,0,6,20,10,93,0,0,0,0,0,0,0,0,0,0,0,,22.0,Grambling St.,
1971,1,6,NYJ,John RigginsHOF,RB,22,1985,1,1,12,90,45,175,0,2,0,0,0,2916,11352,104,250,2090,12,,,Kansas,College Stats
1971,1,7,ATL,Joe Profit,RB,22,1973,0,0,0,5,2,23,0,0,0,0,0,133,471,3,14,130,0,,,La-Monroe,
1971,1,8,PIT,Frank Lewis,WR,24,1983,0,1,9,60,22,155,0,0,0,0,0,12,146,1,397,6724,40,,,Grambling St.,
1971,1,9,GNB,John Brockington,RB,22,1977,1,3,7,53,51,95,0,1,0,0,0,1347,5185,30,157,1297,4,,,Ohio St.,College Stats
1971,1,10,RAM,Isiah Robertson,LB,22,1982,2,6,11,103,81,168,0,0,0,0,0,0,0,0,0,0,0,25,24.5,Southern,
1971,1,11,CHI,Joe Moore,RB,22,1973,0,0,0,3,3,23,0,0,0,0,0,87,281,0,5,39,0,,,Missouri,College Stats
1971,1,12,DEN,Marv Montgomery,T,23,1978,0,0,3,29,20,81,0,0,0,0,0,0,0,0,0,0,0,,,USC,
1971,1,13,SDG,Leon Burns,RB,28,1972,0,0,0,3,2,28,0,0,0,0,0,87,292,3,9,46,0,,,Long Beach St.,College Stats
1971,1,14,CLE,Clarence Scott,DB,22,1983,0,1,12,64,64,186,0,0,0,0,0,0,0,0,0,0,0,39,3.0,Kansas St.,
1971,1,15,CIN,Vern Holland,T,23,1980,0,0,8,53,52,131,0,0,0,0,0,0,0,0,0,0,0,,,Tennessee St.,
1971,1,16,KAN,Elmo Wright,WR,22,1975,0,0,3,13,13,51,0,0,0,0,0,10,69,1,70,1116,6,,,Houston,College Stats
1971,1,17,STL,Norm Thompson,DB,26,1979,0,0,7,40,29,115,0,0,0,0,0,0,0,0,0,0,0,33,3.0,Utah,
1971,1,18,NYG,Rocky Thompson,RB,23,1973,0,0,0,4,4,29,0,0,0,0,0,68,217,1,16,85,0,,,West Texas A&M,
1971,1,19,OAK,Jack Tatum,DB,22,1980,0,3,9,62,60,136,0,0,0,0,0,0,0,0,0,0,0,37,,Ohio St.,College Stats
1971,1,20,RAM,Jack YoungbloodHOF,DE,21,1984,5,7,13,112,112,202,0,0,0,0,0,0,0,0,0,0,0,,151.5,Florida,
1971,1,21,DET,Bob Bell,DT,23,1978,0,0,4,29,12,100,0,0,0,0,0,0,0,0,0,0,0,,28.0,Cincinnati,
1971,1,22,BAL,Don McCauley,RB,22,1981,0,0,2,45,45,156,1,2,11,1,0,770,2627,40,333,3026,17,,,North Carolina,College Stats
1971,1,23,SFO,William Anderson,DB,22,1976,0,0,0,3,2,15,0,0,0,0,0,0,0,0,0,0,0,,,Ohio St.,
1971,1,24,MIN,Leo Hayden,RB,23,1973,0,0,0,0,0,13,0,0,0,0,0,8,11,1,1,17,0,,,Ohio St.,College Stats
1971,1,25,DAL,Tody Smith,DE,22,1976,0,0,4,27,5,69,0,0,0,0,0,0,0,0,0,0,0,1,26.0,USC,
1971,1,26,BAL,Lenny Dunlap,DB,22,1975,0,0,2,14,2,46,0,0,0,0,0,0,0,0,0,0,0,5,,North Texas,
1971,2,27,NWE,Julius Adams,DE,23,1987,0,1,12,60,60,206,0,0,0,0,0,0,0,0,0,0,0,,80.5,Texas Southern,
1971,2,28,CHI,Jim Harrison,RB,22,1974,0,0,2,11,11,38,0,0,0,0,0,308,1099,4,36,286,3,,,Missouri,College Stats
1971,2,29,BUF,Jan White,TE,22,1972,0,0,2,3,3,27,0,0,0,0,0,0,0,0,25,278,2,,,Ohio St.,College Stats
1971,2,30,DET,Dave Thompson,T,22,1975,0,0,2,17,11,56,0,0,0,0,0,0,0,0,0,0,0,,,Clemson,
1971,2,31,NOR,Sam Holden,T,24,1971,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,,,Grambling St.,
1971,2,32,NYJ,John Mooring,T,24,1974,0,0,0,12,11,53,0,0,0,0,0,0,0,0,0,0,0,,,Tampa,
1971,2,33,ATL,Ken Burrow,WR,23,1975,0,0,5,27,27,64,0,0,0,0,0,6,25,0,152,2668,21,,,San Diego St.,College Stats
1971,2,34,PIT,Jack HamHOF,LB,22,1982,6,8,12,113,113,162,0,0,0,0,0,0,0,0,0,0,0,32,25.5,Penn St.,College Stats
1971,2,35,DEN,Dwight Harrison,DB,22,1980,0,0,5,34,5,108,0,0,0,0,0,6,45,0,20,281,2,19,,Texas A&M-Kingsville,
1971,2,36,CHI,Charlie Ford,DB,22,1975,0,0,3,27,21,60,0,0,0,0,0,0,0,0,0,0,0,15,,Houston,
1971,2,37,SFO,Ernie Janet,G,22,1975,0,0,1,7,,31,0,0,0,0,0,0,0,0,0,0,0,,,Washington,College Stats
1971,2,38,WAS,Cotton Speyrer,WR,22,1975,0,0,1,7,,36,1,1,54,1,0,1,1,0,34,535,5,,,Texas,College Stats
1971,2,39,KAN,Wilbur Young,DE,22,1982,0,0,7,44,28,153,0,0,0,0,0,0,0,0,0,0,0,2,59.5,William Penn,
1971,2,40,CLE,Bo Cornell,LB,22,1977,0,0,2,21,8,96,0,0,0,0,0,22,33,0,3,25,0,,4.0,Washington,College Stats
1971,2,41,CIN,Steve Lawson,G,22,1977,0,0,2,24,2,64,0,0,0,0,0,0,0,0,0,0,0,,,Kansas,
1971,2,42,KAN,Scott Lewis,DE,,,0,0,0,,,,,,,,,,,,,,,,,Grambling St.,
1971,2,43,STL,Dan DierdorfHOF,T,22,1983,3,6,10,82,82,160,0,0,0,0,0,0,0,0,0,0,0,,,Michigan,College Stats
1971,2,44,NYG,Wayne Walton,T,22,1974,0,0,0,6,2,37,0,0,0,0,0,0,0,0,0,0,0,,,Abilene Christian,
1971,2,45,OAK,Phil Villapiano,LB,22,1983,0,4,8,66,64,163,0,0,0,0,0,0,0,0,0,0,0,11,15.0,Bowling Green,College Stats
1971,2,46,GNB,Virgil Robinson,RB,23,1972,0,0,0,2,,14,0,0,0,0,0,34,97,1,12,53,1,,,Grambling St.,
1971,2,47,MIA,Otto Stowe,WR,22,1974,0,0,1,12,6,36,0,0,0,0,0,4,29,0,43,742,10,,,Iowa St.,College Stats
1971,2,48,DET,Charlie Weaver,LB,22,1981,0,0,8,53,53,147,0,0,0,0,0,0,0,0,0,0,0,15,24.0,USC,College Stats
1971,2,49,SFO,Joe Orduna,RB,22,1974,0,0,0,2,,39,0,0,0,0,0,74,236,3,11,58,1,,,Nebraska,College Stats
1971,2,50,PHI,Henry Allison,G,24,1977,0,0,1,16,5,55,0,0,0,0,0,0,0,0,0,0,0,,,San Diego St.,
1971,2,51,DAL,Ike Thomas,DB,23,1975,0,0,0,9,3,37,0,0,0,0,0,0,0,0,0,0,0,2,,Bishop,
1971,2,52,BAL,Bill Atessis,DE,22,1971,0,0,0,2,,5,0,0,0,0,0,0,0,0,0,0,0,,,Texas,College Stats
1971,3,53,BUF,Bruce Jarvis,C,22,1974,0,0,2,9,9,24,0,0,0,0,0,0,0,0,0,0,0,,,Washington,
1971,3,54,NOR,Bivian Lee,DB,23,1975,0,0,1,17,17,65,0,0,0,0,0,0,0,0,0,0,0,9,,Prairie View A&M,
1971,3,55,SFO,Sam Dickerson,WR,,,0,0,0,,,,,,,,,,,,,,,,,USC,College Stats
1971,3,56,HOU,Lynn Dickey,QB,21,1985,0,0,8,67,4,152,1747,3125,23322,141,179,140,121,9,0,0,0,,,Kansas St.,College Stats
1971,3,57,BUF,Jim Braxton,RB,22,1978,0,0,4,37,36,90,1,3,49,0,0,741,2890,25,144,1473,6,,,West Virginia,College Stats
1971,3,58,NYJ,Chris Farasopoulos,DB,22,1974,0,0,2,12,12,42,0,0,0,0,0,0,0,0,0,0,0,4,0.5,BYU,
1971,3,59,ATL,Leo Hart,QB,22,1972,0,0,0,0,0,3,6,16,53,0,3,5,19,0,0,0,0,,,Duke,College Stats
1971,3,60,PIT,Steve Davis,RB,22,1976,0,0,1,13,8,65,0,0,0,0,0,322,1305,9,33,301,2,,,Delaware St.,
1971,3,61,STL,Jim Livesay,WR,,,0,0,0,,,,,,,,,,,,,,,,,Richmond,College Stats
1971,3,62,GNB,Charlie Hall,DB,23,1976,0,0,0,13,13,83,0,0,0,0,0,0,0,0,1,18,0,2,,Pittsburgh,
1971,3,63,RAM,Dave Elmendorf,DB,22,1979,0,0,9,58,58,130,0,0,0,0,0,0,0,0,0,0,0,27,5.0,Texas A&M,College Stats
1971,3,64,CHI,Tony McGee,DE,22,1984,0,0,5,38,14,202,0,0,0,0,0,0,0,0,0,0,0,,103.0,Bishop,
1971,3,65,SDG,Mike Montgomery,RB,22,1974,0,0,0,11,6,37,4,10,111,1,0,96,297,2,59,835,7,,,Kansas St.,College Stats
1971,3,66,CLE,Paul Staroba,WR,22,1973,0,0,0,0,0,10,0,0,0,0,0,1,11,0,2,42,1,,,Michigan,College Stats
1971,3,67,CIN,Ken Anderson,QB,22,1986,1,4,13,120,120,192,2654,4475,32838,197,160,397,2220,20,0,0,0,,,Augustana (IL),
1971,3,68,CLE,Charlie Hall,LB,22,1980,0,0,9,48,48,146,0,0,0,0,0,0,0,0,0,0,0,13,6.5,Houston,
1971,3,69,DAL,Sam Scarber,RB,22,1976,0,0,0,4,,25,0,0,0,0,0,76,304,2,26,164,2,,,New Mexico,College Stats
1971,3,70,NYG,Ron Hornsby,LB,22,1974,0,0,2,13,13,49,0,0,0,0,0,0,0,0,0,0,0,1,2.0,Southeastern Louisiana,
