Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Column_28
2017,1,1,CLE,Myles Garrett,DE,21,2024,4,6,8,90,90,117,0,0,0,0,0,0,0,0,0,0,0,250,,102.5,Texas A&M,College Stats
2017,1,2,CHI,Mitchell Trubisky,QB,23,2024,0,1,4,39,34,78,1219,1898,12715,74,48,255,1174,13,0,0,0,,,,North Carolina,College Stats
2017,1,3,SFO,Solomon Thomas,DE,21,2024,0,0,2,21,15,115,0,0,0,0,0,0,0,0,0,0,0,133,,18.5,Stanford,College Stats
2017,1,4,JAX,Leonard Fournette,RB,22,2023,0,0,5,38,19,81,0,2,0,0,1,1144,4518,34,312,2219,7,1,,,LSU,College Stats
2017,1,5,TEN,Corey Davis,WR,22,2022,0,0,5,31,24,78,0,0,0,0,0,6,55,0,273,3879,17,,,,Western Michigan,College Stats
2017,1,6,NYJ,Jamal Adams,S,21,2024,1,3,6,44,29,85,0,0,0,0,0,0,0,0,0,0,0,366,4,21.5,LSU,College Stats
2017,1,7,LAC,Mike Williams,WR,22,2024,0,0,4,38,37,106,0,0,0,0,0,10,34,1,330,5104,32,,1,,Clemson,College Stats
2017,1,8,CAR,Christian McCaffrey,RB,21,2024,2,3,5,74,45,95,2,4,84,2,0,1347,6387,52,524,4466,29,1,,,Stanford,College Stats
2017,1,9,CIN,John Ross,WR,21,2024,0,0,1,7,5,38,0,0,0,0,0,9,41,0,63,963,11,,,,Washington,College Stats
2017,1,10,KAN,Patrick Mahomes,QB,21,2024,2,6,7,106,106,112,2778,4171,32352,245,74,432,2243,14,2,8,0,2,,,Texas Tech,College Stats
2017,1,11,NOR,Marshon Lattimore,CB,21,2024,0,4,6,42,41,99,0,0,0,0,0,0,0,0,0,0,0,329,15,,Ohio St.,College Stats
2017,1,12,HOU,Deshaun Watson,QB,21,2024,0,3,4,58,52,73,1527,2305,17904,123,48,400,2142,20,1,6,1,1,,,Clemson,College Stats
2017,1,13,ARI,Haason Reddick,LB,22,2024,0,2,5,44,14,124,0,0,0,0,0,0,0,0,0,0,0,272,,59.0,Temple,College Stats
2017,1,14,PHI,Derek Barnett,DE,21,2024,0,0,3,26,22,95,0,0,0,0,0,0,0,0,0,0,0,122,,29.0,Tennessee,College Stats
