Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Curtis Painter,26,2,8,"132 for 243, 1,541 yards, 6 td, 9 int, & 17 rushes for 107 yards and 0 td",,Starters_1,CLT,2011,2025-08-15 19:03:46
RB,Joseph Addai,28,5,11,"118 rushes for 433 yards, 1 td, & 15 catches for 93 yards and 0 td",,Starters_1,CLT,2011,2025-08-15 19:03:46
WR,Pierre Garcon,25,3,16,"70 catches for 947 yards, 6 td, & 4 rushes for 28 yards and 0 td",,Starters_1,CLT,2011,2025-08-15 19:03:46
WR,Reggie Wayne,33,10,16,"75 catches for 960 yards, 4 td",,Starters_1,CLT,2011,2025-08-15 19:03:46
TE,Dallas Clark,32,8,10,"34 catches for 352 yards, 2 td",,Starters_1,CLT,2011,2025-08-15 19:03:46
TE,Brody Eldridge,24,1,8,"9 catches for 45 yards, 0 td",,Starters_1,CLT,2011,2025-08-15 19:03:46
LT,Anthony Castonzo,23,Rook,12,,,Starters_1,CLT,2011,2025-08-15 19:03:46
LG,Joe Reitz,26,1,9,1 fumble recovered,,Starters_1,CLT,2011,2025-08-15 19:03:46
C,Jeff Saturday,36,12,16,1 fumble recovered,,Starters_1,CLT,2011,2025-08-15 19:03:46
RG,Ryan Diem,32,10,11,,,Starters_1,CLT,2011,2025-08-15 19:03:46
RT,Jeff Linkenbach,24,1,16,2 fumbles recovered,,Starters_1,CLT,2011,2025-08-15 19:03:46
LDE,Robert Mathis,30,8,15,"9.5 sacks, 0 interceptions, 3 fumbles recovered",,Starters_1,CLT,2011,2025-08-15 19:03:46
LDT,Fili Moala,26,2,14,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CLT,2011,2025-08-15 19:03:46
RDT,Antonio Johnson,27,3,12,,,Starters_1,CLT,2011,2025-08-15 19:03:46
RDE,Dwight Freeney*,31,9,15,"8.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CLT,2011,2025-08-15 19:03:46
LLB,Philip Wheeler,27,3,11,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CLT,2011,2025-08-15 19:03:46
MLB,Pat Angerer,24,1,16,"1.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,CLT,2011,2025-08-15 19:03:46
RLB,Kavell Conner,24,1,15,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CLT,2011,2025-08-15 19:03:46
LCB,Jacob Lacey,24,2,10,"0.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,CLT,2011,2025-08-15 19:03:46
RCB,Jerraud Powers,24,2,12,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,CLT,2011,2025-08-15 19:03:46
SS,David Caldwell,24,Rook,13,,,Starters_1,CLT,2011,2025-08-15 19:03:46
FS,Antoine Bethea,27,5,16,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CLT,2011,2025-08-15 19:03:46
