Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Philip Rivers,39,16,16,"369 for 543, 4,169 yards, 24 td, 11 int, & 18 rushes for -8 yards and 0 td",,Starters_1,CLT,2020,2025-08-15 19:04:58
RB,Jonathan Taylor,21,Rook,13,"232 rushes for 1,169 yards, 11 td, & 36 catches for 299 yards and 1 td",,Starters_1,CLT,2020,2025-08-15 19:04:58
WR,T.Y. Hilton,31,8,15,"56 catches for 762 yards, 5 td",,Starters_1,CLT,2020,2025-08-15 19:04:58
WR,Zach Pascal,26,2,14,"44 catches for 629 yards, 5 td",,Starters_1,CLT,2020,2025-08-15 19:04:58
WR,Michael Pittman Jr.,23,Rook,8,"40 catches for 503 yards, 1 td, & 3 rushes for 26 yards and 0 td",,Starters_1,CLT,2020,2025-08-15 19:04:58
TE,Jack Doyle,30,7,12,"23 catches for 251 yards, 3 td",,Starters_1,CLT,2020,2025-08-15 19:04:58
LT,Anthony Castonzo,32,9,12,,,Starters_1,CLT,2020,2025-08-15 19:04:58
LG,Quenton Nelson*+,24,2,16,,,Starters_1,CLT,2020,2025-08-15 19:04:58
C,Ryan Kelly*,27,4,15,,,Starters_1,CLT,2020,2025-08-15 19:04:58
RG,Mark Glowinski,28,5,16,,,Starters_1,CLT,2020,2025-08-15 19:04:58
RT,Braden Smith,24,2,14,1 fumble recovered,,Starters_1,CLT,2020,2025-08-15 19:04:58
LDE,Justin Houston,31,9,16,"8.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,CLT,2020,2025-08-15 19:04:58
LDT,DeForest Buckner+,26,4,14,"9.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CLT,2020,2025-08-15 19:04:58
RDT,Grover Stewart,27,3,16,"0.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CLT,2020,2025-08-15 19:04:58
RDE,Denico Autry,30,6,13,"7.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CLT,2020,2025-08-15 19:04:58
LLB,Shaquille Leonard*+,25,2,14,"3.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,CLT,2020,2025-08-15 19:04:58
MLB,Anthony Walker,25,3,16,"0.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,CLT,2020,2025-08-15 19:04:58
RLB,Bobby Okereke,24,1,8,"0.0 sacks, 1 interception, 2 fumbles recovered",,Starters_1,CLT,2020,2025-08-15 19:04:58
LCB,Kenny Moore,25,3,14,"2.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1,CLT,2020,2025-08-15 19:04:58
RCB,Xavier Rhodes,30,7,16,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,CLT,2020,2025-08-15 19:04:58
SS,Khari Willis,24,1,14,"2.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,CLT,2020,2025-08-15 19:04:58
FS,Julian Blackmon,22,Rook,14,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,CLT,2020,2025-08-15 19:04:58
