Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
RAV,2003,QB,Kyle Boller,22,Rook,9,"116 for 224, 1,260 yards, 7 td, 9 int, & 30 rushes for 62 yards and 0 td",,Starters_1
RAV,2003,RB,Jamal Lewis*+,24,3,16,"387 rushes for 2,066 yards, 14 td, & 26 catches for 205 yards and 0 td",,Starters_1
RAV,2003,FB,Alan Ricard,26,2,13,"19 rushes for 79 yards, 0 td, & 9 catches for 62 yards and 0 td",,Starters_1
RAV,2003,WR,Travis Taylor,25,3,16,"39 catches for 632 yards, 3 td, & 11 rushes for 62 yards and 0 td",,Starters_1
RAV,2003,TE,Todd Heap*,23,2,16,"57 catches for 693 yards, 3 td, & 3 rushes for 21 yards and 0 td",,Starters_1
RAV,2003,TE,Terry Jones,24,1,13,"19 catches for 159 yards, 3 td",,Starters_1
RAV,2003,LT,Jonathan Ogden*+,29,7,16,1 fumble recovered,,Starters_1
RAV,2003,LG,Edwin Mulitalo,29,4,15,1 fumble recovered,,Starters_1
RAV,2003,C,Mike Flynn,29,5,16,,,Starters_1
RAV,2003,RG,Bennie Anderson,26,2,15,,,Starters_1
RAV,2003,RT,Orlando Brown,33,9,13,1 fumble recovered,,Starters_1
RAV,2003,LDE,Anthony Weaver,23,1,15,"5.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
RAV,2003,NT,Kelly Gregg,27,4,15,"3.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
RAV,2003,RDE,Marques Douglas,26,3,16,"4.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
RAV,2003,LOLB,Adalius Thomas*,26,3,11,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
RAV,2003,LILB,Ed Hartwell,25,2,15,"3.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
RAV,2003,RILB,Ray Lewis*+,28,7,16,"1.5 sacks, 6 interceptions, 2 fumbles recovered",,Starters_1
RAV,2003,ROLB,Peter Boulware*,29,6,14,"8.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
RAV,2003,LCB,Chris McAlister*+,26,4,15,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1
RAV,2003,RCB,Corey Fuller,32,8,10,,,Starters_1
RAV,2003,SS,Ed Reed*,25,1,15,"1.0 sacks, 7 interceptions, 0 fumbles recovered",,Starters_1
RAV,2003,FS,Gary Baxter,25,2,16,"1.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1
