Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Baker Mayfield,25,2,16,"305 for 486, 3,563 yards, 26 td, 8 int, & 54 rushes for 165 yards and 1 td",,Starters_1,CLE,2020,2025-08-15 19:02:59
RB,Nick Chubb*,25,2,12,"190 rushes for 1,067 yards, 12 td, & 16 catches for 150 yards and 0 td",,Starters_1,CLE,2020,2025-08-15 19:02:59
WR,Odell Beckham Jr.,28,6,7,"23 catches for 319 yards, 3 td, & 3 rushes for 72 yards and 1 td",,Starters_1,CLE,2020,2025-08-15 19:02:59
WR,Jarvis Landry,28,6,14,"72 catches for 840 yards, 3 td, & 4 rushes for 10 yards and 1 td",,Starters_1,CLE,2020,2025-08-15 19:02:59
TE,Harrison Bryant,22,Rook,9,"24 catches for 238 yards, 3 td",,Starters_1,CLE,2020,2025-08-15 19:02:59
TE,Austin Hooper,26,4,13,"46 catches for 435 yards, 4 td",,Starters_1,CLE,2020,2025-08-15 19:02:59
LT,Jedrick Wills Jr.,21,Rook,15,,,Starters_1,CLE,2020,2025-08-15 19:02:59
LG,Joel Bitonio*,29,6,16,,,Starters_1,CLE,2020,2025-08-15 19:02:59
C,J.C. Tretter,29,6,16,,,Starters_1,CLE,2020,2025-08-15 19:02:59
RG,Wyatt Teller,26,2,11,,,Starters_1,CLE,2020,2025-08-15 19:02:59
RT,Jack Conklin+,26,4,15,,,Starters_1,CLE,2020,2025-08-15 19:02:59
LDE,Myles Garrett*+,25,3,14,"12.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,CLE,2020,2025-08-15 19:02:59
LDT,Sheldon Richardson,30,7,16,"4.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CLE,2020,2025-08-15 19:02:59
RDT,Larry Ogunjobi,26,3,15,"2.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CLE,2020,2025-08-15 19:02:59
RDE,Olivier Vernon,30,8,13,"9.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CLE,2020,2025-08-15 19:02:59
LLB,Mack Wilson,22,1,8,,,Starters_1,CLE,2020,2025-08-15 19:02:59
MLB,B.J. Goodson,27,4,14,"0.5 sacks, 2 interceptions, 1 fumble recovered",,Starters_1,CLE,2020,2025-08-15 19:02:59
RLB,Sione Takitaki,25,1,12,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,CLE,2020,2025-08-15 19:02:59
LCB,Denzel Ward,23,2,12,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,CLE,2020,2025-08-15 19:02:59
RCB,Terrance Mitchell,28,5,16,,,Starters_1,CLE,2020,2025-08-15 19:02:59
SS,Karl Joseph,27,4,8,"0.0 sacks, 1 interception, 2 fumbles recovered",,Starters_1,CLE,2020,2025-08-15 19:02:59
FS,Andrew Sendejo,33,10,14,,,Starters_1,CLE,2020,2025-08-15 19:02:59
