Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
HTX,2005,50,Charlie Anderson,24,LB,16,0,250,6-4,Mississippi,12/8/1981,1,1,Houston Texans / 6th / 200th pick /2004
HTX,2005,27,Jason Anderson,25,RB,1,0,205,6-0,South Dakota,4/29/1980,Rook,0,
HTX,2005,88,Derick Armstrong,26,WR,13,3,211,6-2,Arkansas–Monticello,4/2/1979,2,1,
HTX,2005,93,Jason Babin,25,DT,12,3,267,6-3,Western Michigan,5/24/1980,1,2,Houston Texans / 1st / 27th pick /2004
HTX,2005,12,Tony Banks,32,QB,2,0,230,6-4,Michigan St.,4/5/1973,9,1,St. Louis Rams / 2nd / 42nd pick /1996
HTX,2005,33,Jason Bell,27,DB,16,0,196,6-0,UCLA,4/1/1978,4,1,
HTX,2005,85,Corey Bradford,30,WR,16,6,197,6-1,"Hinds CC,Jackson St.",12/8/1975,7,5,Green Bay Packers / 5th / 150th pick /1998
HTX,2005,24,C.C. Brown,22,SS/FS,16,13,208,6-0,Louisiana,1/27/1983,Rook,4,Houston Texans / 6th / 188th pick /2005
HTX,2005,3,Kris Brown,29,K,16,0,215,5-11,Nebraska,12/23/1976,6,2,Pittsburgh Steelers / 7th / 228th pick /1999
HTX,2005,67,Milford Brown,25,LG,13,12,316,6-4,"East Mississippi CC,Florida St.",8/15/1980,2,5,Houston Texans / 6th / 1st pick /2002Supp
HTX,2005,87,Mark Bruener,33,TE,16,15,260,6-4,Washington,9/16/1972,10,0,Pittsburgh Steelers / 1st / 27th pick /1995
HTX,2005,31,Phillip Buchanon,25,LCB,10,6,190,5-11,Miami (FL),9/19/1980,3,2,Oakland Raiders / 1st / 17th pick /2002
HTX,2005,8,David Carr,26,QB,16,16,212,6-3,Fresno St.,7/21/1979,3,11,Houston Texans / 1st / 1st pick /2002
HTX,2005,59,Frank Chamberlin,27,LB,9,0,235,6-1,Boston Col.,1/2/1978,5,0,Tennessee Titans / 5th / 160th pick /2000
HTX,2005,42,Marcus Coleman,31,FS,15,11,210,6-2,Texas Tech,5/24/1974,9,3,New York Jets / 5th / 133rd pick /1996
HTX,2005,95,Jerry DeLoach,28,DE,11,1,335,6-2,California,7/17/1977,4,1,
HTX,2005,26,Glenn Earl,24,SS,10,7,222,6-1,Notre Dame,6/10/1981,1,2,Houston Texans / 4th / 122nd pick /2004
HTX,2005,54,Troy Evans,28,LB,16,0,238,6-3,Cincinnati,12/3/1977,3,1,
HTX,2005,38,Demarcus Faggins,26,LCB,13,10,178,5-10,Kansas St.,6/13/1979,3,3,Houston Texans / 6th / 173rd pick /2002
HTX,2005,86,Jabar Gaffney,25,WR,16,13,200,6-2,Florida,12/1/1980,3,5,Houston Texans / 2nd / 33rd pick /2002
HTX,2005,56,Morlon Greenwood,27,RILB,16,16,239,6-0,Syracuse,7/17/1978,4,5,Miami Dolphins / 3rd / 88th pick /2001
HTX,2005,63,Drew Hodgdon,24,C,4,3,285,6-3,Arizona St.,11/15/1981,Rook,1,Houston Texans / 5th / 151st pick /2005
HTX,2005,25,Tony Hollings,24,RB,2,0,216,5-10,Georgia Tech,12/1/1981,2,0,Houston Texans / 2nd / 1st pick /2003Supp
HTX,2005,94,Junior Ioane,28,DT,11,1,320,6-4,Arizona St.,7/21/1977,4,1,Oakland Raiders / 4th / 107th pick /2000
HTX,2005,80,Andre Johnson,24,WR,13,13,229,6-3,Miami (FL),7/11/1981,2,7,Houston Texans / 1st / 3rd pick /2003
HTX,2005,75,Travis Johnson,23,DT,15,3,311,6-3,Florida St.,4/26/1982,Rook,2,Houston Texans / 1st / 16th pick /2005
HTX,2005,97,Alfred Malone,23,DE,2,0,308,6-5,Troy,2/21/1982,Rook,0,
HTX,2005,13,Jerome Mathis,22,WR,12,0,195,6-0,Hampton,7/26/1983,Rook,3,Houston Texans / 4th / 114th pick /2005
HTX,2005,28,Chris McKenzie,23,DB,3,0,182,5-8,Arizona St.,3/17/1982,Rook,0,
HTX,2005,76,Steve McKinney,30,C,16,16,302,6-4,Texas A&M,10/15/1975,7,6,Indianapolis Colts / 4th / 93rd pick /1998
HTX,2005,34,Vernand Morency,25,RB,12,1,212,5-9,Oklahoma St.,2/4/1980,Rook,2,Houston Texans / 3rd / 73rd pick /2005
HTX,2005,11,Donovan Morgan,23,WR,3,0,225,6-3,"Pearl River CC,Louisiana",7/29/1982,Rook,0,
HTX,2005,81,Matt Murphy,25,TE,9,2,260,6-5,Maryland,2/23/1980,3,0,Detroit Lions / 7th / 252nd pick /2002
HTX,2005,44,Moran Norris,27,FB,16,5,250,6-1,Kansas,6/16/1978,4,0,New Orleans Saints / 4th / 115th pick /2001
HTX,2005,53,Shantee Orr,24,LOLB,16,12,250,6-0,Michigan,5/28/1981,2,4,
HTX,2005,91,Seth Payne,30,NT,16,14,303,6-4,Cornell,2/12/1975,8,5,Jacksonville Jaguars / 4th / 114th pick /1997
HTX,2005,98,Antwan Peek,26,ROLB,16,16,230,6-1,Cincinnati,10/29/1979,2,5,Houston Texans / 3rd / 67th pick /2003
HTX,2005,48,Bryan Pittman,28,LS,16,0,270,6-3,Washington,1/20/1977,2,2,
HTX,2005,69,Chester Pitts,26,LT,16,16,308,6-4,San Diego St.,6/26/1979,3,6,Houston Texans / 2nd / 50th pick /2002
HTX,2005,51,DaShon Polk,28,LILB,16,11,242,6-2,Arizona,3/13/1977,5,4,Buffalo Bills / 7th / 251st pick /2000
HTX,2005,68,Victor Riley,31,RG/LT,10,8,328,6-5,Auburn,11/4/1974,7,3,Kansas City Chiefs / 1st / 27th pick /1998
HTX,2005,84,Marcellus Rivers,27,TE,16,5,250,6-4,Oklahoma St.,10/26/1978,4,2,
HTX,2005,23,Dunta Robinson,23,RCB/LCB,16,16,183,5-10,South Carolina,4/11/1982,1,5,Houston Texans / 1st / 10th pick /2004
HTX,2005,21,Lewis Sanders,27,DB,12,3,210,6-1,Maryland,6/22/1978,5,1,Cleveland Browns / 4th / 95th pick /2000
HTX,2005,30,Jason Simmons,29,DB,14,1,198,5-9,Arizona St.,3/30/1976,7,1,Pittsburgh Steelers / 5th / 137th pick /1998
HTX,2005,99,Robaire Smith,28,RDE,16,16,310,6-5,Michigan St.,11/15/1977,5,5,Tennessee Titans / 6th / 197th pick /2000
HTX,2005,7,Chad Stanley,29,P,16,0,205,6-3,S.F. Austin,1/29/1976,6,1,
HTX,2005,71,Todd Wade,29,RT,9,9,319,6-8,Mississippi,10/30/1976,5,3,Miami Dolphins / 2nd / 53rd pick /2000
HTX,2005,96,Gary Walker,32,LDE,11,11,324,6-3,"Hinds CC,Auburn",2/28/1973,10,3,Houston Oilers / 5th / 159th pick /1995
HTX,2005,22,Ramon Walker,26,DB,16,0,197,5-11,Pittsburgh,11/8/1979,3,1,Houston Texans / 5th / 153rd pick /2002
HTX,2005,78,Seth Wand,26,T,13,0,330,6-7,NW Missouri St.,8/6/1979,2,1,Houston Texans / 3rd / 75th pick /2003
HTX,2005,77,Todd Washington,29,C,15,0,310,6-3,Virginia Tech,7/19/1976,7,1,Tampa Bay Buccaneers / 4th / 104th pick /1998
HTX,2005,70,Fred Weary,28,G,4,4,305,6-4,Tennessee,9/30/1977,3,1,Houston Texans / 3rd / 66th pick /2002
HTX,2005,32,Jonathan Wells,26,RB,15,6,243,6-1,Ohio St.,7/21/1979,3,5,Houston Texans / 4th / 99th pick /2002
HTX,2005,72,Zach Wiegert,33,RG/RT,12,12,309,6-5,Nebraska,8/16/1972,10,4,St. Louis Rams / 2nd / 38th pick /1995
HTX,2005,37,Domanick Williams,25,RB,11,11,216,5-9,LSU,10/1/1980,2,12,Houston Texans / 4th / 101st pick /2003
HTX,2005,52,Kailee Wong,29,LILB,5,5,250,6-2,Stanford,5/23/1976,7,2,Minnesota Vikings / 2nd / 51st pick /1998
