,"[0.0, 1.0)","[1.0, 2.0)","[2.0, 4.0]"
"[8.6, 11.2]",156,41,10
"[8.0, 8.6)",162,34,7
"[7.4, 8.0)",157,36,14
"[7.0, 7.4)",167,47,5
"[6.5, 7.0)",170,34,9
"[6.0, 6.5)",163,28,10
"[5.5, 6.0)",174,29,12
"[3.5, 5.5)",176,36,6
