,"[-6.2, 0.0)","[0.0, 12.5)","[12.5, 18.8)","[18.8, 31.2)","[31.2, 43.8)","[43.8, 68.8]"
"[0.6, 2.9]",63,43,18,32,28,23
"[0.0, 0.6)",63,29,11,23,19,13
"[-2.2, 0.0)",408,271,126,184,194,135
