,"[-1.8, -1.1)","[-1.1, -0.9)","[-0.9, -0.4)","[-0.4, -0.2)","[-0.2, 0.3)","[0.3, 0.7)","[0.7, 1.2)","[1.2, 3.7]"
"[1.1, 3.3]",29,22,38,12,24,22,19,25
"[0.7, 1.1)",24,22,29,14,43,20,18,24
"[0.4, 0.7)",18,8,14,15,14,18,20,14
"[-0.0, 0.4)",28,24,48,24,48,41,23,26
"[-0.2, -0.0)",28,4,36,14,30,13,12,18
"[-0.7, -0.2)",49,23,33,17,31,29,26,34
"[-1.1, -0.7)",55,28,38,13,31,31,22,23
"[-2.9, -1.1)",73,24,55,23,24,29,23,26
