,"[-3.5, -1.1)","[-1.1, -0.7)","[-0.7, -0.4)","[-0.4, -0.1)","[-0.1, 0.3)","[0.3, 0.6)","[0.6, 1.1)","[1.1, 4.4]"
"[1.2, 3.1]",50,31,29,23,24,21,14,15
"[0.7, 1.2)",38,30,34,19,15,30,20,17
"[0.3, 0.7)",21,32,28,35,26,25,22,18
"[-0.0, 0.3)",28,44,25,28,29,18,28,19
"[-0.4, -0.0)",30,18,27,27,29,37,26,19
"[-0.7, -0.4)",23,19,29,24,21,15,27,43
"[-1.2, -0.7)",11,24,21,30,26,40,35,28
"[-2.7, -1.2)",10,12,17,25,40,24,38,52
