,"[-2.1, -1.2)","[-1.2, -0.7)","[-0.7, -0.3)","[-0.3, -0.1)","[-0.1, 0.2)","[0.2, 0.5)","[0.5, 1.1)","[1.1, 5.0]"
"[1.2, 3.6]",70,35,25,23,12,12,5,5
"[0.7, 1.2)",38,49,35,24,23,10,6,10
"[0.2, 0.7)",41,40,43,28,24,22,10,13
"[-0.1, 0.2)",17,34,57,28,22,18,22,11
"[-0.4, -0.1)",30,36,35,28,33,28,22,11
"[-0.7, -0.4)",6,10,32,40,30,24,33,28
"[-1.2, -0.7)",4,11,33,25,26,26,47,45
"[-2.8, -1.2)",8,9,14,17,25,24,44,87
