,"[-2.9, -1.1)","[-1.1, -0.7)","[-0.7, -0.2)","[-0.2, -0.0)","[-0.0, 0.4)","[0.4, 0.7)","[0.7, 1.1)","[1.1, 3.3]"
"[1.6, 3.8]",36,30,26,25,42,10,17,25
"[1.1, 1.6)",32,42,29,22,37,14,21,13
"[0.9, 1.1)",28,27,34,21,23,17,34,26
"[0.6, 0.9)",34,31,22,26,35,13,22,27
"[0.3, 0.6)",39,32,29,15,29,15,24,28
"[-0.0, 0.3)",41,23,35,13,27,15,23,29
"[-0.4, -0.0)",34,30,40,15,34,15,24,22
"[-2.5, -0.4)",33,26,27,18,35,22,29,21
