,"[3.5, 5.7)","[5.7, 6.4)","[6.4, 7.0)","[7.0, 7.6)","[7.6, 8.4)","[8.4, 11.2]"
"[15.0, 25.0]",1,1,15,26,49,99
"[12.0, 15.0)",2,21,53,71,86,82
"[10.0, 12.0)",13,39,47,52,68,43
"[8.0, 10.0)",23,69,55,60,52,32
"[6.0, 8.0)",60,54,53,40,20,9
"[-3.0, 6.0)",183,106,52,26,13,8
