,"[1.9, 3.5)","[3.5, 3.9)","[3.9, 4.2)","[4.2, 4.5)","[4.5, 4.7)","[4.7, 5.0)","[5.0, 5.5)","[5.5, 8.0]"
"[8.6, 11.2]",13,17,12,21,23,29,42,50
"[8.0, 8.6)",12,15,20,30,38,27,28,33
"[7.4, 8.0)",16,29,24,25,21,23,39,30
"[7.0, 7.4)",21,22,34,30,25,26,23,38
"[6.5, 7.0)",22,34,31,32,23,25,31,15
"[6.0, 6.5)",34,38,23,26,19,27,20,14
"[5.5, 6.0)",41,39,29,34,18,19,20,15
"[3.5, 5.5)",58,46,34,19,20,20,14,7
