,"[0.0, 3.9)","[3.9, 10.6)","[10.6, 26.2]"
"[15.0, 25.0]",117,37,37
"[13.0, 15.0)",131,23,40
"[12.0, 13.0)",78,20,23
"[10.0, 12.0)",200,29,33
"[9.0, 10.0)",128,10,17
"[7.0, 9.0)",198,29,15
"[5.0, 7.0)",191,31,19
"[-3.0, 5.0)",219,31,27
