,"[-6.3, -1.8)","[-1.8, -1.0)","[-1.0, -0.5)","[-0.5, 0.0)","[0.0, 0.5)","[0.5, 1.1)","[1.1, 1.8)","[1.8, 5.1]"
"[2.0, 4.0]",5,8,6,9,9,12,12,12
"[1.0, 2.0)",43,28,37,30,31,40,38,38
"[0.0, 1.0)",172,190,159,179,180,155,135,155
