,"[1970.0, 1977.0)","[1977.0, 1984.0)","[1984.0, 1991.0)","[1991.0, 1998.0)","[1998.0, 2005.0)","[2005.0, 2011.0)","[2011.0, 2018.0)","[2018.0, 2024.0]"
"[0.6, 2.4]",6,18,19,31,35,29,37,35
"[0.0, 0.6)",0,12,18,15,20,18,31,26
"[-2.4, 0.0)",226,179,169,158,167,147,156,131
