,"[0.0, 1.0)","[1.0, 2.0)","[2.0, 3.0)","[3.0, 4.0)","[4.0, 5.0)","[5.0, 13.0]"
"[9.4, 13.8]",44,61,48,19,10,5
"[8.4, 9.4)",44,54,56,24,8,9
"[7.6, 8.4)",49,71,54,17,21,9
"[7.0, 7.6)",43,53,61,26,14,12
"[6.4, 7.0)",38,66,53,28,18,20
"[5.8, 6.4)",26,58,40,37,19,23
"[5.0, 5.8)",26,53,58,27,23,30
"[2.0, 5.0)",37,41,46,36,31,37
