,"[-1.3, -0.4)","[-0.4, 0.6)","[0.6, 5.4]"
"[1.2, 4.4]",173,16,19
"[0.2, 1.2)",198,32,33
"[-0.2, 0.2)",157,24,28
"[-0.5, -0.2)",218,25,37
"[-0.7, -0.5)",148,21,26
"[-0.9, -0.7)",174,24,35
"[-4.8, -0.9)",209,35,51
