,"[-3.0, 5.0)","[5.0, 7.0)","[7.0, 9.0)","[9.0, 10.0)","[10.0, 12.0)","[12.0, 13.0)","[13.0, 15.0)","[15.0, 25.0]"
"[0.6, 2.9]",34,35,23,29,29,10,29,18
"[0.0, 0.6)",24,18,19,15,20,19,20,23
"[-2.2, 0.0)",219,188,200,111,213,92,145,150
