Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
KAN,2002,43,Omar Easy,25,FB,7,0,245,6-2,Penn St.,10/29/1977,Rook,0,Kansas City Chiefs / 4th / 107th pick /2002
KAN,2002,38,Clint Finley,25,DB,1,0,210,6-0,Nebraska,3/27/1977,Rook,0,
KAN,2002,71,Eddie Freeman,24,DE,15,0,315,6-5,Ala-Birmingham,1/4/1978,Rook,1,Kansas City Chiefs / 2nd / 43rd pick /2002
KAN,2002,51,Scott Fujita,23,LLB,16,9,250,6-5,California,4/28/1979,Rook,4,Kansas City Chiefs / 5th / 143rd pick /2002
KAN,2002,83,Kendall Gammon,34,LS,16,0,255,6-4,Pittsburg St.,10/23/1968,10,2,Pittsburgh Steelers / 11th / 291st pick /1992
KAN,2002,88,Tony Gonzalez,26,TE,16,16,247,6-5,California,2/27/1976,5,9,Kansas City Chiefs / 1st / 13th pick /1997
KAN,2002,10,Trent Green,32,QB,16,16,217,6-3,Indiana,7/9/1970,5,18,San Diego Chargers / 8th / 222nd pick /1993
KAN,2002,82,Dante Hall,24,WR,16,0,187,5-8,Texas A&M,9/20/1978,2,7,Kansas City Chiefs / 5th / 153rd pick /2000
KAN,2002,40,Corey Harris,26,DB,14,0,187,5-10,"The Citadel,North Alabama",11/28/1976,3,1,
KAN,2002,42,Shaunard Harts,24,FS,16,11,207,6-0,Boise St.,8/4/1978,1,4,Kansas City Chiefs / 7th / 212th pick /2001
KAN,2002,98,Eric Hicks,26,LDE,16,15,280,6-6,Maryland,6/17/1976,4,6,
KAN,2002,94,Nate Hobgood-Chittick,28,DT,3,0,290,6-3,North Carolina,11/30/1974,3,0,
KAN,2002,31,Priest Holmes,29,RB,14,14,213,5-9,Texas,10/7/1973,5,23,
KAN,2002,7,Michael Husted,32,K,6,0,190,6-0,Virginia,6/16/1970,9,0,
KAN,2002,75,Willie Jones,27,T,6,0,355,6-6,"Central Florida,Morgan St.,Grambling St.",12/17/1975,1,1,
KAN,2002,27,Jarmar Julien,23,RB,2,0,240,5-11,San Jose St.,12/11/1979,Rook,0,
KAN,2002,87,Eddie Kennison,29,WR,16,14,201,6-1,LSU,1/20/1973,6,12,St. Louis Rams / 1st / 18th pick /1996
KAN,2002,57,Mike Maslowski,28,RLB,16,16,243,6-1,Wisconsin–LaCrosse,7/11/1974,3,6,
KAN,2002,81,Snoop Minnis,25,WR,2,0,172,6-1,Florida St.,2/6/1977,1,0,Kansas City Chiefs / 3rd / 77th pick /2001
KAN,2002,80,Johnnie Morton,31,WR,14,14,190,6-0,USC,10/7/1971,8,6,Detroit Lions / 1st / 21st pick /1994
KAN,2002,66,Tony Newson,23,LB,4,0,247,6-1,Utah St.,9/11/1979,Rook,0,
KAN,2002,97,Rich Owens,30,DE,8,0,285,6-6,Lehigh,5/22/1972,7,1,Washington Redskins / 5th / 152nd pick /1995
KAN,2002,53,Marvcus Patton,35,MLB,16,15,236,6-2,UCLA,5/1/1967,12,6,Buffalo Bills / 8th / 208th pick /1990
KAN,2002,12,Jonathan Quinn,27,QB,1,0,243,6-6,"Tulane,Middle Tenn. St.",2/27/1975,4,0,Jacksonville Jaguars / 3rd / 86th pick /1998
KAN,2002,95,Derrick Ransom,26,RDT,13,10,306,6-3,Cincinnati,9/13/1976,4,3,Kansas City Chiefs / 6th / 181st pick /1998
KAN,2002,49,Tony Richardson,31,FB,14,12,238,6-1,Auburn,12/17/1971,7,2,
KAN,2002,77,Willie Roaf,32,LT,16,16,320,6-5,Louisiana Tech,4/18/1970,9,15,New Orleans Saints / 1st / 8th pick /1993
KAN,2002,68,Will Shields,31,RG,16,16,315,6-3,Nebraska,9/15/1971,9,17,Kansas City Chiefs / 3rd / 74th pick /1993
KAN,2002,90,Ryan Sims,22,DT,6,2,315,6-4,North Carolina,5/4/1980,Rook,1,Kansas City Chiefs / 1st / 6th pick /2002
KAN,2002,70,Marcus Spears,31,T,9,0,320,6-4,Northwestern St. (LA),9/28/1971,6,1,Chicago Bears / 2nd / 39th pick /1994
KAN,2002,55,Gary Stills,28,DE,16,1,250,6-2,West Virginia,7/11/1974,3,2,Kansas City Chiefs / 3rd / 75th pick /1999
KAN,2002,4,Dan Stryzinski,37,P,16,0,237,6-0,Indiana,5/15/1965,12,1,
KAN,2002,76,John Tait,27,RT,16,16,312,6-6,BYU,1/26/1975,3,9,Kansas City Chiefs / 1st / 14th pick /1999
KAN,2002,91,R-Kal Truluck,28,DE,6,0,255,6-4,Cortland St.,9/30/1974,1,0,
KAN,2002,44,Eric Warfield,26,LCB,16,16,200,6-0,Nebraska,3/3/1976,4,6,Kansas City Chiefs / 7th / 216th pick /1998
KAN,2002,54,Brian Waters,25,LG,16,16,320,6-3,North Texas,2/18/1977,2,9,
KAN,2002,25,Greg Wesley,24,SS,13,13,206,6-2,Ark-Pine Bluff,3/19/1978,2,6,Kansas City Chiefs / 3rd / 85th pick /2000
KAN,2002,30,Lyle West,26,DB,16,0,210,6-0,"Chabot,San Jose St.",12/20/1976,3,1,New York Giants / 6th / 189th pick /1999
KAN,2002,62,Casey Wiegmann,29,C,16,16,285,6-2,Iowa,7/20/1973,5,9,
KAN,2002,60,Donald Willis,29,G,13,0,325,6-3,"Washington,North Carolina A&T",7/15/1973,6,1,
