No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
26,Salvon Ahmed,22,RB,6,4,197,5-11,Washington,12/30/1998,Rook,2,,"$466,471",MIA,2020,2025-08-15 14:11:28
55,Jerome Baker,24,RILB,16,11,232,6-2,Ohio St.,12/25/1996,2,7,Miami Dolphins / 3rd / 73rd pick /2018,"$810,000",MIA,2020,2025-08-15 14:11:28
15,Lynn Bowden Jr.,23,WR,10,4,204,6-1,Kentucky,10/14/1997,Rook,2,Las Vegas Raiders / 3rd / 80th pick /2020,,MIA,2020,2025-08-15 14:11:28
22,Matt Breida,25,RB,12,1,195,5-10,Georgia Southern,2/28/1995,3,2,,"$3,259,000",MIA,2020,2025-08-15 14:11:28
16,Antonio Callaway,23,WR,5,1,200,5-11,Florida,1/9/1997,2,0,Cleveland Browns / 4th / 105th pick /2018,,MIA,2020,2025-08-15 14:11:28
27,Chandler Cox,24,RB,8,3,240,6-1,Auburn,7/29/1996,1,0,Miami Dolphins / 7th / 233rd pick /2019,"$675,000",MIA,2020,2025-08-15 14:11:28
70,Julién Davenport,25,T,16,1,315,6-7,Bucknell,1/9/1995,3,1,Houston Texans / 4th / 130th pick /2017,"$2,133,000",MIA,2020,2025-08-15 14:11:28
77,Jesse Davis,29,LT/RT,16,15,309,6-6,Idaho,9/15/1991,3,7,,"$3,855,000",MIA,2020,2025-08-15 14:11:28
98,Raekwon Davis,23,NT,16,12,325,6-7,Alabama,8/21/1997,Rook,7,Miami Dolphins / 2nd / 56th pick /2020,"$610,000",MIA,2020,2025-08-15 14:11:28
63,Michael Deiter,24,G,16,0,310,6-6,Wisconsin,9/3/1996,1,1,Miami Dolphins / 3rd / 78th pick /2019,"$680,328",MIA,2020,2025-08-15 14:11:28
49,Samuel Eguavoen,27,LB,16,1,236,6-1,Texas Tech,2/22/1993,1,2,,"$675,000",MIA,2020,2025-08-15 14:11:28
