No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
35,Walt Aikens,28,DB,15,0,200,6-1,Liberty,6/19/1991,5,1,Miami Dolphins / 4th / 125th pick /2014,"$1,400,000",MIA,2019,2025-08-15 14:11:21
24,Johnson Bademosi,29,DB,4,0,219,6-0,Stanford,7/23/1990,7,0,,"$2,500,000",MIA,2019,2025-08-15 14:11:21
55,Jerome Baker,23,ROLB/RILB,16,15,232,6-2,Ohio St.,12/25/1996,1,5,Miami Dolphins / 3rd / 73rd pick /2018,"$654,000",MIA,2019,2025-08-15 14:11:21
27,Kalen Ballage,24,RB,12,6,231,6-2,Arizona St.,12/22/1995,1,1,Miami Dolphins / 4th / 131st pick /2018,"$570,000",MIA,2019,2025-08-15 14:11:21
47,Vince Biegel,26,RILB,15,10,246,6-3,Wisconsin,7/2/1993,2,3,Green Bay Packers / 4th / 108th pick /2017,,MIA,2019,2025-08-15 14:11:21
76,Evan Boehm,26,RG,13,8,321,6-3,Missouri,8/19/1993,3,4,Arizona Cardinals / 4th / 128th pick /2016,,MIA,2019,2025-08-15 14:11:21
30,Nate Brooks,23,DB,3,2,198,6-0,North Texas,9/5/1996,Rook,1,,,MIA,2019,2025-08-15 14:11:21
68,Evan Brown,23,C,3,0,320,6-3,SMU,9/16/1996,Rook,0,,,MIA,2019,2025-08-15 14:11:21
62,Shaq Calhoun,23,RG,10,7,310,6-3,Mississippi St.,2/20/1996,Rook,3,,"$495,000",MIA,2019,2025-08-15 14:11:21
95,Tank Carradine,29,DE,1,0,267,6-4,Florida St.,2/18/1990,5,0,San Francisco 49ers / 2nd / 40th pick /2013,"$805,000",MIA,2019,2025-08-15 14:11:21
96,Taco Charlton,25,LDE,10,5,270,6-6,Michigan,11/7/1994,2,2,Dallas Cowboys / 1st / 28th pick /2017,,MIA,2019,2025-08-15 14:11:21
36,Adrian Colbert,26,FS,6,5,205,6-2,Miami (FL),10/6/1993,2,2,San Francisco 49ers / 7th / 229th pick /2017,,MIA,2019,2025-08-15 14:11:21
38,Chandler Cox,23,RB,13,3,240,6-1,Auburn,7/29/1996,Rook,0,Miami Dolphins / 7th / 233rd pick /2019,"$495,000",MIA,2019,2025-08-15 14:11:21
51,James Crawford,25,DE,3,0,239,6-2,Illinois,12/2/1994,1,0,,,MIA,2019,2025-08-15 14:11:21
29,Xavier Crawford,24,DB,1,0,185,5-11,Central Michigan,12/10/1995,Rook,0,Houston Texans / 6th / 195th pick /2019,,MIA,2019,2025-08-15 14:11:21
32,Ken Crawley,26,DB,4,2,180,6-1,Colorado,2/8/1993,3,1,,,MIA,2019,2025-08-15 14:11:21
70,Julién Davenport,24,LT,8,8,315,6-7,Bucknell,1/9/1995,2,3,Houston Texans / 4th / 130th pick /2017,"$645,000",MIA,2019,2025-08-15 14:11:21
59,Jamal Davis II,24,DE,3,0,250,6-4,Akron,7/9/1995,Rook,0,,,MIA,2019,2025-08-15 14:11:21
77,Jesse Davis,28,RT,15,15,309,6-6,Idaho,9/15/1991,2,6,,"$645,000",MIA,2019,2025-08-15 14:11:21
89,Trevor Davis,26,WR,3,0,188,6-1,California,7/4/1993,3,0,Green Bay Packers / 5th / 163rd pick /2016,,MIA,2019,2025-08-15 14:11:21
63,Michael Deiter,23,LG,16,15,310,6-6,Wisconsin,9/3/1996,Rook,6,Miami Dolphins / 3rd / 78th pick /2019,"$495,000",MIA,2019,2025-08-15 14:11:21
78,Andrew Donnal,27,T,2,0,305,6-6,Iowa,3/3/1992,4,0,St. Louis Rams / 4th / 119th pick /2015,,MIA,2019,2025-08-15 14:11:21
32,Kenyan Drake,25,RB,6,2,216,6-1,Alabama,1/26/1994,3,2,Miami Dolphins / 3rd / 73rd pick /2016,"$2,025,000",MIA,2019,2025-08-15 14:11:21
49,Samuel Eguavoen,26,LOLB,16,6,236,6-1,Texas Tech,2/22/1993,1,2,,"$495,000",MIA,2019,2025-08-15 14:11:21
29,Minkah Fitzpatrick,23,DB,2,2,207,6-1,Alabama,11/17/1996,1,1,Miami Dolphins / 1st / 11th pick /2018,"$1,227,626",MIA,2019,2025-08-15 14:11:21
14,Ryan Fitzpatrick,37,QB,15,13,221,6-2,Harvard,11/24/1982,14,10,St. Louis Rams / 7th / 250th pick /2005,"$1,500,000",MIA,2019,2025-08-15 14:11:21
84,Isaiah Ford,23,WR,8,0,194,6-2,Virginia Tech,2/9/1996,1,2,Miami Dolphins / 7th / 237th pick /2017,"$570,000",MIA,2019,2025-08-15 14:11:21
37,Myles Gaskin,22,RB,7,0,199,5-9,Washington,2/15/1997,Rook,1,Miami Dolphins / 7th / 234th pick /2019,"$495,000",MIA,2019,2025-08-15 14:11:21
88,Mike Gesicki,24,TE,16,5,245,6-6,Penn St.,10/3/1995,1,4,Miami Dolphins / 2nd / 42nd pick /2018,"$780,542",MIA,2019,2025-08-15 14:11:21
56,Davon Godchaux,25,NT,16,16,330,6-3,LSU,11/11/1994,2,5,Miami Dolphins / 5th / 178th pick /2017,"$645,000",MIA,2019,2025-08-15 14:11:21
19,Jakeem Grant,27,WR,10,2,172,5-7,Texas Tech,10/30/1992,3,2,Miami Dolphins / 6th / 186th pick /2016,"$720,000",MIA,2019,2025-08-15 14:11:21
2,Matt Haack,25,P,16,0,205,6-0,Arizona St.,7/25/1994,2,2,,"$645,000",MIA,2019,2025-08-15 14:11:21
90,Charles Harris,24,LB,14,5,250,6-3,Missouri,3/6/1995,2,2,Miami Dolphins / 1st / 22nd pick /2017,"$1,450,794",MIA,2019,2025-08-15 14:11:21
97,Trent Harris,24,DT,11,3,255,6-2,Miami (FL),9/17/1995,Rook,1,,,MIA,2019,2025-08-15 14:11:21
41,Montre Hartage,22,DB,4,0,190,6-0,Northwestern,6/16/1997,Rook,0,,,MIA,2019,2025-08-15 14:11:21
22,Tae Hayes,22,DB,2,0,188,5-9,Appalachian St.,8/19/1997,Rook,0,,,MIA,2019,2025-08-15 14:11:21
86,Mack Hollins,26,WR,4,0,221,6-4,North Carolina,9/16/1993,2,0,Philadelphia Eagles / 4th / 118th pick /2017,,MIA,2019,2025-08-15 14:11:21
25,Xavien Howard,26,LCB,5,5,203,6-1,Baylor,7/4/1993,3,2,Miami Dolphins / 2nd / 38th pick /2016,"$1,285,642",MIA,2019,2025-08-15 14:11:21
17,Allen Hurns,28,WR,14,7,195,6-3,Miami (FL),11/12/1991,5,3,,"$1,750,000",MIA,2019,2025-08-15 14:11:21
65,Danny Isidora,25,G,3,3,306,6-3,Miami (FL),6/5/1994,2,1,Minnesota Vikings / 5th / 180th pick /2017,,MIA,2019,2025-08-15 14:11:21
95,John Jenkins,30,LDE,16,5,360,6-3,"Mississippi Gulf Coast CC,Georgia",7/11/1989,6,2,New Orleans Saints / 3rd / 82nd pick /2013,,MIA,2019,2025-08-15 14:11:21
16,Gary Jennings Jr,22,WR,1,0,216,6-1,West Virginia,3/7/1997,Rook,0,Seattle Seahawks / 4th / 120th pick /2019,,MIA,2019,2025-08-15 14:11:21
20,Reshad Jones,31,DB,4,4,215,6-1,Georgia,2/25/1988,9,1,Miami Dolphins / 5th / 163rd pick /2010,"$13,015,000",MIA,2019,2025-08-15 14:11:21
67,Daniel Kilgore,32,C,13,13,291,6-3,Appalachian St.,12/18/1987,8,6,San Francisco 49ers / 5th / 163rd pick /2011,"$2,225,000",MIA,2019,2025-08-15 14:11:21
44,Deon Lacey,29,LB,16,0,235,6-3,West Alabama,7/18/1990,2,1,,,MIA,2019,2025-08-15 14:11:21
42,Patrick Laird,24,RB,15,4,205,6-0,California,8/17/1995,Rook,3,,"$495,000",MIA,2019,2025-08-15 14:11:21
30,Chris Lammons,23,DB,12,0,190,5-10,South Carolina,1/31/1996,1,1,,"$495,000",MIA,2019,2025-08-15 14:11:21
98,Jonathan Ledbetter,22,DE,1,1,282,6-4,Georgia,9/12/1997,Rook,0,,"$495,000",MIA,2019,2025-08-15 14:11:21
24,Ryan Lewis,25,DB,8,3,185,6-0,Pittsburgh,4/15/1994,1,2,,,MIA,2019,2025-08-15 14:11:21
28,Bobby McCain,26,FS,9,8,196,5-9,Memphis,8/18/1993,4,3,Miami Dolphins / 5th / 145th pick /2015,"$5,600,000",MIA,2019,2025-08-15 14:11:21
52,Raekwon McMillan,24,LILB,13,12,250,6-2,Ohio St.,11/17/1995,1,3,Miami Dolphins / 2nd / 54th pick /2017,"$892,049",MIA,2019,2025-08-15 14:11:21
36,Doug Middleton,26,DB,1,0,210,6-0,Appalachian St.,9/25/1993,3,0,,,MIA,2019,2025-08-15 14:11:21
93,Avery Moss,25,LDE,11,8,271,6-3,Youngstown St.,11/16/1994,2,2,New York Giants / 5th / 167th pick /2017,,MIA,2019,2025-08-15 14:11:21
48,Calvin Munson,25,LB,2,2,240,6-1,San Diego St.,12/27/1994,2,1,,,MIA,2019,2025-08-15 14:11:21
40,Nik Needham,23,RCB,12,11,196,6-1,Texas-El Paso,11/4/1996,Rook,5,,,MIA,2019,2025-08-15 14:11:21
92,Robert Nkemdiche,25,DT,2,0,296,6-3,Mississippi,9/19/1994,3,0,Arizona Cardinals / 1st / 29th pick /2016,"$720,000",MIA,2019,2025-08-15 14:11:21
83,Nick O'Leary,27,TE,7,2,252,6-3,Florida St.,8/31/1992,4,0,Buffalo Bills / 6th / 194th pick /2015,"$1,000,000",MIA,2019,2025-08-15 14:11:21
78,Adam Pankey,25,G,2,1,313,6-5,West Virginia,2/2/1994,2,0,,,MIA,2019,2025-08-15 14:11:21
11,DeVante Parker,26,WR,16,14,215,6-3,Louisville,1/20/1993,4,9,Miami Dolphins / 1st / 14th pick /2015,"$3,500,000",MIA,2019,2025-08-15 14:11:21
26,Steven Parker,24,DB,14,4,210,6-1,Oklahoma,12/14/1995,1,3,,,MIA,2019,2025-08-15 14:11:21
46,Taybor Pepper,25,LS,16,0,245,6-4,Michigan St.,5/28/1994,2,1,,,MIA,2019,2025-08-15 14:11:21
29,Samaje Perine,24,RB,1,0,240,5-11,Oklahoma,9/16/1995,2,0,Washington Redskins / 4th / 114th pick /2017,,MIA,2019,2025-08-15 14:11:21
33,Jamal Perry,25,DB,14,6,182,5-10,Iowa St.,10/23/1994,1,3,,"$495,000",MIA,2019,2025-08-15 14:11:21
72,Isaiah Prince,22,T,4,2,305,6-7,Ohio St.,7/29/1997,Rook,1,Miami Dolphins / 6th / 202nd pick /2019,"$495,000",MIA,2019,2025-08-15 14:11:21
64,Chris Reed,27,T,5,1,314,6-3,Minnesota St.,7/22/1992,3,1,,"$1,000,000",MIA,2019,2025-08-15 14:11:21
