Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
1,CLECLE,cle,-,52,25.3,110066758,28145707,80881583,14954250,13777043,89.05,22.77,65.44,12.1,11.15
2,JAXJAX,jax,-,53,25.3,120190441,25972675,66805513,17227369,35388734,97.24,21.01,54.05,13.94,28.63
3,PHIPHI,phi,-,53,26.1,126997784,20416885,108049086,6646601,12059097,102.75,16.52,87.42,5.38,9.76
4,BUFBUF,buf,-,55,26.0,115151649,18626769,93306218,3370023,18337408,93.16,15.07,75.49,2.73,14.84
5,MIAMIA,mia,-,53,26.1,112354370,16972957,81123929,18186079,12900362,90.9,13.73,65.63,14.71,10.44
6,CARCAR,car,-,53,26.9,110901350,16435031,73225356,19388894,18215100,89.73,13.3,59.24,15.69,14.74
7,GBGB,gnb,-,52,25.7,120681853,11243878,100707865,16836700,3119288,97.64,9.1,81.48,13.62,2.52
8,TENTEN,oti,-,54,26.4,127458573,8853340,110121914,4241818,12550074,103.12,7.16,89.1,3.43,10.15
9,CINCIN,cin,-,52,26.4,127056245,7974686,92938874,25979949,8131422,102.8,6.45,75.19,21.02,6.58
10,TBTB,tam,-,51,26.0,127714333,7597389,91995376,21097643,14407084,103.33,6.15,74.43,17.07,11.66
11,ARIARI,crd,-,52,27.2,120046145,7517270,92369539,9185244,18449362,97.12,6.08,74.73,7.43,14.93
12,DENDEN,den,-,54,27.0,133459603,7405388,97160491,24747756,11515356,107.98,5.99,78.61,20.02,9.32
13,OAKOAK,rai,-,54,26.3,121159233,6627808,56659660,9161038,54996535,98.03,5.36,45.84,7.41,44.5
14,NENE,nwe,-,53,25.9,124037085,6219259,84784241,22193915,16932929,100.35,5.03,68.6,17.96,13.7
15,SFSF,sfo,-,51,26.9,122183675,4693644,108616465,7843921,5256877,98.85,3.8,87.88,6.35,4.25
16,NYJNYJ,nyj,-,54,26.2,122960176,4672561,80633014,18934169,23236993,99.48,3.78,65.24,15.32,18.8
17,DALDAL,dal,-,54,25.9,116240089,4359067,72038158,27809946,16379985,94.05,3.53,58.28,22.5,13.25
18,SEASEA,sea,-,54,25.9,133734928,4073197,101503464,23494782,8377388,108.2,3.3,82.12,19.01,6.78
19,SDSD,sdsd,-,53,26.3,120452285,3665563,94062621,13860874,12298555,97.45,2.97,76.1,11.21,9.95
20,WASWAS,was,-,53,26.8,107385220,3301013,88700032,13195216,5291972,86.88,2.67,71.76,10.68,4.28
21,DETDET,det,-,53,26.8,119769257,2821760,95868619,8997466,14829672,96.9,2.28,77.56,7.28,12.0
22,HOUHOU,htx,-,53,25.8,123826813,2323913,77438733,39491632,6812448,100.18,1.88,62.65,31.95,5.51
23,MINMIN,min,-,54,26.1,128947738,1949746,117391509,7107396,3642189,104.33,1.58,94.98,5.75,2.95
24,ATLATL,atl,-,53,26.5,122214225,1672075,89778071,15184383,17155771,98.88,1.35,72.64,12.29,13.88
25,NONO,nor,-,56,26.9,124062501,1660736,97705545,19949750,6214206,100.37,1.34,79.05,16.14,5.03
26,CHICHI,chi,-,56,27.2,128429835,1583420,103159959,19028125,6199751,103.91,1.28,83.46,15.39,5.02
27,KCKC,kan,-,52,25.9,136631412,1468615,114803016,2597567,19028711,110.54,1.19,92.88,2.1,15.4
28,PITPIT,pit,-,54,26.7,125459344,67467,96309954,17925814,10959576,101.5,0.05,77.92,14.5,8.87
29,BALBAL,rav,-,53,26.3,124106848,-124417,103969958,2598546,17514344,100.41,-0.1,84.12,2.1,14.17
30,STLSTL,stlstl,-,53,25.1,124333057,-1062720,69722934,39407666,14665104,100.59,-0.86,56.41,31.88,11.86
31,NYGNYG,nyg,-,55,26.7,127517255,-2825971,92701902,25637548,8805805,103.17,-2.29,75.0,20.74,7.12
32,INDIND,clt,-,53,26.7,129046015,-3531741,98729480,18665904,10847687,104.41,-2.86,79.88,15.1,8.78
