Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
1,CLECLE,cle,7-10-0,53,25.5,186513983,31186017,132199512,16565851,35989120,89.58,14.98,63.5,7.96,17.29
2,CARCAR,car,7-10-0,53,26.2,202249051,11106983,128149331,19578244,52457843,97.14,5.33,61.55,9.4,25.2
3,NYJNYJ,nyj,7-10-0,54,26.4,202470545,8529455,153295451,33842715,13760179,97.25,4.1,73.63,16.25,6.61
4,DENDEN,den,5-12-0,53,26.3,211456385,8143615,108893408,67116043,34641934,101.56,3.91,52.3,32.24,16.64
5,LVLV,rai,6-11-0,53,26.2,199666719,7333281,122209751,25793138,49550430,95.9,3.52,58.7,12.39,23.8
6,INDIND,clt,4-12-1,53,26.0,205811217,7088783,147156772,40761551,16051894,98.85,3.4,70.68,19.58,7.71
7,ATLATL,atl,7-10-0,53,26.1,201717487,6942849,94499866,21702897,83599124,96.89,3.33,45.39,10.42,40.15
8,SFSF,sfo,13-4-0,53,26.8,206082457,6417543,162291139,18879035,22250183,98.98,3.08,77.95,9.07,10.69
9,WASWAS,was,8-8-1,53,26.0,208068247,5931753,160094196,23252370,22383281,99.94,2.85,76.89,11.17,10.75
10,CHICHI,chi,3-14-0,53,26.1,204696905,5203095,78766986,30646446,93289973,98.32,2.5,37.83,14.72,44.81
11,DALDAL,dal,12-5-0,53,26.4,215338768,4961232,161682742,18688275,32734451,103.43,2.38,77.66,8.98,15.72
12,PHIPHI,phi,14-3-0,53,26.5,219445581,4954419,145718346,7238058,64487877,105.4,2.38,69.99,3.48,30.97
13,PITPIT,pit,9-8-0,53,26.2,210658592,4541408,158603136,13161363,36520393,101.18,2.18,76.18,6.32,17.54
14,MIAMIA,mia,9-8-0,53,26.7,208559442,4040558,149787507,38149986,18486649,100.17,1.94,71.94,18.32,8.88
15,LACLAC,sdg,10-7-0,53,26.1,212129671,3670329,175316296,23676219,11074256,101.89,1.76,84.21,11.37,5.32
16,GBGB,gnb,8-9-0,53,26.2,211847657,3552343,162533410,16455765,30661982,101.75,1.71,78.07,7.9,14.73
17,KCKC,kan,14-3-0,53,26.1,205249141,3350859,181434543,5217280,16397118,98.58,1.61,87.14,2.51,7.88
18,DETDET,det,9-8-0,53,25.5,214423875,3276125,157043784,20522793,34960598,102.99,1.57,75.43,9.86,16.79
19,NYGNYG,nyg,9-7-1,53,25.9,203667109,2932891,133245725,14742873,53752511,97.82,1.41,64.0,7.08,25.82
20,TBTB,tam,8-9-0,53,27.2,202960773,2839227,158812989,16147220,25565164,97.48,1.36,76.28,7.76,12.28
21,JAXJAX,jax,9-8-0,51,25.9,231233180,2719175,159988522,33889632,34849526,111.06,1.31,76.84,16.28,16.74
22,ARIARI,crd,4-13-0,52,27.3,204825664,2674336,98153785,79550165,25839514,98.38,1.28,47.14,38.21,12.41
23,NENE,nwe,8-9-0,53,26.9,208004554,2195446,161125235,25985134,18589785,99.91,1.05,77.39,12.48,8.93
24,CINCIN,cin,12-4-0,54,25.5,210200068,1999932,175096752,16929797,15804219,100.96,0.96,84.1,8.13,7.59
25,BUFBUF,buf,13-3-0,53,26.9,206691460,1908540,163264230,15141716,25249314,99.28,0.92,78.42,7.27,12.13
26,SEASEA,sea,9-8-0,53,26.7,215796566,1403434,120909675,35451072,57370519,103.65,0.67,58.07,17.03,27.56
27,HOUHOU,htx,3-13-1,52,26.8,212666643,1333357,113791851,18731282,77919210,102.15,0.64,54.66,9.0,37.43
28,TENTEN,oti,7-10-0,51,26.2,209793874,1106126,78943246,104725799,24813429,100.77,0.53,37.92,50.3,11.92
29,MINMIN,min,13-4-0,54,26.2,208790359,1009641,162760165,15575169,28089925,100.28,0.48,78.17,7.48,13.49
30,LARLAR,ram,5-12-0,54,25.9,200270156,829844,113511363,58353159,26653334,96.19,0.4,54.52,28.03,12.8
31,BALBAL,rav,10-7-0,53,26.2,204617520,382480,160177579,15768186,26720389,98.28,0.18,76.93,7.57,12.83
32,NONO,nor,7-10-0,54,27.2,206828041,-828041,131357406,29762067,43937668,99.34,-0.4,63.09,14.29,21.1
