Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
1,JAXJAX,jax,-,53,25.3,129184374,22591120,87789968,19105599,21765907,97.13,16.99,66.01,14.37,16.37
2,CLECLE,cle,-,55,25.8,135401214,21516542,97109089,17296800,20541725,101.81,16.18,73.01,13.01,15.44
3,NYJNYJ,nyj,-,53,26.3,118345094,15764146,93006628,5903538,19245928,88.98,11.85,69.93,4.44,14.47
4,PHIPHI,phi,-,53,26.6,134781802,14518147,116673474,6940195,10210533,101.34,10.92,87.72,5.22,7.68
5,TENTEN,oti,-,54,26.7,127601550,11304261,90812712,23583345,12688893,95.94,8.5,68.28,17.73,9.54
6,CINCIN,cin,-,55,26.5,131642102,10021378,115809145,10023076,5142081,98.98,7.53,87.07,7.54,3.87
7,INDIND,clt,-,52,27.2,123726021,9627074,95599118,21764072,5902931,93.03,7.24,71.88,16.36,4.44
8,MIAMIA,mia,-,51,26.2,142455998,8166415,104746850,29227784,8367964,107.11,6.14,78.76,21.98,6.29
9,GBGB,gnb,-,54,25.9,134037242,7783967,123610693,4306059,5477890,100.78,5.85,92.94,3.24,4.12
10,BALBAL,rav,-,52,26.3,124870620,6715305,96142927,13372825,14865768,93.89,5.05,72.29,10.05,11.18
11,OAKOAK,rai,-,55,26.6,124442456,6465447,78110193,28068861,17835002,93.57,4.86,58.73,21.1,13.41
12,SEASEA,sea,-,54,26.1,130443458,5423082,96775515,15255415,17977828,98.08,4.08,72.76,11.47,13.52
13,CARCAR,car,-,53,26.3,133399424,5275510,88019888,17737701,27093735,100.3,3.97,66.18,13.34,20.37
14,NENE,nwe,-,54,26.3,134321836,4787215,109964588,5231767,18665581,100.99,3.6,82.68,3.93,14.03
15,SFSF,sfo,-,54,26.6,131507823,3975960,98126936,22767190,10210497,98.88,2.99,73.78,17.12,7.68
16,DALDAL,dal,-,51,26.1,130227376,3647552,87696782,13811912,28302882,97.92,2.74,65.94,10.38,21.28
17,MINMIN,min,-,54,25.6,130020129,3515388,88042001,32663224,8766804,97.76,2.64,66.2,24.56,6.59
18,BUFBUF,buf,-,53,26.0,147684870,2899870,110273422,9570317,27015831,111.04,2.18,82.91,7.2,20.31
19,ATLATL,atl,-,54,26.6,133009495,2734439,103552592,17767998,11065205,100.01,2.06,77.86,13.36,8.32
20,ARIARI,crd,-,54,26.4,133228945,2626620,93308619,23877660,15708766,100.17,1.97,70.16,17.95,11.81
21,HOUHOU,htx,-,53,26.1,132043412,2419818,97907252,12584666,20990794,99.28,1.82,73.61,9.46,15.78
22,PITPIT,pit,-,53,26.7,131947647,2300803,113996593,3980088,13435466,99.21,1.73,85.71,2.99,10.1
23,TBTB,tam,-,53,25.9,137116892,2219889,94061905,28988412,13814575,103.1,1.67,70.72,21.8,10.39
24,KCKC,kan,-,53,26.2,132717955,1750188,96516582,26434525,9407748,99.79,1.32,72.57,19.88,7.07
25,CHICHI,chi,-,54,26.4,131432644,1574311,81640084,31089755,18280705,98.82,1.18,61.38,23.38,13.74
26,NONO,nor,-,54,26.8,131772234,1012683,101345281,13703053,16327000,99.08,0.76,76.2,10.3,12.28
27,SDSD,sdsd,-,54,26.8,134236725,891116,94825621,22384694,16440510,100.93,0.67,71.3,16.83,12.36
28,STLSTL,stlstl,-,53,25.6,131027131,796398,91476742,30605636,8402953,98.52,0.6,68.78,23.01,6.32
29,DENDEN,den,-,53,26.3,135893026,356672,121215199,4408698,9683329,102.18,0.27,91.14,3.31,7.28
30,NYGNYG,nyg,-,54,26.4,131935198,80748,84943487,34046962,12642349,99.2,0.06,63.87,25.6,9.51
31,DETDET,det,-,54,26.8,132391775,-169223,112293516,10101719,9379140,99.54,-0.13,84.43,7.6,7.05
32,WASWAS,was,-,53,26.2,132411712,-750444,89595971,25880310,16633031,99.56,-0.56,67.37,19.46,12.51
