Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
1,JAXJAX,jax,-,53,25.6,136130404,32355703,107546334,19001605,9582465,95.01,22.58,75.06,13.26,6.69
2,TENTEN,oti,-,54,25.8,128662671,25690907,90472606,20323893,17866172,89.8,17.93,63.14,14.18,12.47
3,CLECLE,cle,-,53,25.8,139647560,22119840,102057621,30535195,7054744,97.46,15.44,71.23,21.31,4.92
4,NYGNYG,nyg,-,53,26.3,128321422,15090461,78694040,34027576,15599806,89.56,10.53,54.92,23.75,10.89
5,OAKOAK,rai,-,54,26.4,137071838,14800918,94352516,26030509,16688813,95.67,10.33,65.85,18.17,11.65
6,SFSF,sfo,-,52,25.6,136740459,13115521,74501722,33144637,29094100,95.44,9.15,52.0,23.13,20.31
7,TBTB,tam,-,53,25.8,133567282,11342607,86632966,21628583,25305733,93.22,7.92,60.46,15.1,17.66
8,DALDAL,dal,-,52,26.1,137816498,10761815,80128732,38468852,19218914,96.19,7.51,55.92,26.85,13.41
9,ATLATL,atl,-,53,26.8,136236065,10012750,99720594,14045930,22469541,95.08,6.99,69.6,9.8,15.68
10,GBGB,gnb,-,52,25.8,141856037,9615069,125157906,11235334,5436397,99.01,6.71,87.35,7.84,3.79
11,PHIPHI,phi,-,53,26.7,150325196,9547182,123889910,7038928,19396358,104.92,6.66,86.47,4.91,13.54
12,INDIND,clt,-,52,27.2,143402177,9021215,108214835,20924189,14263153,100.09,6.3,75.53,14.6,9.95
13,CINCIN,cin,-,53,26.5,143913511,8216924,134100760,4964686,4848065,100.44,5.73,93.59,3.47,3.38
14,MIAMIA,mia,-,52,25.4,144878936,8048001,90566641,23752877,30559418,101.12,5.62,63.21,16.58,21.33
15,BUFBUF,buf,-,53,25.9,138342172,7731712,91749336,32949072,13643764,96.55,5.4,64.03,23.0,9.52
16,WASWAS,was,-,52,26.7,139789532,6802213,97790178,28912273,13087081,97.56,4.75,68.25,20.18,9.13
17,PITPIT,pit,-,53,26.8,138860441,5198028,95331909,23114206,20143726,96.92,3.63,66.54,16.13,14.06
18,DENDEN,den,-,53,26.7,145098899,4967125,134668943,4281668,6148288,101.27,3.47,93.99,2.99,4.29
19,KCKC,kan,-,52,26.1,141444281,4699919,104438587,14902761,21535333,98.72,3.28,72.89,10.4,15.03
20,CARCAR,car,-,53,27.0,145230447,4141190,121004274,8785308,15374865,101.36,2.89,84.45,6.13,10.73
21,STLSTL,stlstl,-,53,25.4,140686890,3986497,94007833,35201011,11478046,98.19,2.78,65.61,24.57,8.01
22,BALBAL,rav,-,52,26.0,141217050,3914077,65521036,51686673,24009341,98.56,2.73,45.73,36.07,16.76
23,ARIARI,crd,-,52,26.6,144707976,3807890,120691340,11207227,12809409,101.0,2.66,84.23,7.82,8.94
24,CHICHI,chi,-,53,26.2,141512728,3655706,89976736,22513710,29022282,98.77,2.55,62.8,15.71,20.26
25,HOUHOU,htx,-,52,26.1,142403116,3622630,102642525,22336746,17423845,99.39,2.53,71.64,15.59,12.16
26,NENE,nwe,-,52,26.0,141316422,3261662,96415003,25397095,19484524,98.63,2.28,67.29,17.73,13.6
27,NYJNYJ,nyj,-,53,26.7,153010332,3139062,135479685,9275077,8255570,106.79,2.19,94.56,6.47,5.76
28,MINMIN,min,-,53,26.1,147022479,2605481,118160753,19711497,9150229,102.61,1.82,82.47,13.76,6.39
29,SDSD,sdsd,-,53,26.6,140814655,2157957,91395667,32423456,16995532,98.28,1.51,63.79,22.63,11.86
30,NONO,nor,-,53,27.1,143214027,1878403,93560943,14799378,34853706,99.95,1.31,65.3,10.33,24.33
31,DETDET,det,-,53,26.5,143215794,1102197,107062153,14916955,21236686,99.96,0.77,74.72,10.41,14.82
32,SEASEA,sea,-,53,26.4,147364599,893139,114840985,12551881,19635133,102.85,0.62,80.15,8.76,13.7
