Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
1,CLECLE,cle,11-5-0,52,25.7,199101772,29598375,143629461,37636988,17823323,100.45,14.93,72.47,18.99,8.99
2,DALDAL,dal,6-10-0,52,25.9,191282501,26454777,108629975,56327624,26324902,96.51,13.35,54.81,28.42,13.28
3,NYJNYJ,nyj,2-14-0,53,25.3,182498749,24566915,86529089,42323265,53587595,92.08,12.4,43.66,21.35,27.04
4,NENE,nwe,7-9-0,53,26.6,186649624,24007947,103996819,51523253,31129552,94.17,12.11,52.47,26.0,15.71
5,JAXJAX,jax,1-15-0,54,25.1,184288252,23369347,87879404,41802593,49890275,92.98,11.79,44.34,21.09,25.17
6,PHIPHI,phi,4-11-1,52,25.8,200593459,21506475,140155537,36683384,23648938,101.21,10.85,70.71,18.51,11.93
7,DENDEN,den,5-11-0,53,25.6,195780141,18179309,102374592,67890159,25389390,98.78,9.17,51.65,34.25,12.81
8,WASWAS,was,7-9-0,53,26.1,193135405,15959850,131896856,29758508,31222041,97.44,8.05,66.55,15.01,15.75
9,MIAMIA,mia,10-6-0,53,25.4,202755153,14969340,156504710,7149972,39015271,102.3,7.55,78.96,3.61,19.68
10,DETDET,det,5-11-0,52,26.8,201274115,13034055,136316057,35530716,29102142,101.55,6.58,68.78,17.93,14.68
11,CINCIN,cin,4-11-1,54,26.2,197637354,10809739,115462613,62583496,19508445,99.72,5.45,58.26,31.58,9.84
12,INDIND,clt,11-5-0,53,25.8,231385518,8513188,187851538,26052725,17354055,116.74,4.3,94.78,13.14,8.76
13,CHICHI,chi,8-8-0,53,26.9,204713154,7811988,163818846,23387944,17053964,103.29,3.94,82.65,11.8,8.6
14,LARLAR,ram,10-6-0,53,25.7,196611667,7270935,153700759,4444760,38466148,99.2,3.67,77.55,2.24,19.41
15,HOUHOU,htx,4-12-0,55,26.3,210781361,7232473,141313765,45760200,23481796,106.35,3.65,71.3,23.09,11.85
16,BALBAL,rav,11-5-0,53,26.8,190989245,6920153,135700177,32766124,22407744,96.36,3.49,68.47,16.53,11.31
17,LACLAC,sdg,7-9-0,55,25.5,195831096,6579352,134191298,47294246,14320352,98.8,3.32,67.7,23.86,7.23
18,PITPIT,pit,12-4-0,54,26.3,194669953,6026871,146851577,33062935,14551441,98.22,3.04,74.09,16.68,7.34
19,LVLV,rai,8-8-0,53,26.3,214145655,5860656,165917480,37001807,11226368,108.05,2.96,83.71,18.67,5.66
20,NYGNYG,nyg,6-10-0,53,25.9,192619204,4820488,149574151,21703914,21341139,97.18,2.43,75.47,10.95,10.77
21,CARCAR,car,5-11-0,53,26.0,204039300,4433177,119293249,30555813,54072638,102.95,2.24,60.19,15.42,27.28
22,TBTB,tam,11-5-0,54,27.1,199841623,4263627,185308315,6636768,7804140,100.83,2.15,93.5,3.35,3.94
23,KCKC,kan,14-2-0,51,26.1,216749367,4193094,182730257,15557500,18090810,109.36,2.12,92.19,7.85,9.13
24,GBGB,gnb,13-3-0,52,26.0,199876795,4058809,165749106,25190627,8741462,100.85,2.05,83.63,12.71,4.41
25,SFSF,sfo,6-10-0,55,26.4,202659073,4030878,101109577,84851447,16677649,102.25,2.03,51.01,42.81,8.41
26,NONO,nor,12-4-0,53,27.0,194082268,3920462,161365733,10173995,22530540,97.92,1.98,81.42,5.13,11.37
27,TENTEN,oti,11-5-0,51,26.8,216614008,3752451,135619326,49061672,31743410,109.29,1.89,68.43,24.75,16.02
28,BUFBUF,buf,13-3-0,52,26.7,218228694,2648254,200165512,5333642,12669540,110.11,1.34,100.99,2.69,6.39
29,ATLATL,atl,4-12-0,54,26.7,199335990,2570690,166160239,2808368,30106983,100.57,1.3,83.83,1.42,15.19
30,MINMIN,min,7-9-0,52,25.6,195029407,2364928,112701789,45208660,36982158,98.4,1.19,56.86,22.81,18.66
31,ARIARI,crd,8-8-0,53,26.7,194162965,2364707,134848837,42808830,16289298,97.96,1.19,68.04,21.6,8.22
32,SEASEA,sea,12-4-0,52,26.6,200893810,-1255714,166465242,17939400,16453168,101.36,-0.63,83.99,9.05,8.3
