Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
1,JAXJAX,jax,-,65,26.2,90618988,60756012,83637656,2998667.0,3691965,75.28,50.47,69.48,2.49,3.07
2,TBTB,tam,-,53,25.0,87734299,56140701,81455451,0.0,6181948,72.88,46.64,67.67,0.0,5.14
3,KCKC,kan,-,52,26.1,104478066,39906934,102911884,750000.0,622382,86.79,33.15,85.49,0.62,0.52
4,DENDEN,den,-,57,26.1,109429914,36945086,95632160,0.0,13797754,90.91,30.69,79.45,0.0,11.46
5,SEASEA,sea,-,66,26.0,109313402,32161598,88541574,0.0,20623628,90.81,26.72,73.55,0.0,17.13
6,DALDAL,dal,-,55,26.4,107076393,30438607,90321660,0.0,16657833,88.95,25.29,75.03,0.0,13.84
7,BUFBUF,buf,-,50,26.3,109501667,30163333,70042948,26395428.0,13063291,90.97,25.06,58.19,21.93,10.85
8,CINCIN,cin,-,56,26.1,108789165,26585835,100319460,3388236.0,4790769,90.38,22.09,83.34,2.81,3.98
9,CLECLE,cle,-,50,26.5,105417718,23937282,97444298,2250000.0,5529620,87.57,19.89,80.95,1.87,4.59
10,SFSF,sfo,-,65,26.2,115371935,21503065,107177164,0.0,8000971,95.84,17.86,89.04,0.0,6.65
11,CHICHI,chi,-,58,26.1,108187493,19927507,100826630,0.0,7360863,89.88,16.55,83.76,0.0,6.11
12,NONO,nor,-,47,26.3,107727714,16867286,99762948,228000.0,7736766,89.49,14.01,82.88,0.19,6.43
13,TENTEN,oti,-,59,25.9,113611327,14873673,107874324,0.0,5737003,94.38,12.36,89.62,0.0,4.77
14,STLSTL,stlstl,-,59,26.5,109918844,13956156,106735081,812378.0,2080685,91.31,11.59,88.67,0.67,1.73
15,OAKOAK,rai,-,52,26.4,110663062,12711938,105625393,4111529.0,829240,91.93,10.56,87.75,3.42,0.69
16,NENE,nwe,-,66,26.7,115253675,11781325,105061299,875000.0,8407702,95.75,9.79,87.28,0.73,6.98
17,GBGB,gnb,-,60,25.8,116059559,9515441,112648083,0.0,3217676,96.42,7.9,93.58,0.0,2.67
18,WASWAS,was,-,66,26.6,126049398,7825602,100868212,8023038.0,17158148,104.71,6.5,83.79,6.67,14.25
19,BALBAL,rav,-,53,26.9,120452189,5722811,106996060,8810982.0,3966847,100.06,4.75,88.89,7.32,3.3
20,PHIPHI,phi,-,63,26.0,125772322,5502678,118267572,525000.0,6495250,104.48,4.57,98.25,0.44,5.4
21,ARIARI,crd,-,58,27.4,118509697,3865303,111028866,2610442.0,4781989,98.45,3.21,92.24,2.17,3.97
22,NYJNYJ,nyj,-,64,26.2,124983441,3591559,114337718,0.0,10645723,103.83,2.98,94.98,0.0,8.84
23,SDSD,sdsd,-,56,26.6,117120555,3254445,105636496,9146666.0,2143593,97.3,2.7,87.76,7.6,1.78
24,INDIND,clt,-,59,26.4,120760609,2114391,114200303,3527352.0,2936054,100.32,1.76,94.87,2.93,2.44
25,CARCAR,car,-,66,25.7,121912984,1262016,116797431,1776000.0,3339553,101.28,1.05,97.03,1.48,2.77
26,DETDET,det,-,59,26.9,122454221,-779221,120575367,575000.0,1303854,101.73,-0.65,100.17,0.48,1.08
27,MINMIN,min,-,58,26.2,123853123,-1528123,111603701,9039666.0,2822156,102.89,-1.27,92.71,7.51,2.34
28,HOUHOU,htx,-,57,26.3,122139328,-1764328,112947071,3097470.0,5997887,101.47,-1.47,93.83,2.57,4.98
29,NYGNYG,nyg,-,66,26.5,125052985,-3617985,121753387,288000.0,3011598,103.89,-3.01,101.15,0.24,2.5
30,MIAMIA,mia,-,62,26.5,133065091,-3790091,113691396,0.0,18889195,110.54,-3.15,94.45,0.0,15.69
31,ATLATL,atl,-,53,27.3,126208186,-5833186,116684491,5033886.0,4119309,104.85,-4.85,96.93,4.18,3.42
32,PITPIT,pit,-,70,26.6,128561003,-7680003,116070403,9143858.0,3346742,106.8,-6.38,96.42,7.6,2.78
