Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
1,OAKOAK,rai,-,60,26.6,113093129,7506871,79520206,12507991,21064932,93.78,6.22,65.94,10.37,17.47
2,TENTEN,oti,-,55,25.8,115654867,4945133,90842019,22099928,2712920,95.9,4.1,75.33,18.32,2.25
3,WASWAS,was,-,60,26.5,116425969,4174031,88980238,18915770,8142361,96.54,3.46,73.78,15.68,6.75
4,MINMIN,min,-,57,25.8,116838009,3761991,101904733,2843413,11508463,96.88,3.12,84.5,2.36,9.54
5,PHIPHI,phi,-,59,26.0,117414344,3185656,88815050,18998824,9406670,97.36,2.64,73.64,15.75,7.8
6,ARIARI,crd,-,53,27.0,117797796,2802204,88769403,18922351,10106042,97.68,2.32,73.61,15.69,8.38
7,CINCIN,cin,-,54,25.9,118185807,2414193,90863643,17574666,9553698,98.0,2.0,75.34,14.57,7.92
8,NONO,nor,-,54,26.4,118502314,2097686,97362462,15131199,6008653,98.26,1.74,80.73,12.55,4.98
9,STLSTL,ram,-,56,25.5,119565241,1034759,96908309,8214158,13829074,99.14,0.86,80.36,6.81,11.47
10,INDIND,clt,-,54,25.9,121500398,-900398,75393533,9960100,36146765,100.75,-0.75,62.52,8.26,29.97
11,GBGB,gnb,-,56,26.3,122110476,-1510476,106258073,11350672,4404831,101.25,-1.25,88.11,9.41,3.65
12,MIAMIA,mia,-,63,25.9,122861011,-2261011,90041870,20500935,12090206,101.87,-1.87,74.66,17.0,10.03
13,NYGNYG,nyg,-,53,26.5,124971791,-4371791,113975692,6149446,4846653,103.63,-3.63,94.51,5.1,4.02
14,PITPIT,pit,-,56,26.7,125059129,-4459129,93010135,21450115,10419367,103.7,-3.7,77.12,17.79,8.64
15,CHICHI,chi,-,55,27.2,125651164,-5051164,109098054,11139899,5413211,104.19,-4.19,90.46,9.24,4.49
16,SDSD,sdg,-,54,27.2,125987093,-5387093,94427351,21626950,9932792,104.47,-4.47,78.3,17.93,8.24
17,HOUHOU,htx,-,59,26.5,126008450,-5408450,100750648,8310964,16761538,104.48,-4.48,83.54,6.89,13.9
18,JAXJAX,jax,-,57,26.7,126080689,-5480689,95270155,21708958,8930951,104.54,-4.54,79.0,18.0,7.41
19,SEASEA,sea,-,56,26.0,126992530,-6392530,93341595,10661282,22989653,105.3,-5.3,77.4,8.84,19.06
20,CLECLE,cle,-,61,25.7,127133978,-6533978,103625309,16461897,7046772,105.42,-5.42,85.92,13.65,5.84
21,CARCAR,car,-,53,25.8,127165126,-6565126,91167463,29857920,6139743,105.44,-5.44,75.59,24.76,5.09
22,ATLATL,atl,-,53,26.8,127681289,-7081289,103035944,16039478,8315167,105.87,-5.87,85.44,13.3,6.89
23,NENE,nwe,-,61,26.3,129555635,-8955635,102563402,7599569,19328664,107.43,-7.43,85.04,6.3,16.03
24,BALBAL,rav,-,56,26.8,129851198,-9251198,101262723,16511111,11616664,107.67,-7.67,83.97,13.69,9.63
25,BUFBUF,buf,-,54,26.1,132480943,-11880943,79492678,31399020,21589245,109.85,-9.85,65.91,26.04,17.9
26,NYJNYJ,nyj,-,62,26.2,132815305,-12215305,102512003,24247707,6049895,110.13,-10.13,85.0,20.11,5.02
27,DETDET,det,-,59,27.4,132860646,-12260646,115697825,16425593,737228,110.17,-10.17,95.94,13.62,0.61
28,DALDAL,dal,-,58,26.5,133052799,-12452799,98315939,9249450,25487410,110.33,-10.33,81.52,7.67,21.13
29,DENDEN,den,-,56,26.7,133892694,-13292694,116387623,9020892,8484179,111.02,-11.02,96.51,7.48,7.03
30,TBTB,tam,-,59,25.8,137720452,-17120452,96004352,37352378,4363722,114.2,-14.2,79.61,30.97,3.62
31,SFSF,sfo,-,56,27.1,139207508,-18607508,129631457,6575171,2225680,115.43,-15.43,107.49,5.45,1.85
32,KCKC,kan,-,60,26.1,143960224,-23360224,114132477,23760405,6067342,119.37,-19.37,94.64,19.7,5.03
