Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
1,CLECLE,cle,-,55,25.1,130222141,46464153,81775809,13242314,35204018,83.87,29.92,52.67,8.53,22.67
2,SFSF,sfo,-,53,26.1,134002183,42579751,84921427,36918271,12127985,86.3,27.42,54.69,23.78,7.81
3,JAXJAX,jax,-,52,25.5,150459217,39842493,109679864,35670710,5108643,96.9,25.66,70.64,22.97,3.29
4,TENTEN,oti,-,53,26.5,150462723,25895103,116118046,15808120,18508957,96.9,16.68,74.78,10.18,11.92
5,CARCAR,car,-,53,26.8,139231900,18761241,98999535,27045781,13186584,89.67,12.08,63.76,17.42,8.49
6,WASWAS,was,-,53,26.6,146116126,15847898,117003811,12388527,16723788,94.1,10.21,75.36,7.98,10.77
7,MIAMIA,mia,-,50,26.2,151387347,15379972,98532410,35333698,17521239,97.5,9.91,63.46,22.76,11.28
8,NYGNYG,nyg,-,53,26.4,154901229,12418930,127295586,12355327,15250316,99.76,8.0,81.98,7.96,9.82
9,NENE,nwe,-,53,26.3,147674888,11967563,117616342,12528974,17529572,95.11,7.71,75.75,8.07,11.29
10,PHIPHI,phi,-,52,26.4,151957894,9612468,119020957,8757519,24179418,97.87,6.19,76.65,5.64,15.57
11,NONO,nor,-,53,27.2,146288954,9273108,86319212,17817713,42124429,94.22,5.97,55.59,11.48,27.13
12,GBGB,gnb,-,51,25.7,154207025,9232264,134428984,15114512,4663529,99.32,5.95,86.58,9.73,3.0
13,CHICHI,chi,-,53,25.8,148323553,8265326,73471561,62054641,12797351,95.53,5.32,47.32,39.97,8.24
14,INDIND,clt,-,53,26.5,152482343,8126686,114015686,21160004,17189353,98.2,5.23,73.43,13.63,11.07
15,DETDET,det,-,53,26.5,149718669,7592547,116112911,8951089,24654669,96.42,4.89,74.78,5.76,15.88
16,DENDEN,den,-,53,25.7,147213128,6881913,112742090,19325789,15138349,94.81,4.43,72.61,12.45,9.75
17,DALDAL,dal,-,51,26.7,152736923,6524260,139363235,10138201,3235487,98.37,4.2,89.76,6.53,2.08
18,CINCIN,cin,-,53,26.5,156396246,6281306,121320842,31106767,3968637,100.73,4.05,78.14,20.03,2.56
19,PITPIT,pit,-,53,26.3,151419973,6209005,120047251,19556052,11747670,97.52,4.0,77.32,12.59,7.57
20,LARLAR,ram,-,53,25.3,149657650,6007539,109645297,18487672,21365306,96.39,3.87,70.62,11.91,13.76
21,KCKC,kan,-,53,25.6,152511280,5444650,116014324,22307196,14189760,98.22,3.51,74.72,14.37,9.14
22,TBTB,tam,-,54,25.9,155725098,5413268,120636046,28750608,6310844,100.29,3.49,77.69,18.52,4.06
23,HOUHOU,htx,-,53,26.6,152060968,5125112,115226229,28091929,8653110,97.93,3.3,74.21,18.09,5.57
24,BUFBUF,buf,-,53,26.4,152340574,5035157,112497692,21049137,18773045,98.11,3.24,72.45,13.56,12.09
25,ATLATL,atl,-,52,27.1,153820903,4980768,112615074,15158848,26026281,99.07,3.21,72.53,9.76,16.76
26,SEASEA,sea,-,51,26.1,150301345,4221582,120240932,15821302,14163211,96.8,2.72,77.44,10.19,9.12
27,BALBAL,rav,-,53,26.7,150959443,4219312,115846569,19771337,15341537,97.22,2.72,74.61,12.73,9.88
28,OAKOAK,rai,-,53,26.3,164335096,3997657,142746501,12390003,9198592,105.84,2.57,91.93,7.98,5.92
29,ARIARI,crd,-,53,26.0,155855865,3112551,111290277,30760135,13722653,100.38,2.0,71.68,19.81,8.84
30,SDSD,sdg,-,53,26.0,155470367,1304400,101639984,40444312,13365371,100.13,0.84,65.46,26.05,8.61
31,MINMIN,min,-,53,26.6,157201886,-287169,119127210,30536041,7538635,101.24,-0.18,76.72,19.67,4.86
32,NYJNYJ,nyj,-,54,25.5,158083299,-554565,97375558,43833352,16874389,101.81,-0.36,62.71,28.23,10.87
