Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
1,SFSF,sfo,12-5-0,53,26.9,199530464,37989804,154932685,9045205,33313374,88.76,16.9,68.92,4.02,14.82
2,CLECLE,cle,11-6-0,53,26.9,221895525,29876309,136190604,59731634,23468987,98.71,13.29,60.58,26.57,10.44
3,WASWAS,was,4-13-0,53,26.2,219158252,12093648,133719895,36098892,47623965,97.49,5.38,59.48,16.06,21.19
4,LVLV,rai,8-9-0,52,26.9,223471769,11529499,155882148,7623130,57853191,99.41,5.13,69.34,3.39,25.74
5,ARIARI,crd,4-13-0,53,25.6,218123776,11175765,107322872,39445510,69784194,97.03,4.97,47.74,17.55,31.04
6,DALDAL,dal,12-5-0,53,26.1,222101883,10801968,185500694,13268658,20451431,98.8,4.81,82.52,5.9,9.1
7,CINCIN,cin,9-8-0,53,25.9,215841995,10766741,170878346,37661299,4451550,96.02,4.79,76.01,16.75,1.98
8,TENTEN,oti,6-11-0,53,26.3,221490310,9408724,128983277,32324162,58841771,98.53,4.19,57.38,14.38,26.18
9,MINMIN,min,7-10-0,52,26.5,212737877,8959126,122035441,42572831,46177305,94.63,3.99,54.29,18.94,20.54
10,JAXJAX,jax,9-8-0,53,26.4,217779453,8947864,194030338,10248599,10665516,96.88,3.98,86.31,4.56,4.74
11,GBGB,gnb,9-8-0,53,25.0,218045716,8737004,120689913,27644641,67234462,97.0,3.89,53.69,12.3,29.91
12,INDIND,clt,9-8-0,52,25.7,223873320,8299055,150648067,19681463,51418290,99.59,3.69,67.01,8.76,22.87
13,LACLAC,sdg,5-12-0,53,26.1,218514926,8006038,132544014,56597781,27385531,97.2,3.56,58.96,25.18,12.18
14,ATLATL,atl,7-10-0,54,26.4,222639430,7730237,163895473,30465567,25649790,99.04,3.44,72.91,13.55,11.41
15,LARLAR,ram,10-7-0,52,26.1,217174558,7693754,131880407,3504814,79381937,96.61,3.42,58.67,1.56,35.31
16,SEASEA,sea,9-8-0,54,26.2,214977978,7127512,165990770,23585828,23397380,95.63,3.17,73.84,10.49,10.41
17,NYGNYG,nyg,6-11-0,53,25.8,223438031,6182522,129927472,34906607,56451152,99.39,2.75,57.8,15.53,25.11
18,NYJNYJ,nyj,7-10-0,54,26.7,222545781,6034929,143977333,48137923,29031325,99.0,2.68,64.05,21.41,12.91
19,CARCAR,car,2-15-0,53,26.9,232771942,5379990,136455085,32384753,62169404,103.55,2.39,60.7,14.41,27.66
20,CHICHI,chi,7-10-0,52,26.1,227512044,4926812,171087200,17112076,36737468,101.21,2.19,76.11,7.61,16.34
21,HOUHOU,htx,10-7-0,53,27.2,226978543,4441532,142196787,34938690,47419666,100.97,1.98,63.25,15.54,21.09
22,DETDET,det,12-5-0,52,26.0,223408752,3800950,173331167,15877444,32092641,99.38,1.69,77.1,7.06,14.28
23,TBTB,tam,9-8-0,53,25.9,223680759,3752054,128436935,11012667,81574757,99.5,1.67,57.13,4.9,36.29
24,NONO,nor,9-8-0,54,27.1,220525665,3635502,138027290,44993108,35175167,98.1,1.62,61.4,20.01,15.65
25,PITPIT,pit,10-7-0,54,26.4,226300540,2926605,194442075,8498611,21164554,100.67,1.3,86.5,3.78,9.41
26,KCKC,kan,11-6-0,53,26.0,217621452,2826341,194829168,7838417,12295967,96.81,1.26,86.67,3.49,5.47
27,PHIPHI,phi,11-6-0,53,26.6,232187112,2566558,160037713,5816176,63868823,103.29,1.14,71.19,2.59,28.41
28,MIAMIA,mia,11-6-0,53,27.1,223975605,1735990,172821528,28317349,20351028,99.63,0.77,76.88,12.6,9.05
29,DENDEN,den,8-9-0,53,26.3,231774113,1129738,173358141,22447627,33296145,103.1,0.5,77.12,9.99,14.81
30,BALBAL,rav,13-4-0,53,26.9,222562171,1049714,175622212,28547661,15901398,99.0,0.47,78.12,12.7,7.07
31,NENE,nwe,4-13-0,53,26.7,221851422,528826,122696951,66043849,31235322,98.69,0.24,54.58,29.38,13.89
32,BUFBUF,buf,11-6-0,53,27.0,228637476,-792453,182016009,33210155,10167412,101.71,-0.35,80.97,14.77,4.52
