Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
1,CLECLE,cle,-,53,24.4,156664052,59915427,77946523,32438232,46236097,93.81,35.88,46.67,19.42,27.69
2,SFSF,sfo,-,53,26.1,145364821,59518214,78589073,27342599,39433149,87.04,35.64,47.06,16.37,23.61
3,JAXJAX,jax,-,53,25.7,171292956,34574646,151852626,8145211,11295119,102.57,20.7,90.93,4.88,6.76
4,TENTEN,oti,-,53,27.1,161252092,29388759,149109415,4073982,8068695,96.56,17.6,89.29,2.44,4.83
5,NYJNYJ,nyj,-,53,25.4,144902320,22199908,98416921,25717942,20767457,86.77,13.29,58.93,15.4,12.44
6,TBTB,tam,-,53,26.5,153756128,18797828,125106587,21360939,7223802,92.07,11.26,74.91,12.79,4.33
7,INDIND,clt,-,53,25.5,156274655,18303815,90264198,38435699,27574758,93.58,10.96,54.05,23.02,16.51
8,MINMIN,min,-,53,26.4,153553781,16153930,117742794,23876146,11934841,91.95,9.67,70.5,14.3,7.15
9,HOUHOU,htx,-,54,26.1,159945016,12463708,99884814,46246048,13814154,95.78,7.46,59.81,27.69,8.27
10,BUFBUF,buf,-,52,26.8,154567897,12422000,104955026,20683295,28929576,92.56,7.44,62.85,12.39,17.32
11,LACLAC,sdg,-,53,26.2,157638663,11949256,127034223,11787775,18816665,94.39,7.16,76.07,7.06,11.27
12,DENDEN,den,-,53,25.8,156404109,11413689,121736835,28744569,5457705,93.66,6.83,72.9,17.21,3.27
13,CINCIN,cin,-,52,25.6,161691563,11193103,128091070,29451628,4148865,96.82,6.7,76.7,17.64,2.48
14,OAKOAK,rai,-,53,26.2,164442467,9775008,144377592,15674134,4390741,98.47,5.85,86.45,9.39,2.63
15,DALDAL,dal,-,54,25.5,159808251,9111598,114468318,18609387,26658546,95.69,5.46,68.54,11.14,15.96
16,DETDET,det,-,52,26.0,161081019,7312612,130190524,19975680,10914815,96.46,4.38,77.96,11.96,6.54
17,CHICHI,chi,-,53,26.1,167722301,6689489,110629152,43846918,13239031,100.43,4.01,66.25,26.26,7.93
18,GBGB,gnb,-,53,25.6,168491403,6583373,115603840,40818541,12069022,100.89,3.94,69.22,24.44,7.23
19,PITPIT,pit,-,53,26.3,163380183,5498476,145814413,5091333,11859437,97.83,3.29,87.31,3.05,7.1
20,LARLAR,ram,-,53,25.4,156886564,5094547,137063130,9821854,10001580,93.94,3.05,82.07,5.88,5.99
21,BALBAL,rav,-,53,26.5,158870983,4540933,112215774,24654481,21993528,95.13,2.72,67.2,14.76,13.17
22,CARCAR,car,-,51,27.4,175448311,4483933,144363005,18955036,12130270,105.06,2.68,86.44,11.35,7.26
23,NENE,nwe,-,52,27.2,163713427,3847061,129468455,26316207,7226565,98.03,2.3,77.53,15.76,4.33
24,PHIPHI,phi,-,53,26.5,172566936,3776455,130626348,22357948,19582640,103.33,2.26,78.22,13.39,11.73
25,ARIARI,crd,-,53,27.0,169351526,2475592,104474970,57220158,7526798,101.41,1.48,62.56,34.26,4.51
26,KCKC,kan,-,51,26.3,167778858,2374735,135438141,16289314,16051403,100.47,1.42,81.1,9.75,9.61
27,WASWAS,was,-,54,26.0,174807970,1758695,114359646,47357539,12634355,104.68,1.05,68.48,28.36,7.57
28,SEASEA,sea,-,53,26.0,167367602,1741563,126625244,33335648,7356310,100.22,1.04,75.82,19.96,4.4
29,ATLATL,atl,-,53,26.8,166313787,1594641,147393869,10460779,8459139,99.59,0.95,88.26,6.26,5.07
30,NONO,nor,-,51,26.1,161717460,1434963,97762121,37652072,25613267,96.84,0.86,58.54,22.55,15.34
31,NYGNYG,nyg,-,54,25.6,167429914,288932,104596283,52752736,10080895,100.26,0.17,62.63,31.59,6.04
32,MIAMIA,mia,-,53,26.2,171947683,38597,102474406,49427310,20045967,102.96,0.02,61.36,29.6,12.0
