Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap
1,SFSF,sfo,6-11-0,53,26.9,246996749,50467685,138201567,76435422,30442060
2,CLECLE,cle,3-14-0,53,26.8,248708541,42043438,130535406,74269590,42497245
3,NENE,nwe,4-13-0,53,26.1,229603859,36456118,130005536,32289751,60985272
4,LVLV,rai,4-13-0,53,25.6,226100229,35897151,111412545,62367394,50307790
5,WASWAS,was,12-5-0,53,27.5,240632456,24017815,186228005,4436939,47227012
6,DETDET,det,15-2-0,52,26.9,234434840,23638724,151659745,41395684,39256611
7,DALDAL,dal,7-10-0,53,26.4,240414997,20050038,97500830,110943953,29661014
8,MIAMIA,mia,8-9-0,53,27.3,238318281,18415532,138344211,39966893,58059677
9,JAXJAX,jax,4-13-0,53,25.9,252087967,16949079,142873539,52907841,53636487
10,GBGB,gnb,11-6-0,52,25.2,251586978,16128199,154542400,29678165,64574213
11,TENTEN,ten,3-14-0,53,26.4,245174700,15492667,142042127,33772989,67461884
12,ARIARI,crd,8-9-0,53,26.0,257687094,12815867,164898640,58612976,32162678
13,INDIND,clt,8-9-0,53,26.3,250316091,10423917,199356329,32881659,15608803
14,MINMIN,min,14-3-0,52,27.3,252563267,10173975,164432512,15353571,70382084
15,PITPIT,pit,10-7-0,51,27.6,247812491,9927701,182613866,31872753,30733672
16,PHIPHI,phi,14-3-0,53,25.7,250867000,9366359,168537310,16316779,63634011
17,TBTB,tam,10-7-0,53,25.9,244479945,8459981,139250589,40305885,62499171
18,SEASEA,sea,10-7-0,52,26.1,253363041,8131185,170968666,22353591,58377484
19,ATLATL,atl,8-9-0,53,27.2,253133425,6888021,219836480,16084779,14860766
20,DENDEN,den,10-7-0,52,26.1,252139493,6100773,150535729,9699102,89083362
21,CINCIN,cin,9-8-0,52,25.6,259321826,6093862,185741962,58054838,13021226
22,HOUHOU,hou,10-7-0,53,26.8,253606601,5762155,180926822,28526987,41631992
23,CHICHI,chi,5-12-0,53,26.5,254719369,5419854,204948258,16982678,30383725
24,LACLAC,lac,11-6-0,53,26.6,259842566,3935185,183462767,13004795,60901604
25,LARLAR,ram,10-7-0,53,25.9,254604834,3097450,209446790,6632094,35854750
26,NONO,nor,5-12-0,53,26.7,255445276,2952943,146456092,44743154,62187730
27,NYJNYJ,nyj,5-12-0,53,26.9,258488437,2592821,156802254,37125650,62318333
28,NYGNYG,nyg,3-14-0,53,26.3,258028276,2373826,116152706,57877195,82466975
29,KCKC,kan,15-2-0,53,26.5,250025386,2167701,220972465,9560714,17019007
30,BALBAL,bal,12-5-0,54,26.6,251869610,1890784,219432580,5929914,23109416
31,BUFBUF,buf,13-4-0,53,26.9,256067245,552172,175108383,3205258,75053004
32,CARCAR,car,5-12-0,52,27.2,261363792,-862719,147641087,38954652,73242553
