Coach,Team,Background,Year_N,Year_N_WAR,Year_N_Plus_1_WAR
Arthur Smith,ATL,Offensive,2021,-0.1247166068077087,-0.0182886988639831
Arthur Smith,ATL,Offensive,2022,-0.0182886988639831,-0.0527292162895202
Dan Henning,ATL,Offensive,1983,-0.0122696161270141,-0.0899777710437774
Dan Henning,ATL,Offensive,1984,-0.0899777710437774,-0.091093361377716
Dan Henning,ATL,Offensive,1985,-0.091093361377716,0.0276477253913879
Dan Quinn,ATL,Defensive,2015,-0.0626770257949829,0.0319371819496154
Dan Quinn,ATL,Defensive,2016,0.0319371819496154,0.0228088498115539
Dan Quinn,ATL,Defensive,2017,0.0228088498115539,-0.1849768161773681
Dan Quinn,ATL,Defensive,2018,-0.1849768161773681,-0.0477257370948791
Dan Quinn,ATL,Defensive,2019,-0.0477257370948791,-0.5407525300979614
Dan Reeves,ATL,Offensive,1997,-0.1570367813110351,0.1921172142028808
Dan Reeves,ATL,Offensive,1998,0.1921172142028808,-0.0478734672069549
Dan Reeves,ATL,Offensive,1999,-0.0478734672069549,-0.0536603331565856
Dan Reeves,ATL,Offensive,2000,-0.0536603331565856,0.0025051236152648
Dan Reeves,ATL,Offensive,2001,0.0025051236152648,-0.0384173476219177
Dan Reeves,ATL,Offensive,2002,-0.0384173476219177,-0.0749303428649902
Jerry Glanville,ATL,Defensive,1990,-0.0968622863292694,0.2187332808971405
Jerry Glanville,ATL,Defensive,1991,0.2187332808971405,0.0264277756214141
Jerry Glanville,ATL,Defensive,1992,0.0264277756214141,-0.0357109606266021
Jim Mora Jr,ATL,Defensive,2004,0.0526846051216125,-0.1306765675544738
Jim Mora Jr,ATL,Defensive,2005,-0.1306765675544738,-0.1360363364219665
June Jones,ATL,Offensive,1994,0.0088628232479095,0.0062209367752075
June Jones,ATL,Offensive,1995,0.0062209367752075,-0.0379083007574081
Leeman Bennett,ATL,Offensive,1977,-0.1888415217399597,0.0514534711837768
Leeman Bennett,ATL,Offensive,1978,0.0514534711837768,0.0325069725513458
Leeman Bennett,ATL,Offensive,1979,0.0325069725513458,0.0522706508636474
Leeman Bennett,ATL,Offensive,1980,0.0522706508636474,-0.0765871405601501
Leeman Bennett,ATL,Offensive,1981,-0.0765871405601501,0.0514056807518005
Marion Campbell,ATL,Defensive,1975,-0.1308804684162139,-0.0768539488315582
Marion Campbell,ATL,Defensive,1987,-0.0482509464025497,-0.1371230483055114
Marion Campbell,ATL,Defensive,1988,-0.1371230483055114,-0.1404032409191131
Mike Smith,ATL,Defensive,2008,0.0224594473838806,0.0448362231254577
Mike Smith,ATL,Defensive,2009,0.0448362231254577,0.0444747805595397
Mike Smith,ATL,Defensive,2010,0.0444747805595397,-0.0550358295440673
Mike Smith,ATL,Defensive,2011,-0.0550358295440673,0.1840152740478515
Mike Smith,ATL,Defensive,2012,0.1840152740478515,-0.1320071220397949
Mike Smith,ATL,Defensive,2013,-0.1320071220397949,-0.1291852593421936
Norm Van Brocklin,ATL,Offensive,1970,0.0171231826305389,0.0917487210750579
Norm Van Brocklin,ATL,Offensive,1971,0.0917487210750579,-0.0893038511276245
Norm Van Brocklin,ATL,Offensive,1972,-0.0893038511276245,-0.0094854732513427
Norm Van Brocklin,ATL,Offensive,1973,-0.0094854732513427,-0.0044771432876586
Chuck Knox,BUF,Offensive,1978,-0.073917418718338,-0.1375056505203247
