Coach,Team,Year_N,Year_N_WAR,Year_N_Win_Pct,Survived,Year_N_Plus_1_WAR,Background,WAR_Quintile,Tenure,Tenure_Category
Arthur Smith,ATL,2021,-0.1247166068077087,0.4118,True,-0.0182886988639831,Offensive,Q1 (Worst),1,Year 1
Arthur Smith,ATL,2022,-0.0182886988639831,0.4118,True,-0.0527292162895202,Offensive,Q3,2,Year 2
Bobby Petrino,ATL,2007,-0.1151379374980926,0.2308,False,,Offensive,Q1 (Worst),1,Year 1
Dan Henning,ATL,1983,-0.0122696161270141,0.4375,True,-0.0899777710437774,Offensive,Q3,1,Year 1
Dan Henning,ATL,1984,-0.0899777710437774,0.25,True,-0.091093361377716,Offensive,Q2,2,Year 2
Dan Henning,ATL,1985,-0.091093361377716,0.25,True,0.0276477253913879,Offensive,Q1 (Worst),3,Year 3
Dan Henning,ATL,1986,0.0276477253913879,0.4688,False,,Offensive,Q3,4,Year 4+
Dan Quinn,ATL,2015,-0.0626770257949829,0.5,True,0.0319371819496154,Defensive,Q2,1,Year 1
Dan Quinn,ATL,2016,0.0319371819496154,0.6875,True,0.0228088498115539,Defensive,Q4,2,Year 2
Dan Quinn,ATL,2017,0.0228088498115539,0.625,True,-0.1849768161773681,Defensive,Q3,3,Year 3
Dan Quinn,ATL,2018,-0.1849768161773681,0.4375,True,-0.0477257370948791,Defensive,Q1 (Worst),4,Year 4+
Dan Quinn,ATL,2019,-0.0477257370948791,0.4375,True,-0.5407525300979614,Defensive,Q2,5,Year 4+
Dan Quinn,ATL,2020,-0.5407525300979614,0.0,False,,Defensive,Q1 (Worst),6,Year 4+
Dan Reeves,ATL,1997,-0.1570367813110351,0.4375,True,0.1921172142028808,Offensive,Q1 (Worst),1,Year 1
Dan Reeves,ATL,1998,0.1921172142028808,0.875,True,-0.0478734672069549,Offensive,Q5 (Best),2,Year 2
Dan Reeves,ATL,1999,-0.0478734672069549,0.3125,True,-0.0536603331565856,Offensive,Q2,3,Year 3
Dan Reeves,ATL,2000,-0.0536603331565856,0.25,True,0.0025051236152648,Offensive,Q2,4,Year 4+
Dan Reeves,ATL,2001,0.0025051236152648,0.4375,True,-0.0384173476219177,Offensive,Q3,5,Year 4+
Dan Reeves,ATL,2002,-0.0384173476219177,0.5938,True,-0.0749303428649902,Offensive,Q2,6,Year 4+
Dan Reeves,ATL,2003,-0.0749303428649902,0.2308,False,,Offensive,Q2,7,Year 4+
Jerry Glanville,ATL,1990,-0.0968622863292694,0.3125,True,0.2187332808971405,Defensive,Q1 (Worst),1,Year 1
Jerry Glanville,ATL,1991,0.2187332808971405,0.625,True,0.0264277756214141,Defensive,Q5 (Best),2,Year 2
Jerry Glanville,ATL,1992,0.0264277756214141,0.375,True,-0.0357109606266021,Defensive,Q3,3,Year 3
Jerry Glanville,ATL,1993,-0.0357109606266021,0.375,False,,Defensive,Q2,4,Year 4+
Jim Mora Jr,ATL,2004,0.0526846051216125,0.6875,True,-0.1306765675544738,Defensive,Q4,1,Year 1
Jim Mora Jr,ATL,2005,-0.1306765675544738,0.5,True,-0.1360363364219665,Defensive,Q1 (Worst),2,Year 2
Jim Mora Jr,ATL,2006,-0.1360363364219665,0.4375,False,,Defensive,Q1 (Worst),3,Year 3
