Coach,Team,Year_N,Year_N_Actual_Win_Pct,Year_N_Plus_1_Actual_Win_Pct
Arthur Smith,ATL,2021,0.4118,0.4118
Arthur Smith,ATL,2022,0.4118,0.4118
Dan Henning,ATL,1983,0.4375,0.25
Dan Henning,ATL,1984,0.25,0.25
Dan Henning,ATL,1985,0.25,0.4688
Dan Quinn,ATL,2015,0.5,0.6875
Dan Quinn,ATL,2016,0.6875,0.625
Dan Quinn,ATL,2017,0.625,0.4375
Dan Quinn,ATL,2018,0.4375,0.4375
Dan Quinn,ATL,2019,0.4375,0.25
Dan Reeves,ATL,1997,0.4375,0.875
Dan Reeves,ATL,1998,0.875,0.3125
Dan Reeves,ATL,1999,0.3125,0.25
Dan Reeves,ATL,2000,0.25,0.4375
Dan Reeves,ATL,2001,0.4375,0.5938
Dan Reeves,ATL,2002,0.5938,0.3125
Jerry Glanville,ATL,1990,0.3125,0.625
Jerry Glanville,ATL,1991,0.625,0.375
Jerry Glanville,ATL,1992,0.375,0.375
Jim Mora Jr,ATL,2004,0.6875,0.5
Jim Mora Jr,ATL,2005,0.5,0.4375
June Jones,ATL,1994,0.4375,0.5625
June Jones,ATL,1995,0.5625,0.1875
Leeman Bennett,ATL,1977,0.5,0.5625
Leeman Bennett,ATL,1978,0.5625,0.375
Leeman Bennett,ATL,1979,0.375,0.75
Leeman Bennett,ATL,1980,0.75,0.4375
Leeman Bennett,ATL,1981,0.4375,0.5556
Marion Campbell,ATL,1975,0.2857,0.2857
Marion Campbell,ATL,1987,0.2,0.3125
Marion Campbell,ATL,1988,0.3125,0.1875
Mike Smith,ATL,2008,0.6875,0.5625
Mike Smith,ATL,2009,0.5625,0.8125
Mike Smith,ATL,2010,0.8125,0.625
Mike Smith,ATL,2011,0.625,0.8125
Mike Smith,ATL,2012,0.8125,0.25
Mike Smith,ATL,2013,0.25,0.375
Norm Van Brocklin,ATL,1970,0.3571,0.5357
Norm Van Brocklin,ATL,1971,0.5357,0.5
Norm Van Brocklin,ATL,1972,0.5,0.6429
Norm Van Brocklin,ATL,1973,0.6429,0.2143
Chan Gailey,BUF,2010,0.25,0.375
Chan Gailey,BUF,2011,0.375,0.375
Chuck Knox,BUF,1978,0.3125,0.4375
Chuck Knox,BUF,1979,0.4375,0.6875
Chuck Knox,BUF,1980,0.6875,0.625
Chuck Knox,BUF,1981,0.625,0.4444
Dick Jauron,BUF,2006,0.4375,0.4375
Dick Jauron,BUF,2007,0.4375,0.4375
Dick Jauron,BUF,2008,0.4375,0.375
Doug Marrone,BUF,2013,0.375,0.5625
Gregg Williams,BUF,2001,0.1875,0.5
Gregg Williams,BUF,2002,0.5,0.375
Kay Stephenson,BUF,1983,0.5,0.125
Kay Stephenson,BUF,1984,0.125,0.125
Lou Saban,BUF,1972,0.3214,0.6429
Lou Saban,BUF,1973,0.6429,0.6429
Lou Saban,BUF,1974,0.6429,0.5714
Lou Saban,BUF,1975,0.5714,0.1429
Marv Levy,BUF,1987,0.4667,0.75
Marv Levy,BUF,1988,0.75,0.5625
