Background,1970s,1980s,1990s,2000s,2010s,2020s
Defensive,0.3,0.04,0.2,-0.07,0.06,-0.33
Offensive,-0.57,0.31,-0.48,-0.15,-0.01,0.26
Other,-0.13,0.01,0.47,,,
