WAR_Quintile,Year_N_Mean,Year_N_Std,Count,Year_N_Plus_1_Mean,Year_N_Plus_1_Std,Change,Pct_Retained
Q1 (Worst),-0.1395,0.0547,233,-0.0409,0.1141,0.09860000000000002,29.3
Q2,-0.0423,0.019,232,-0.0018,0.1171,0.040499999999999994,4.3
Q3,0.0215,0.0174,233,0.016,0.1292,-0.005499999999999998,74.4
Q4,0.0824,0.0171,232,0.0201,0.1067,-0.0623,24.4
Q5 (Best),0.1708,0.0514,233,0.0471,0.124,-0.1237,27.6
