Coach,Team,Year_N,Predictor,Outcome,Background
Arthur Smith,ATL,2022,-0.07150265283584589,-0.0527292162895202,Offensive
Dan Henning,ATL,1984,-0.05112369358539575,-0.091093361377716,Offensive
Dan Henning,ATL,1985,-0.0905355662107467,0.0276477253913879,Offensive
Dan Quinn,ATL,2016,-0.015369921922683747,0.0228088498115539,Defensive
Dan Quinn,ATL,2017,0.02737301588058465,-0.1849768161773681,Defensive
Dan Quinn,ATL,2018,-0.0810839831829071,-0.0477257370948791,Defensive
Dan Quinn,ATL,2019,-0.1163512766361236,-0.5407525300979614,Defensive
Dan Reeves,ATL,1998,0.01754021644592285,-0.0478734672069549,Offensive
Dan Reeves,ATL,1999,0.07212187349796295,-0.0536603331565856,Offensive
Dan Reeves,ATL,2000,-0.050766900181770255,0.0025051236152648,Offensive
Dan Reeves,ATL,2001,-0.0255776047706604,-0.0384173476219177,Offensive
Dan Reeves,ATL,2002,-0.01795611200332645,-0.0749303428649902,Offensive
Jerry Glanville,ATL,1991,0.060935497283935554,0.0264277756214141,Defensive
Jerry Glanville,ATL,1992,0.1225805282592773,-0.0357109606266021,Defensive
Jim Mora Jr,ATL,2005,-0.03899598121643065,-0.1360363364219665,Defensive
June Jones,ATL,1995,0.0075418800115585,-0.0379083007574081,Offensive
Leeman Bennett,ATL,1978,-0.06869402527809144,0.0325069725513458,Offensive
Leeman Bennett,ATL,1979,0.0419802218675613,0.0522706508636474,Offensive
Leeman Bennett,ATL,1980,0.0423888117074966,-0.0765871405601501,Offensive
Leeman Bennett,ATL,1981,-0.012158244848251357,0.0514056807518005,Offensive
Marion Campbell,ATL,1987,-0.06255244761705395,-0.1371230483055114,Defensive
Marion Campbell,ATL,1988,-0.09268699735403055,-0.1404032409191131,Defensive
Mike Smith,ATL,2009,0.03364783525466915,0.0444747805595397,Defensive
Mike Smith,ATL,2010,0.044655501842498696,-0.0550358295440673,Defensive
Mike Smith,ATL,2011,-0.005280524492263801,0.1840152740478515,Defensive
Mike Smith,ATL,2012,0.0644897222518921,-0.1320071220397949,Defensive
