Decade,Year,Difference,Diff_CI_Lower,Diff_CI_Upper,p_value_ttest,p_value_mw,cohens_d,n_offensive,n_defensive
1970s,1970,-0.8686839387678715,-1.4466471522731044,-0.2907207252626386,0.003445292978738513,0.005092372654660276,-0.4562797667167269,87,82
1980s,1980,0.2691186680028651,-0.2823326984641721,0.8205700344699023,0.3366604857403302,0.6133800907622906,0.13418670372416544,146,83
1990s,1990,-0.6840187558833312,-1.127514975523816,-0.24052253624284614,0.0026285967115230015,0.0072897944539420285,-0.36800573529282865,143,126
2000s,2000,-0.07650893537701559,-0.48972346631276653,0.33670559555873536,0.7158424457503981,0.8610204820525835,-0.04186599724540716,152,151
2010s,2010,-0.06318455667519862,-0.52377051614655,0.39740140279615277,0.7873328064213578,0.8708808846718562,-0.03169875550846934,158,135
2020s,2020,0.5917060382324715,-0.054545953632294863,1.237958030097238,0.07231867434529517,0.10975547229922818,0.3147732574325703,92,56
