Coach_Directory,Coach_Name,Background,Offensive_Years,Defensive_Years,Total_Coaching_Years,Sample_Roles
Aaron Glenn,Aaron Glenn,Defensive,0,11,12,"Asst. Defensive Backs, Defensive Backs, Defensive Coordinator"
Aaron Kromer,Aaron Kromer,Offensive,25,0,35,"Graduate Assistant, Tight Ends/H-Backs, Offensive Line"
Abe Gibron,Abe Gibron,Both,9,12,25,"Line Coach, Offensive Line, Defensive Line"
Adam Gase,Adam Gase,Offensive,11,0,21,"Graduate Assistant, Recruiting Assistant, Scouting Assistant"
Adam Walsh,Adam Walsh,Offensive,8,0,34,"Head Coach, Line Coach"
Al Cornsweet,Al Cornsweet,Other,0,0,1,Head Coach
Al Davis,Al Davis,Offensive,10,0,14,"Freshman/Line Coach, Scout, Line Coach"
Al Groh,Al Groh,Defensive,2,26,46,"Assistant Coach, Defensive Coach, Freshmen Team Head Coach"
Al Jolley,Al Jolley,Other,0,0,2,Head Coach
Al Nesser,Al Nesser,Other,0,0,1,Head Coach
Al Pierotti,Al Pierotti,Other,0,0,1,Head Coach
Al Saunders,Al Saunders,Offensive,29,0,50,"Graduate Assistant, Wide Receivers, Play-Caller/Offensive Backfield"
Aldo Donelli,Aldo Donelli,Offensive,1,0,37,"Freshmen Coach, Assistant Coach, Head Coach"
Alex Webster,Alex Webster,Offensive,2,0,7,"Backfield Coach, Head Coach"
Alfred McGall,Alfred McGall,Other,0,0,15,Head Coach
Algy Clark,Algy Clark,Other,0,0,1,Head Coach
Allie Sherman,Allie Sherman,Offensive,6,0,18,"Backfield Coach, Head Coach, Offensive Coordinator"
Andy Reid,Andy Reid,Offensive,16,0,44,"Graduate Assistant, Offensive Coordinator/Offensive Line, Offensive Line"
Andy Salata,Andy Salata,Other,0,0,1,Head Coach
Anthony Lynn,Anthony Lynn,Offensive,14,0,26,"Special Team Assistant, Running Backs, Asst. Head Coach/Running Backs"
Antonio Pierce,Antonio Pierce,Defensive,0,5,11,"Head Coach, Linebackers/Recruiting Coordinator, Defensive Coordinator/Associate HC/Linebackers/Recruiting Coordinator"
Archie Golembeski,Archie Golembeski,Other,0,0,9,Head Coach
Arnie Horween,Arnie Horween,Other,0,0,7,Head Coach
Art Lewis,Art Lewis,Offensive,1,0,16,"Assistant Coach, Head Coach, Line Coach"
Art Shell,Art Shell,Offensive,12,0,19,"Offensive Line, Head Coach"
Arthur Smith,Arthur Smith,Offensive,11,2,19,"Graduate Assistant, Defensive Quality Assistant, Defensive Intern"
Austin Higgins,Austin Higgins,Other,0,0,1,Head Coach
Babe Ruetz,Babe Ruetz,Other,0,0,3,Head Coach
Barry Switzer,Barry Switzer,Offensive,12,0,32,"Running Backs, Offensive Coordinator, Head Coach"
Bart Starr,Bart Starr,Offensive,1,0,10,"Quarterbacks, Head Coach"
Ben Johnson,Ben Johnson,Offensive,13,0,17,"Graduate Assistant, Tight Ends, Offensive Assistant"
Ben McAdoo,Ben McAdoo,Offensive,14,0,22,"Special Teams/Offensive Asst., OL/TE Coach, Offensive Asst."
Benny Friedman,Benny Friedman,Offensive,1,0,20,"Head Coach, Backfield Coach"
Bert Bell,Bert Bell,Other,0,0,18,"Assistant Coach, Head Coach"
Bill Arnsparger,Bill Arnsparger,Defensive,0,38,53,"Defensive Line, Defensive Coordinator, Defensive Coordinator/Linebackers"
Bill Austin,Bill Austin,Offensive,22,0,27,"Assistant Coach, Offensive Line, Head Coach"
Bill Belichick,Bill Belichick,Defensive,1,13,50,"Special Assistant, Asst. Special Teams, Receivers"
Bill Callahan,Bill Callahan,Offensive,29,0,46,"Graduate Assistant, Assistant Coach, Offensive Line"
Bill Conkright,Bill Conkright,Offensive,10,2,16,"Line Coach, Ends Coach, Ends/Centers"
