Time_Horizon,Background,N,Correlation,R2,P_value
1-year,Offensive,587,0.2168633567646793,0.04702971550724457,1.118980866734007e-07
1-year,Defensive,493,0.31850002118557547,0.10144226349521202,4.3765025212766065e-13
1-year,Other,83,0.08327164840095198,0.006934167427411769,0.4541967419472991
2-year avg,Offensive,432,0.22533007390545381,0.05077364220623728,2.2363213216567485e-06
2-year avg,Defensive,376,0.4279521892239106,0.18314307626153778,3.549046188312767e-18
2-year avg,Other,63,-0.03418203828360552,0.0011684117412218734,0.7902729256593523
3-year avg,Offensive,311,0.22925726006478472,0.052558891292412334,4.480334047245335e-05
3-year avg,Defensive,280,0.3815993608832601,0.14561807222651255,3.8804758702628517e-11
3-year avg,Other,49,-0.07679222005492722,0.005897045060964367,0.5999696583276697
4-year avg,Offensive,220,0.22983111570520695,0.052822341746300225,0.0005911709623179714
4-year avg,Defensive,213,0.3861748378273203,0.14913100537095714,5.521632218826033e-09
4-year avg,Other,36,0.002908674747718164,8.460388788013325e-06,0.9865673344191921
