Background,1970s,1980s,1990s,2000s,2010s,2020s
Defensive,31.3,37.9,44.4,48.1,44.0,37.7
Offensive,50.7,51.7,52.4,51.9,56.0,62.3
Other,17.9,10.3,3.2,0.0,0.0,0.0
