Time_Horizon,Offensive_R2,Offensive_n,Defensive_R2,Defensive_n,Difference,Pct_Change,Z_Statistic,P_Value,Significance
1-year,0.0849391403134229,610,0.0636223126860588,539,-0.0213168276273641,-25.096589803835595,0.7144210924546444,0.47496683314406507,
2-year avg,0.068032611324961,468,0.1305172620798298,434,0.06248465075486881,91.84514534714523,-1.6653085618171597,0.09585121126331608,*
3-year avg,0.0647185109544193,346,0.1192616503388739,332,0.0545431393844546,84.27749430587002,-1.296337061346469,0.19485938543830184,
4-year avg,0.0621373397868351,268,0.0951448900237097,277,0.0330075502368746,53.120314371533226,-0.7451372105299363,0.4561887762312158,
