WAR_Quintile,Mean_WAR,Std_WAR,N_Survived,N_Total,Survival_Rate,N_Fired,Survival_Pct
Q1 (Worst),-0.1628,0.0645,166,293,0.5666,127,56.7
Q2,-0.0559,0.0188,220,292,0.7534,72,75.3
Q3,0.0017,0.0164,243,292,0.8322,49,83.2
Q4,0.0588,0.0179,260,292,0.8904,32,89.0
Q5 (Best),0.1451,0.0447,274,292,0.9384,18,93.8
