Time_Horizon,N,Pearson_r,Pearson_p,Spearman_rho,R2,RMSE,Coefficient,Intercept
1-year,1163,0.25973672596447733,2.192753730214209e-19,0.2527398460047513,0.06746316681474596,0.11694477315557304,0.28328140089434134,0.010912462589467034
2-year avg,871,0.30187963087069897,8.248582020090786e-20,0.2998757823081318,0.0911313115346295,0.11690574437797369,0.42881882548181477,0.007143123830404611
3-year avg,640,0.27997573651156926,5.441088793217129e-13,0.2723631832597248,0.07838641303519567,0.11595046565462178,0.4559997943470378,0.012306373704152891
4-year avg,469,0.2857049049202339,2.9255080621176987e-10,0.2713725038590076,0.08162729269547986,0.11494475200099806,0.5050057358388608,0.011577336608135782
