Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Round_13_Picks,Round_14_Picks,Round_15_Picks,Round_16_Picks,Round_17_Picks,Total_Picks
1970,atl,1,1,2,1,2,3,1,2,1,1,1,1,1,1,1,1,1,22
1970,bal,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
1970,bos,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,14
1970,buf,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,19
1970,chi,0,0,1,2,0,2,0,1,1,1,1,1,1,1,1,1,1,15
1970,cin,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,17
1970,cle,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
1970,dal,1,2,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19
1970,den,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
1970,det,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,15
1970,gnb,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,20
1970,hou,1,2,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,18
1970,kan,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,17
1970,lac,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
1970,mia,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,15
1970,min,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,2,15
1970,nor,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,17
1970,nyg,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,13
1970,nyj,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,0,2,19
1970,phi,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,14
1970,pit,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,19
1970,rai,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,17
1970,ram,2,3,2,2,2,1,3,3,2,2,2,2,2,2,2,2,2,36
1970,sfo,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
1970,was,0,1,0,1,2,0,2,1,1,0,1,1,1,1,1,1,1,15
