Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1985,atl,1,1,0,1,0,1,0,2,1,1,1,1,10
1985,buf,2,2,2,2,1,1,1,1,1,1,1,1,16
1985,chi,1,1,1,1,0,0,1,1,1,1,1,0,9
1985,cin,2,1,1,1,2,2,2,1,1,1,1,1,16
1985,cle,0,1,0,0,0,1,1,1,0,1,1,1,7
1985,clt,1,1,1,1,1,0,1,1,1,1,0,1,10
1985,dal,1,1,1,1,2,2,2,1,1,1,1,1,15
1985,den,1,2,0,1,1,0,1,1,1,2,1,1,12
1985,det,1,1,1,1,1,1,1,1,1,1,1,1,12
1985,gnb,1,0,1,1,1,1,2,1,1,1,1,1,12
1985,hou,2,1,1,1,2,1,1,1,1,1,1,1,14
1985,kan,1,1,0,1,1,1,2,1,1,1,1,1,12
1985,lac,1,2,1,1,0,1,1,1,2,1,1,2,14
1985,mia,1,0,2,2,0,2,1,1,1,1,1,1,13
1985,min,1,1,3,2,1,2,0,1,1,1,1,1,15
1985,nor,1,1,1,1,0,0,1,1,1,0,0,1,8
1985,nwe,1,3,1,2,0,0,0,1,0,0,1,1,10
1985,nyg,1,1,2,1,1,2,0,1,1,1,1,1,13
1985,nyj,1,1,1,1,3,2,0,1,1,1,1,1,14
1985,phi,1,1,0,1,1,1,0,1,2,1,1,1,11
1985,pit,1,1,1,1,1,1,1,1,2,1,1,1,13
1985,rai,1,0,2,1,1,1,4,1,1,2,1,1,16
1985,ram,2,2,2,1,3,3,1,2,2,2,3,1,24
1985,sea,0,1,1,1,3,0,1,1,1,2,1,0,12
1985,sfo,1,0,1,0,1,1,0,0,0,0,1,1,6
1985,tam,1,0,1,1,0,0,1,1,1,1,1,2,10
1985,was,0,1,0,0,1,1,2,1,1,1,2,2,12
