Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1979,atl,1,1,2,2,1,1,1,1,1,1,1,1,14
1979,bal,1,0,1,0,1,1,0,2,1,1,1,1,10
1979,buf,2,2,1,2,2,1,1,0,1,1,1,1,15
1979,chi,2,1,1,0,0,1,1,1,1,1,1,1,11
1979,cin,2,1,1,2,1,1,1,1,1,1,1,1,14
1979,cle,1,2,1,1,1,2,1,1,2,1,1,1,15
1979,dal,1,1,1,1,3,3,1,1,1,1,0,1,15
1979,den,1,0,1,1,1,1,1,0,1,0,1,1,9
1979,det,1,1,1,2,1,0,0,1,1,0,1,2,11
1979,gnb,1,1,1,0,0,1,2,2,1,1,1,1,12
1979,hou,0,2,1,0,0,2,1,1,1,0,1,1,10
1979,kan,2,0,0,1,1,1,1,2,2,3,1,1,15
1979,lac,1,0,1,1,0,0,0,1,1,2,1,1,9
1979,mia,1,1,3,1,1,1,1,2,1,2,1,1,16
1979,min,1,1,0,1,1,1,1,0,1,0,1,1,9
1979,nor,1,1,0,1,1,1,1,1,0,0,1,1,9
1979,nwe,1,1,0,1,1,0,1,1,1,2,0,0,9
1979,nyg,1,1,0,1,1,2,1,2,1,1,2,1,14
1979,nyj,1,1,1,2,2,1,2,2,1,2,1,1,17
1979,phi,1,1,1,1,1,0,2,2,0,0,1,0,10
1979,pit,1,1,0,2,1,3,1,1,1,1,1,2,15
1979,rai,0,1,0,0,0,2,1,1,1,1,1,2,10
1979,ram,3,3,3,3,3,1,2,1,2,2,2,2,27
1979,sea,1,1,1,1,0,0,1,0,1,1,1,1,9
1979,sfo,0,1,1,0,2,1,1,0,1,2,1,0,10
1979,tam,0,2,3,0,1,0,0,1,1,0,1,1,10
1979,was,0,0,0,1,0,0,1,0,1,0,2,0,5
