Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1977,atl,2,1,1,1,1,1,0,1,2,1,1,1,13
1977,bal,1,1,0,0,0,1,1,1,1,1,1,1,9
1977,buf,1,0,2,1,2,1,1,1,0,0,1,1,11
1977,chi,1,1,1,0,0,1,1,0,1,1,1,1,9
1977,cin,3,1,1,3,1,1,2,1,1,1,2,1,18
1977,cle,1,1,0,2,0,0,3,1,1,1,1,1,12
1977,dal,1,1,2,1,1,1,1,2,1,1,1,1,14
1977,den,1,1,0,1,0,0,1,1,1,1,1,1,9
1977,det,0,1,1,1,1,1,1,1,1,1,1,1,11
1977,gnb,2,1,1,0,1,1,2,1,1,1,1,0,12
1977,hou,1,1,3,1,0,2,0,2,1,1,1,1,14
1977,kan,1,1,1,4,0,2,1,2,2,1,1,1,17
1977,lac,1,0,1,0,2,3,1,0,1,1,0,1,11
1977,mia,1,1,1,0,2,0,1,1,1,1,1,1,11
1977,min,1,1,1,0,1,0,0,1,1,1,1,1,9
1977,nor,1,1,1,0,2,2,1,1,1,1,1,1,13
1977,nwe,2,2,1,1,0,0,1,1,1,2,1,1,13
1977,nyg,1,1,0,1,1,2,1,2,1,1,1,1,13
1977,nyj,1,1,1,1,2,1,3,2,1,1,1,2,17
1977,phi,0,0,0,0,1,3,1,1,1,1,2,0,10
1977,pit,1,1,2,3,3,1,1,1,1,2,1,1,18
1977,rai,0,2,0,1,2,0,1,1,0,0,0,2,9
1977,ram,2,3,4,2,4,1,0,2,1,2,2,2,25
1977,sea,1,3,1,2,0,1,1,0,1,1,1,1,13
1977,sfo,0,0,1,1,0,2,1,0,1,0,1,1,8
1977,tam,1,1,1,0,0,0,0,1,2,2,1,1,10
1977,was,0,0,0,1,0,0,1,0,1,1,1,1,6
