Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Round_13_Picks,Round_14_Picks,Round_15_Picks,Round_16_Picks,Round_17_Picks,Total_Picks
1976,atl,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,15
1976,bal,1,0,2,0,2,0,0,1,1,1,1,1,0,1,1,2,0,14
1976,buf,1,2,1,1,1,3,1,3,2,1,1,1,1,1,1,1,1,23
1976,chi,1,0,1,2,0,1,1,0,0,0,1,1,1,1,1,1,1,13
1976,cin,2,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,24
1976,cle,1,0,1,2,1,0,1,0,2,1,1,0,1,1,1,1,1,15
1976,dal,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,21
1976,den,1,1,0,1,1,0,0,1,2,1,1,1,1,1,1,1,1,15
1976,det,2,2,2,0,1,0,1,2,1,1,1,1,1,1,1,1,1,19
1976,gnb,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,14
1976,hou,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,14
1976,kan,1,1,3,0,2,3,1,1,1,1,1,1,1,1,1,1,1,21
1976,lac,1,1,1,3,1,1,0,1,1,1,1,2,1,1,1,1,1,19
1976,mia,2,1,1,1,0,1,2,1,1,2,1,2,1,1,1,1,1,20
1976,min,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,17
1976,nor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
1976,nwe,3,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,16
1976,nyg,1,0,0,2,1,1,0,1,0,1,1,1,1,1,1,1,1,14
1976,nyj,1,1,1,0,1,1,2,2,1,0,1,2,0,1,1,1,1,17
1976,phi,0,0,0,1,1,1,1,1,2,1,1,0,2,1,1,1,1,15
1976,pit,1,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,22
1976,rai,0,2,1,1,1,0,1,2,0,1,1,1,2,1,1,1,2,18
1976,ram,2,2,2,2,4,0,2,1,1,2,2,1,2,2,2,2,2,31
1976,sea,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,25
1976,sfo,0,2,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,17
1976,tam,1,2,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,20
1976,was,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,11
