Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1978,atl,1,1,1,1,1,1,2,2,1,2,1,1,15
1978,bal,1,1,0,0,1,1,1,1,1,1,1,1,10
1978,buf,1,2,2,1,1,1,2,0,0,1,1,1,13
1978,chi,0,0,1,0,0,2,1,1,1,1,1,1,9
1978,cin,2,2,2,1,2,1,2,1,1,1,2,1,18
1978,cle,2,1,2,1,1,1,0,1,1,1,1,1,13
1978,dal,1,1,1,1,1,1,1,1,1,1,1,1,12
1978,den,1,1,0,0,0,0,0,1,0,1,1,0,5
1978,det,1,1,0,3,2,3,1,1,0,1,1,1,15
1978,gnb,2,1,1,0,2,1,1,1,1,2,1,1,14
1978,hou,1,0,1,1,0,1,0,1,1,1,1,1,9
1978,kan,1,1,1,2,3,0,2,1,1,1,1,1,15
1978,lac,1,1,1,0,1,0,1,1,2,1,0,1,10
1978,mia,0,1,2,2,1,1,2,1,1,1,0,2,14
1978,min,1,1,1,1,0,0,0,1,1,1,1,1,9
1978,nor,1,1,1,1,1,2,0,1,1,0,2,1,12
1978,nwe,1,1,1,1,1,1,1,2,1,1,1,1,13
1978,nyg,1,1,0,1,3,1,1,1,1,1,1,1,13
1978,nyj,1,1,1,1,1,2,2,3,2,1,1,1,17
1978,phi,0,0,1,1,1,0,1,0,1,0,1,1,7
1978,pit,1,1,1,1,0,1,1,2,1,2,2,1,14
1978,rai,0,1,2,2,1,2,2,1,0,0,2,1,14
1978,ram,3,3,3,3,1,1,2,0,2,2,1,2,23
1978,sea,1,1,1,0,1,1,1,0,1,1,1,1,10
1978,sfo,2,1,1,1,2,1,1,0,3,1,1,1,15
1978,tam,1,2,0,0,0,1,0,1,1,1,0,1,8
1978,was,0,0,0,0,0,1,0,2,1,1,1,1,7
