Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1980,atl,1,1,1,2,2,1,1,1,1,1,1,1,14
1980,bal,2,2,0,1,0,1,1,1,1,1,1,2,13
1980,buf,1,2,2,1,2,0,0,1,1,1,1,1,13
1980,chi,1,1,0,1,1,1,1,1,1,1,1,1,11
1980,cin,1,1,1,1,1,2,2,1,1,1,1,1,14
1980,cle,1,1,1,2,1,0,0,1,1,1,1,1,11
1980,dal,0,0,2,1,1,1,1,1,1,1,1,1,11
1980,den,0,1,1,1,2,1,1,1,1,1,1,0,11
1980,det,1,0,2,1,2,1,1,0,2,1,1,1,13
1980,gnb,2,1,1,1,0,1,1,1,1,1,1,1,12
1980,hou,0,2,1,1,1,0,1,1,1,0,1,1,10
1980,kan,1,0,1,1,2,2,0,1,1,1,1,1,12
1980,lac,0,0,0,2,0,2,2,1,1,0,1,1,10
1980,mia,1,1,1,1,0,1,1,2,1,2,1,1,13
1980,min,1,1,1,1,2,1,1,0,1,1,1,1,12
1980,nor,1,1,0,1,0,1,1,1,1,1,1,1,10
1980,nwe,2,1,1,0,1,1,1,1,1,1,1,1,12
1980,nyg,1,0,1,1,1,1,2,1,1,1,1,1,12
1980,nyj,1,2,1,1,1,2,2,1,1,1,1,1,15
1980,phi,1,1,0,0,1,1,1,1,1,0,2,1,10
1980,pit,1,2,1,1,1,1,1,1,1,2,1,2,15
1980,rai,1,1,0,0,3,0,1,1,0,1,1,1,10
1980,ram,2,2,5,1,0,2,3,3,2,2,2,2,26
1980,sea,1,1,0,1,2,1,0,2,1,2,1,1,13
1980,sfo,2,1,2,2,1,1,0,1,1,0,0,0,11
1980,tam,1,1,1,1,0,0,1,1,1,2,1,1,11
1980,was,1,1,0,0,0,1,1,0,1,1,1,1,8
