Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1984,atl,1,2,1,1,1,2,1,1,1,1,1,1,14
1984,buf,1,1,3,1,1,1,1,1,1,1,1,1,14
1984,chi,1,1,1,1,0,0,1,1,1,2,1,1,11
1984,cin,3,1,1,1,1,1,1,1,1,2,1,1,15
1984,cle,1,2,0,2,1,1,1,0,1,1,0,0,10
1984,clt,2,1,1,2,2,1,0,1,0,0,1,1,12
1984,dal,1,1,1,1,2,2,1,1,2,1,1,1,15
1984,den,0,1,1,1,0,1,1,2,1,1,1,1,11
1984,det,1,1,3,1,0,1,2,1,1,2,1,1,15
1984,gnb,1,0,1,1,1,1,1,0,0,1,1,2,10
1984,hou,1,2,1,2,1,2,1,1,3,0,0,0,14
1984,kan,2,1,1,1,2,1,1,1,2,1,1,1,15
1984,lac,1,1,0,0,1,1,1,2,1,0,1,1,10
1984,mia,1,1,0,1,1,1,1,1,1,1,1,2,12
1984,min,1,0,1,0,1,1,2,1,1,1,2,1,12
1984,nor,0,1,2,1,1,1,0,1,1,1,1,1,11
1984,nwe,1,1,1,0,1,1,2,1,2,0,1,1,12
1984,nyg,2,0,1,2,1,1,1,0,0,2,1,1,12
1984,nyj,2,2,1,1,1,1,1,2,1,1,1,1,15
1984,phi,1,0,1,1,1,1,1,1,0,1,1,1,10
1984,pit,1,1,0,2,1,1,1,1,1,1,1,1,12
1984,rai,0,1,1,0,1,1,1,1,0,0,1,1,8
1984,ram,1,1,1,1,3,1,2,3,2,3,3,3,24
1984,sea,1,1,1,1,0,1,1,1,1,1,1,1,11
1984,sfo,1,1,1,0,2,0,0,0,2,1,1,0,9
1984,tam,0,1,1,2,0,1,1,1,1,1,1,1,11
1984,was,0,2,1,1,1,1,1,1,0,1,1,1,11
