Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1990,atl,1,1,1,0,1,1,0,1,1,1,1,1,10
1990,buf,1,1,1,1,0,1,3,1,1,1,1,0,12
1990,chi,1,2,2,1,1,1,1,1,1,1,2,1,15
1990,cin,1,1,1,1,1,1,1,1,1,1,1,1,12
1990,cle,0,1,1,1,1,1,1,1,1,1,1,1,11
1990,clt,1,1,0,4,0,1,1,2,1,0,1,2,14
1990,dal,1,1,1,0,1,0,0,0,1,0,1,0,6
1990,den,0,1,0,1,2,1,1,1,1,2,0,0,10
1990,det,1,1,1,2,1,1,1,2,1,1,1,1,14
1990,gnb,2,1,1,1,1,1,1,1,1,1,1,1,13
1990,hou,1,1,1,1,1,1,1,1,1,1,1,1,12
1990,kan,1,1,0,1,2,1,1,0,1,1,1,1,11
1990,lac,1,0,3,0,0,4,4,1,1,1,1,1,17
1990,mia,1,1,1,1,1,1,0,1,1,0,0,1,9
1990,min,0,0,2,1,2,0,1,1,1,2,0,1,11
1990,nor,1,1,1,1,1,2,1,2,2,2,1,1,16
1990,nwe,2,0,2,0,3,0,0,0,1,1,1,2,12
1990,nyg,1,1,1,1,1,0,1,1,1,1,1,1,11
1990,nyj,1,1,1,1,2,1,2,1,1,1,1,1,14
1990,phi,1,1,1,0,1,1,1,1,1,1,2,1,12
1990,pho,0,1,1,1,1,1,1,1,1,1,1,2,12
1990,pit,1,1,2,1,1,1,1,1,1,1,1,1,13
1990,rai,1,1,0,1,0,1,1,1,1,0,2,2,11
1990,ram,1,1,1,0,0,1,1,2,1,1,1,1,11
1990,sea,1,2,0,1,1,1,1,1,0,1,1,1,11
1990,sfo,1,2,1,1,0,1,0,1,1,1,1,0,10
1990,tam,1,1,0,2,1,1,1,0,1,1,1,1,11
1990,was,0,1,1,2,1,1,0,0,1,2,1,0,10
