Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Round_13_Picks,Round_14_Picks,Round_15_Picks,Round_16_Picks,Round_17_Picks,Total_Picks
1972,atl,1,3,1,1,2,2,1,1,1,0,1,1,1,1,1,1,1,20
1972,bal,1,3,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,19
1972,buf,1,1,1,1,2,0,1,1,1,1,1,1,1,1,0,1,1,16
1972,chi,2,0,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,17
1972,cin,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,16
1972,cle,1,2,0,0,2,1,1,1,2,1,1,1,1,1,1,1,1,18
1972,dal,1,3,2,3,0,1,0,1,1,1,1,1,1,1,1,1,1,20
1972,den,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,14
1972,det,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,14
1972,gnb,2,1,0,1,0,3,1,1,0,1,1,1,1,1,1,1,0,16
1972,hou,1,0,2,0,0,2,1,1,1,2,1,1,1,1,0,1,1,16
1972,kan,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
1972,lac,0,1,1,0,2,1,0,0,1,1,1,1,1,1,1,1,2,15
1972,mia,1,0,1,2,1,1,2,1,1,0,1,1,1,1,1,1,1,17
1972,min,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,15
1972,nor,1,1,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,23
1972,nwe,0,1,1,0,1,0,2,1,1,1,1,1,1,1,1,1,1,15
1972,nyg,2,0,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,18
1972,nyj,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,16
1972,phi,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,17
1972,pit,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,20
1972,rai,1,2,1,2,0,1,3,1,1,1,1,1,1,1,2,1,0,20
1972,ram,1,2,2,4,3,2,1,2,2,3,2,2,2,2,2,2,3,37
1972,sfo,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
1972,was,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,1,1,10
