Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1988,atl,1,1,1,0,1,2,1,1,1,1,1,1,12
1988,buf,0,1,1,0,2,1,2,2,1,1,1,2,14
1988,chi,2,1,1,1,1,1,1,2,1,1,1,1,14
1988,cin,1,1,1,1,1,1,1,1,1,1,1,1,12
1988,cle,1,1,1,1,0,0,1,1,1,1,1,1,10
1988,clt,0,0,1,1,1,0,0,0,1,1,1,2,8
1988,dal,1,1,1,1,0,1,1,1,1,1,1,1,11
1988,den,1,1,1,0,1,0,2,0,1,1,1,1,10
1988,det,1,2,1,1,1,1,1,1,2,1,1,0,13
1988,gnb,1,1,1,2,1,1,1,1,1,1,0,1,12
1988,hou,1,1,1,0,2,1,1,1,1,1,1,1,12
1988,kan,1,0,1,1,0,1,1,1,1,1,1,0,9
1988,lac,1,0,1,3,0,1,0,0,1,0,2,1,10
1988,mia,1,1,1,1,1,2,1,2,1,1,1,1,14
1988,min,1,1,1,1,1,1,1,1,1,1,1,0,11
1988,nor,1,1,1,1,2,1,1,1,1,2,1,1,14
1988,nwe,1,1,1,3,1,1,1,0,1,1,1,1,13
1988,nyg,1,1,1,1,1,1,2,1,0,2,1,2,14
1988,nyj,1,1,2,0,1,1,1,1,1,1,1,1,12
1988,phi,1,1,1,0,1,2,1,1,0,1,1,1,11
1988,pho,1,1,1,1,2,1,1,1,1,1,1,1,13
1988,pit,1,1,1,0,2,1,1,2,1,1,1,1,13
1988,rai,3,0,0,1,1,1,1,1,2,1,1,1,13
1988,ram,2,3,1,0,2,2,0,1,1,1,0,1,14
1988,sea,0,1,1,1,0,1,1,1,1,1,2,1,11
1988,sfo,0,2,1,1,0,0,1,1,1,1,1,1,10
1988,tam,1,1,0,3,1,1,1,1,1,0,1,1,12
1988,was,0,1,1,1,1,1,1,1,1,1,1,1,11
