Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1991,atl,2,1,0,1,1,1,2,1,1,2,1,1,14
1991,buf,1,1,1,0,1,1,1,1,1,1,1,1,11
1991,chi,1,1,1,1,1,1,1,1,1,1,1,1,12
1991,cin,1,1,1,2,1,1,1,1,1,1,1,1,13
1991,cle,1,1,1,1,0,1,0,1,2,1,1,1,11
1991,clt,0,1,1,1,1,1,1,1,1,1,1,1,11
1991,dal,3,1,3,4,1,1,1,0,1,1,1,1,18
1991,den,1,1,1,1,1,1,0,1,1,1,1,0,10
1991,det,1,0,1,1,1,1,1,1,1,0,1,1,10
1991,gnb,1,1,2,0,1,2,2,1,1,1,1,1,14
1991,hou,0,3,2,2,1,0,1,1,1,1,1,1,14
1991,kan,1,1,1,0,1,1,1,1,1,1,1,1,11
1991,lac,1,3,0,1,2,1,2,0,1,2,1,1,15
1991,mia,1,0,1,0,2,0,1,1,1,1,1,1,10
1991,min,0,0,2,1,1,1,2,1,1,1,1,1,12
1991,nor,0,1,0,0,1,1,1,1,1,0,1,1,8
1991,nwe,2,1,1,1,2,1,1,1,1,1,2,1,15
1991,nyg,1,1,1,1,1,1,1,1,1,1,1,1,12
1991,nyj,0,1,1,1,0,2,1,1,1,1,1,1,11
1991,phi,1,1,1,1,1,1,1,1,1,1,1,1,12
1991,pho,1,1,1,1,1,1,1,3,0,1,1,1,13
1991,pit,1,1,1,2,0,1,1,1,1,1,1,1,12
1991,rai,1,1,0,1,0,1,0,2,1,1,0,1,9
1991,ram,1,1,0,1,1,1,1,1,1,0,1,2,11
1991,sea,1,1,1,1,1,1,0,0,0,1,1,1,9
1991,sfo,1,2,0,1,2,1,1,1,1,1,1,1,13
1991,tam,1,0,2,1,2,1,1,1,1,2,1,1,14
1991,was,1,0,1,0,0,1,1,1,1,1,1,1,9
